LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
CITY OF CARSON,N,52903,POLLING PLACE,5087,705,531,597,2815
CITY OF CARSON,N,0,VBM PORTION,4089,532,393,467,2214
CITY OF CARSON,N,52903,TOTAL,9175,1237,924,1064,5029
CITY OF COMPTON,N,43063,POLLING PLACE,3022,661,497,369,1327
CITY OF COMPTON,N,0,VBM PORTION,1873,443,277,252,714
CITY OF COMPTON,N,43063,TOTAL,4894,1104,774,621,2041
CITY OF LONG BEACH,N,14343,POLLING PLACE,1034,183,96,412,254
CITY OF LONG BEACH,N,0,VBM PORTION,681,105,64,260,166
CITY OF LONG BEACH,N,14343,TOTAL,1714,288,160,672,420
CITY OF LOS ANGELES,N,75714,POLLING PLACE,4299,1022,430,440,1916
CITY OF LOS ANGELES,N,0,VBM PORTION,2984,724,307,411,1143
CITY OF LOS ANGELES,N,75714,TOTAL,7282,1746,737,851,3059
UNINCORPORATED,N,28003,POLLING PLACE,1950,396,212,201,970
UNINCORPORATED,N,0,VBM PORTION,1131,255,116,171,456
UNINCORPORATED,N,28003,TOTAL,3080,651,328,372,1426
