LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,554,619
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,508,606
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1062,1225
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,800,1433
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,844,1234
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1644,2667
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,741,1104
CITY OF ARCADIA,N,0,VBM PORTION,3054,868,1343
CITY OF ARCADIA,N,29165,TOTAL,5433,1609,2447
CITY OF ARTESIA,N,7390,POLLING PLACE,555,185,234
CITY OF ARTESIA,N,0,VBM PORTION,596,208,255
CITY OF ARTESIA,N,7390,TOTAL,1149,393,489
CITY OF AVALON,N,1730,POLLING PLACE,190,52,83
CITY OF AVALON,N,0,VBM PORTION,184,47,79
CITY OF AVALON,N,1730,TOTAL,374,99,162
CITY OF AZUSA,N,18442,POLLING PLACE,1308,440,601
CITY OF AZUSA,N,0,VBM PORTION,1201,398,568
CITY OF AZUSA,N,18442,TOTAL,2508,838,1169
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,575,827
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,482,647
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1057,1474
CITY OF BELL,N,11175,POLLING PLACE,618,201,327
CITY OF BELL,N,0,VBM PORTION,349,85,199
CITY OF BELL,N,11175,TOTAL,966,286,526
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,146,294
CITY OF BELL GARDENS,N,0,VBM PORTION,316,73,199
CITY OF BELL GARDENS,N,12887,TOTAL,855,219,493
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,831,875
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,674,856
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1505,1731
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,535,857
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,559,1036
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1094,1893
CITY OF BRADBURY,N,599,POLLING PLACE,66,22,33
CITY OF BRADBURY,N,0,VBM PORTION,67,18,31
CITY OF BRADBURY,N,599,TOTAL,133,40,64
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1596,2040
CITY OF BURBANK,N,0,VBM PORTION,4858,1582,2006
CITY OF BURBANK,N,60155,TOTAL,9510,3178,4046
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,467,566
CITY OF CALABASAS,N,0,VBM PORTION,1873,584,760
CITY OF CALABASAS,N,14914,TOTAL,3327,1051,1326
CITY OF CARSON,N,52903,POLLING PLACE,5087,1661,2500
CITY OF CARSON,N,0,VBM PORTION,4089,1344,2001
CITY OF CARSON,N,52903,TOTAL,9175,3005,4501
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1087,1079
CITY OF CERRITOS,N,0,VBM PORTION,3286,1337,1236
CITY OF CERRITOS,N,31594,TOTAL,6062,2424,2315
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,880,1379
CITY OF CLAREMONT,N,0,VBM PORTION,2652,726,1261
CITY OF CLAREMONT,N,22235,TOTAL,5533,1606,2640
CITY OF COMMERCE,N,6256,POLLING PLACE,444,136,219
CITY OF COMMERCE,N,0,VBM PORTION,247,65,145
CITY OF COMMERCE,N,6256,TOTAL,686,201,364
CITY OF COMPTON,N,43063,POLLING PLACE,3022,828,1649
CITY OF COMPTON,N,0,VBM PORTION,1873,629,898
CITY OF COMPTON,N,43063,TOTAL,4894,1457,2547
CITY OF COVINA,N,26090,POLLING PLACE,2040,729,910
CITY OF COVINA,N,0,VBM PORTION,1877,573,892
CITY OF COVINA,N,26090,TOTAL,3913,1302,1802
CITY OF CUDAHY,N,6697,POLLING PLACE,376,120,197
CITY OF CUDAHY,N,0,VBM PORTION,164,36,105
CITY OF CUDAHY,N,6697,TOTAL,539,156,302
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1165,1409
CITY OF CULVER CITY,N,0,VBM PORTION,3120,988,1339
CITY OF CULVER CITY,N,26286,TOTAL,6708,2153,2748
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1044,1021
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1171,1181
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2215,2202
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2220,2415
CITY OF DOWNEY,N,0,VBM PORTION,3452,1269,1464
CITY OF DOWNEY,N,54713,TOTAL,9292,3489,3879
CITY OF DUARTE,N,11742,POLLING PLACE,960,312,447
CITY OF DUARTE,N,0,VBM PORTION,1099,367,516
CITY OF DUARTE,N,11742,TOTAL,2059,679,963
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,752,1148
CITY OF EL MONTE,N,0,VBM PORTION,1885,678,897
CITY OF EL MONTE,N,36036,TOTAL,4201,1430,2045
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,479,624
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,415,580
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,894,1204
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1029,1289
CITY OF GARDENA,N,0,VBM PORTION,2597,932,1205
CITY OF GARDENA,N,30000,TOTAL,5358,1961,2494
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,2770,3597
CITY OF GLENDALE,N,0,VBM PORTION,12284,2977,3906
CITY OF GLENDALE,N,97282,TOTAL,21689,5747,7503
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1080,1196
CITY OF GLENDORA,N,0,VBM PORTION,2920,966,1284
CITY OF GLENDORA,N,31341,TOTAL,5784,2046,2480
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,101,133
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,167,103
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,268,236
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,802,1213
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,722,964
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1524,2177
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,509,733
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,444,725
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,953,1458
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,53,52
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,36,55
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,89,107
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,305,532
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,158,336
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,463,868
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,4,16
CITY OF INDUSTRY,N,103,TOTAL,32,4,16
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,1396,2594
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1025,1720
CITY OF INGLEWOOD,N,55170,TOTAL,8342,2421,4314
CITY OF IRWINDALE,N,939,POLLING PLACE,75,23,31
CITY OF IRWINDALE,N,0,VBM PORTION,61,13,37
CITY OF IRWINDALE,N,939,TOTAL,135,36,68
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,496,763
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,652,1072
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1148,1835
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,134,199
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,169,269
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,303,468
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1005,973
CITY OF LA MIRADA,N,0,VBM PORTION,2428,969,992
CITY OF LA MIRADA,N,27147,TOTAL,4843,1974,1965
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,291,524
CITY OF LA PUENTE,N,0,VBM PORTION,740,251,377
CITY OF LA PUENTE,N,15802,TOTAL,1699,542,901
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,916,1088
CITY OF LA VERNE,N,0,VBM PORTION,2109,610,1008
CITY OF LA VERNE,N,20532,TOTAL,4568,1526,2096
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1834,1805
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1439,1822
CITY OF LAKEWOOD,N,48358,TOTAL,8638,3273,3627
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,2268,2170
CITY OF LANCASTER,N,0,VBM PORTION,6128,2231,2518
CITY OF LANCASTER,N,73718,TOTAL,11514,4499,4688
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,326,387
CITY OF LAWNDALE,N,0,VBM PORTION,697,211,332
CITY OF LAWNDALE,N,13398,TOTAL,1522,537,719
CITY OF LOMITA,N,11237,POLLING PLACE,1073,382,516
CITY OF LOMITA,N,0,VBM PORTION,1050,396,475
CITY OF LOMITA,N,11237,TOTAL,2122,778,991
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,9522,10722
CITY OF LONG BEACH,N,0,VBM PORTION,25748,8542,10908
CITY OF LONG BEACH,N,254779,TOTAL,52664,18064,21630
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,51089,68747
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,46818,58992
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,97907,127739
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,377,419
CITY OF LYNWOOD,N,0,VBM PORTION,754,278,333
CITY OF LYNWOOD,N,24503,TOTAL,1711,655,752
CITY OF MALIBU,N,9097,POLLING PLACE,1202,337,495
CITY OF MALIBU,N,0,VBM PORTION,1236,365,467
CITY OF MALIBU,N,9097,TOTAL,2437,702,962
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1121,1384
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,938,1483
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2059,2867
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,128,252
CITY OF MAYWOOD,N,0,VBM PORTION,258,65,149
CITY OF MAYWOOD,N,8324,TOTAL,708,193,401
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,579,871
CITY OF MONROVIA,N,0,VBM PORTION,1919,493,934
CITY OF MONROVIA,N,20047,TOTAL,3752,1072,1805
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,691,1117
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,459,758
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1150,1875
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,686,1095
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,801,1257
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1487,2352
CITY OF NORWALK,N,47546,POLLING PLACE,2626,986,1240
CITY OF NORWALK,N,0,VBM PORTION,2657,1017,1151
CITY OF NORWALK,N,47546,TOTAL,5277,2003,2391
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,2026,2114
CITY OF PALMDALE,N,0,VBM PORTION,5361,2121,2265
CITY OF PALMDALE,N,69762,TOTAL,10378,4147,4379
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,453,579
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,558,739
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1011,1318
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,347,449
CITY OF PARAMOUNT,N,0,VBM PORTION,648,200,306
CITY OF PARAMOUNT,N,19999,TOTAL,1576,547,755
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2007,3549
CITY OF PASADENA,N,0,VBM PORTION,8408,2080,4256
CITY OF PASADENA,N,78446,TOTAL,15431,4087,7805
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,649,1110
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,486,928
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1135,2038
CITY OF POMONA,N,57598,POLLING PLACE,3541,1297,1632
CITY OF POMONA,N,0,VBM PORTION,3368,1258,1493
CITY OF POMONA,N,57598,TOTAL,6909,2555,3125
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1395,1570
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1523,2041
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,2918,3611
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1516,1965
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1604,2190
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,3120,4155
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,92,111
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,75,114
CITY OF ROLLING HILLS,N,1510,TOTAL,537,167,225
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,304,350
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,298,396
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,602,746
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,428,522
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,463,544
