LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,272,304,552
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,272,297,480
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,544,601,1032
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,851,586,658
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,791,646,503
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1642,1232,1161
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,515,669,566
CITY OF ARCADIA,N,0,VBM PORTION,3054,725,851,509
CITY OF ARCADIA,N,29165,TOTAL,5433,1240,1520,1075
CITY OF ARTESIA,N,7390,POLLING PLACE,555,169,98,137
CITY OF ARTESIA,N,0,VBM PORTION,596,185,106,144
CITY OF ARTESIA,N,7390,TOTAL,1149,354,204,281
CITY OF AVALON,N,1730,POLLING PLACE,190,51,43,37
CITY OF AVALON,N,0,VBM PORTION,184,39,43,36
CITY OF AVALON,N,1730,TOTAL,374,90,86,73
CITY OF AZUSA,N,18442,POLLING PLACE,1308,424,300,279
CITY OF AZUSA,N,0,VBM PORTION,1201,415,299,207
CITY OF AZUSA,N,18442,TOTAL,2508,839,599,486
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,619,308,427
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,506,286,307
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1125,594,734
CITY OF BELL,N,11175,POLLING PLACE,618,224,128,138
CITY OF BELL,N,0,VBM PORTION,349,137,77,69
CITY OF BELL,N,11175,TOTAL,966,361,205,207
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,205,101,112
CITY OF BELL GARDENS,N,0,VBM PORTION,316,106,97,64
CITY OF BELL GARDENS,N,12887,TOTAL,855,311,198,176
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,566,454,655
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,534,488,447
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1100,942,1102
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,244,386,712
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,328,494,743
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,572,880,1455
CITY OF BRADBURY,N,599,POLLING PLACE,66,16,17,21
CITY OF BRADBURY,N,0,VBM PORTION,67,11,30,9
CITY OF BRADBURY,N,599,TOTAL,133,27,47,30
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1083,1122,1306
CITY OF BURBANK,N,0,VBM PORTION,4858,1228,1205,1018
CITY OF BURBANK,N,60155,TOTAL,9510,2311,2327,2324
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,223,330,469
CITY OF CALABASAS,N,0,VBM PORTION,1873,322,398,583
CITY OF CALABASAS,N,14914,TOTAL,3327,545,728,1052
CITY OF CARSON,N,52903,POLLING PLACE,5087,1911,902,1177
CITY OF CARSON,N,0,VBM PORTION,4089,1375,1051,754
CITY OF CARSON,N,52903,TOTAL,9175,3286,1953,1931
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,595,625,820
CITY OF CERRITOS,N,0,VBM PORTION,3286,780,763,709
CITY OF CERRITOS,N,31594,TOTAL,6062,1375,1388,1529
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,549,595,1030
