LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
CITY OF LOS ANGELES,N,152296,POLLING PLACE,12791,9759
CITY OF LOS ANGELES,N,0,VBM PORTION,9680,6862
CITY OF LOS ANGELES,N,152296,TOTAL,22469,16621
UNINCORPORATED,N,44257,POLLING PLACE,3327,2672
UNINCORPORATED,N,0,VBM PORTION,1571,1329
UNINCORPORATED,N,44257,TOTAL,4896,4001
