LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,935,276
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,892,224
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1827,500
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,83,23
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,66,27
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,149,50
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,511,307
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,342,147
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,853,454
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,16,3
CITY OF INDUSTRY,N,103,TOTAL,32,16,3
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2478,1269
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1871,713
CITY OF INGLEWOOD,N,55170,TOTAL,8342,4349,1982
CITY OF IRWINDALE,N,939,POLLING PLACE,75,38,13
CITY OF IRWINDALE,N,0,VBM PORTION,61,45,5
CITY OF IRWINDALE,N,939,TOTAL,135,83,18
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,1011,233
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1354,281
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2365,514
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,268,66
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,325,91
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,593,157
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1439,485
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1478,401
CITY OF LA MIRADA,N,27147,TOTAL,4843,2917,886
