LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,237
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,433
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1566
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1372
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2938
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,941
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,850
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1791
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,84
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,70
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,154
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,665
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,415
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,1080
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,14
CITY OF INDUSTRY,N,103,TOTAL,32,14
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2932
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2095
CITY OF INGLEWOOD,N,55170,TOTAL,8342,5027
CITY OF IRWINDALE,N,939,POLLING PLACE,75,38
CITY OF IRWINDALE,N,0,VBM PORTION,61,37
CITY OF IRWINDALE,N,939,TOTAL,135,75
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,908
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1234
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2142
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,248
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,307
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,555
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1562
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1557
CITY OF LA MIRADA,N,27147,TOTAL,4843,3119
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,663
CITY OF LA PUENTE,N,0,VBM PORTION,740,525
CITY OF LA PUENTE,N,15802,TOTAL,1699,1188
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1530
CITY OF LA VERNE,N,0,VBM PORTION,2109,1260
CITY OF LA VERNE,N,20532,TOTAL,4568,2790
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2941
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2673
CITY OF LAKEWOOD,N,48358,TOTAL,8638,5614
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3657
CITY OF LANCASTER,N,0,VBM PORTION,6128,4006
CITY OF LANCASTER,N,73718,TOTAL,11514,7663
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,560
CITY OF LAWNDALE,N,0,VBM PORTION,697,458
CITY OF LAWNDALE,N,13398,TOTAL,1522,1018
CITY OF LOMITA,N,11237,POLLING PLACE,1073,709
CITY OF LOMITA,N,0,VBM PORTION,1050,689
CITY OF LOMITA,N,11237,TOTAL,2122,1398
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,16302
CITY OF LONG BEACH,N,0,VBM PORTION,25748,15778
CITY OF LONG BEACH,N,254779,TOTAL,52664,32080
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,90926
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,81362
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,172288
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,652
CITY OF LYNWOOD,N,0,VBM PORTION,754,546
CITY OF LYNWOOD,N,24503,TOTAL,1711,1198
CITY OF MALIBU,N,9097,POLLING PLACE,1202,563
CITY OF MALIBU,N,0,VBM PORTION,1236,548
CITY OF MALIBU,N,9097,TOTAL,2437,1111
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1767
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1710
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3477
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,283
CITY OF MAYWOOD,N,0,VBM PORTION,258,174
CITY OF MAYWOOD,N,8324,TOTAL,708,457
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1116
CITY OF MONROVIA,N,0,VBM PORTION,1919,1089
CITY OF MONROVIA,N,20047,TOTAL,3752,2205
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1449
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,991
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2440
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1361
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1572
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2933
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1802
CITY OF NORWALK,N,0,VBM PORTION,2657,1821
CITY OF NORWALK,N,47546,TOTAL,5277,3623
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3478
CITY OF PALMDALE,N,0,VBM PORTION,5361,3670
CITY OF PALMDALE,N,69762,TOTAL,10378,7148
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,718
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,916
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1634
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,627
CITY OF PARAMOUNT,N,0,VBM PORTION,648,408
CITY OF PARAMOUNT,N,19999,TOTAL,1576,1035
CITY OF PASADENA,N,78446,POLLING PLACE,7034,4125
CITY OF PASADENA,N,0,VBM PORTION,8408,4595
CITY OF PASADENA,N,78446,TOTAL,15431,8720
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1436
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,1197
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2633
CITY OF POMONA,N,57598,POLLING PLACE,3541,2406
CITY OF POMONA,N,0,VBM PORTION,3368,2283
CITY OF POMONA,N,57598,TOTAL,6909,4689
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,2162
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2548
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,4710
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2631
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2933
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5564
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,131
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,113
CITY OF ROLLING HILLS,N,1510,TOTAL,537,244
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,424
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,488
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,912
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,751
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,810
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1561
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1325
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1175
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2500
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,400
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,327
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,727
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,765
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,767
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1532
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,452
CITY OF SAN MARINO,N,0,VBM PORTION,1161,602
CITY OF SAN MARINO,N,8559,TOTAL,1956,1054
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,6267
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,7930
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,14197
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,450
