LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,514,578,216
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,504,485,203
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1018,1063,419
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1082,663,657
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,971,623,554
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2053,1286,1211
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,749,862,399
CITY OF ARCADIA,N,0,VBM PORTION,3054,971,968,459
CITY OF ARCADIA,N,29165,TOTAL,5433,1720,1830,858
CITY OF ARTESIA,N,7390,POLLING PLACE,555,195,111,156
CITY OF ARTESIA,N,0,VBM PORTION,596,188,133,162
CITY OF ARTESIA,N,7390,TOTAL,1149,383,244,318
CITY OF AVALON,N,1730,POLLING PLACE,190,62,42,52
CITY OF AVALON,N,0,VBM PORTION,184,52,51,39
CITY OF AVALON,N,1730,TOTAL,374,114,93,91
CITY OF AZUSA,N,18442,POLLING PLACE,1308,383,305,461
CITY OF AZUSA,N,0,VBM PORTION,1201,366,332,312
CITY OF AZUSA,N,18442,TOTAL,2508,749,637,773
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,510,291,711
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,483,240,454
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,993,531,1165
CITY OF BELL,N,11175,POLLING PLACE,618,146,103,294
CITY OF BELL,N,0,VBM PORTION,349,83,73,145
CITY OF BELL,N,11175,TOTAL,966,229,176,439
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,133,104,247
CITY OF BELL GARDENS,N,0,VBM PORTION,316,92,56,135
CITY OF BELL GARDENS,N,12887,TOTAL,855,225,160,382
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,732,517,571
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,662,491,500
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1394,1008,1071
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,625,648,261
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,748,759,262
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1373,1407,523
CITY OF BRADBURY,N,599,POLLING PLACE,66,19,30,11
CITY OF BRADBURY,N,0,VBM PORTION,67,13,25,17
CITY OF BRADBURY,N,599,TOTAL,133,32,55,28
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1644,1392,994
CITY OF BURBANK,N,0,VBM PORTION,4858,1661,1383,926
CITY OF BURBANK,N,60155,TOTAL,9510,3305,2775,1920
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,448,466,235
CITY OF CALABASAS,N,0,VBM PORTION,1873,604,588,281
CITY OF CALABASAS,N,14914,TOTAL,3327,1052,1054,516
CITY OF CARSON,N,52903,POLLING PLACE,5087,2318,1003,1184
CITY OF CARSON,N,0,VBM PORTION,4089,1848,796,920
CITY OF CARSON,N,52903,TOTAL,9175,4166,1799,2104
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1096,733,537
CITY OF CERRITOS,N,0,VBM PORTION,3286,1344,749,506
CITY OF CERRITOS,N,31594,TOTAL,6062,2440,1482,1043
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1136,974,415
CITY OF CLAREMONT,N,0,VBM PORTION,2652,983,817,394
CITY OF CLAREMONT,N,22235,TOTAL,5533,2119,1791,809
CITY OF COMMERCE,N,6256,POLLING PLACE,444,148,63,178
CITY OF COMMERCE,N,0,VBM PORTION,247,81,45,95
CITY OF COMMERCE,N,6256,TOTAL,686,229,108,273
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1572,555,587
CITY OF COMPTON,N,0,VBM PORTION,1873,841,385,407
CITY OF COMPTON,N,43063,TOTAL,4894,2413,940,994
CITY OF COVINA,N,26090,POLLING PLACE,2040,716,587,505
CITY OF COVINA,N,0,VBM PORTION,1877,621,543,417
CITY OF COVINA,N,26090,TOTAL,3913,1337,1130,922
CITY OF CUDAHY,N,6697,POLLING PLACE,376,86,67,186
CITY OF CUDAHY,N,0,VBM PORTION,164,48,31,66
CITY OF CUDAHY,N,6697,TOTAL,539,134,98,252
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1374,910,655
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1313,719,504
CITY OF CULVER CITY,N,26286,TOTAL,6708,2687,1629,1159
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,959,731,556
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1127,822,524
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2086,1553,1080
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2049,1400,1600
CITY OF DOWNEY,N,0,VBM PORTION,3452,1222,890,815
CITY OF DOWNEY,N,54713,TOTAL,9292,3271,2290,2415
CITY OF DUARTE,N,11742,POLLING PLACE,960,347,254,249
CITY OF DUARTE,N,0,VBM PORTION,1099,387,302,260
CITY OF DUARTE,N,11742,TOTAL,2059,734,556,509
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,759,436,857
CITY OF EL MONTE,N,0,VBM PORTION,1885,707,419,496
CITY OF EL MONTE,N,36036,TOTAL,4201,1466,855,1353
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,437,444,340
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,414,414,260
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,851,858,600
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1146,664,598
CITY OF GARDENA,N,0,VBM PORTION,2597,1012,605,513
CITY OF GARDENA,N,30000,TOTAL,5358,2158,1269,1111
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,2966,2488,1722
CITY OF GLENDALE,N,0,VBM PORTION,12284,3457,2557,1808
CITY OF GLENDALE,N,97282,TOTAL,21689,6423,5045,3530
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,863,1051,565
CITY OF GLENDORA,N,0,VBM PORTION,2920,891,1026,555
CITY OF GLENDORA,N,31341,TOTAL,5784,1754,2077,1120
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,98,50,108
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,106,72,84
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,204,122,192
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,989,573,630
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,741,554,481
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1730,1127,1111
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,471,594,329
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,486,492,286
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,957,1086,615
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,40,58,16
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,37,55,12
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,77,113,28
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,240,146,525
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,159,86,269
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,399,232,794
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,13,8,7
CITY OF INDUSTRY,N,103,TOTAL,32,13,8,7
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2457,1069,831
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1619,660,666
CITY OF INGLEWOOD,N,55170,TOTAL,8342,4076,1729,1497
CITY OF IRWINDALE,N,939,POLLING PLACE,75,15,14,35
CITY OF IRWINDALE,N,0,VBM PORTION,61,15,7,32
CITY OF IRWINDALE,N,939,TOTAL,135,30,21,67
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,460,685,237
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,664,889,319
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1124,1574,556
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,112,169,87
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,149,197,102
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,261,366,189
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,803,698,625
CITY OF LA MIRADA,N,0,VBM PORTION,2428,790,709,547
CITY OF LA MIRADA,N,27147,TOTAL,4843,1593,1407,1172
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,322,168,367
CITY OF LA PUENTE,N,0,VBM PORTION,740,219,151,291
