LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,80,123,40,457,506,39,44,117
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,102,123,25,393,468,34,64,144
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,182,246,65,850,974,73,108,261
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,334,156,44,1159,533,76,95,133
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,437,122,45,815,557,75,94,148
CITY OF ALHAMBRA,N,37025,TOTAL,5368,771,278,89,1974,1090,151,189,281
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,222,102,35,494,935,46,152,139
CITY OF ARCADIA,N,0,VBM PORTION,3054,353,95,45,540,1127,68,150,241
CITY OF ARCADIA,N,29165,TOTAL,5433,575,197,80,1034,2062,114,302,380
CITY OF ARTESIA,N,7390,POLLING PLACE,555,27,55,16,193,120,14,26,28
CITY OF ARTESIA,N,0,VBM PORTION,596,59,39,3,162,161,16,32,44
CITY OF ARTESIA,N,7390,TOTAL,1149,86,94,19,355,281,30,58,72
CITY OF AVALON,N,1730,POLLING PLACE,190,13,7,7,52,52,5,14,10
CITY OF AVALON,N,0,VBM PORTION,184,13,8,8,40,37,9,23,23
CITY OF AVALON,N,1730,TOTAL,374,26,15,15,92,89,14,37,33
CITY OF AZUSA,N,18442,POLLING PLACE,1308,79,64,33,562,300,27,46,54
CITY OF AZUSA,N,0,VBM PORTION,1201,102,58,20,393,266,32,47,141
CITY OF AZUSA,N,18442,TOTAL,2508,181,122,53,955,566,59,93,195
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,143,91,30,935,190,31,62,51
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,187,44,30,613,186,47,30,75
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,330,135,60,1548,376,78,92,126
CITY OF BELL,N,11175,POLLING PLACE,618,38,33,15,347,42,17,31,19
CITY OF BELL,N,0,VBM PORTION,349,29,10,2,178,34,6,13,33
CITY OF BELL,N,11175,TOTAL,966,67,43,17,525,76,23,44,52
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,18,50,18,326,32,16,11,9
CITY OF BELL GARDENS,N,0,VBM PORTION,316,10,25,14,177,28,11,10,13
CITY OF BELL GARDENS,N,12887,TOTAL,855,28,75,32,503,60,27,21,22
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,104,184,48,696,581,61,106,81
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,143,133,54,589,504,61,97,121
CITY OF BELLFLOWER,N,34364,TOTAL,4019,247,317,102,1285,1085,122,203,202
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,104,207,60,650,410,45,39,178
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,157,151,38,719,570,56,66,258
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,261,358,98,1369,980,101,105,436
CITY OF BRADBURY,N,599,POLLING PLACE,66,1,4,2,14,33,1,2,4
CITY OF BRADBURY,N,0,VBM PORTION,67,4,1,1,11,27,3,4,8
CITY OF BRADBURY,N,599,TOTAL,133,5,5,3,25,60,4,6,12
CITY OF BURBANK,N,60155,POLLING PLACE,4654,177,307,146,1677,1388,100,181,250
