LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
CITY OF BURBANK,N,9269,POLLING PLACE,718,237,376,52
CITY OF BURBANK,N,0,VBM PORTION,770,258,378,57
CITY OF BURBANK,N,9269,TOTAL,1487,495,754,109
CITY OF LOS ANGELES,N,394060,POLLING PLACE,30379,8319,17528,2312
CITY OF LOS ANGELES,N,0,VBM PORTION,28092,7137,16435,1914
CITY OF LOS ANGELES,N,394060,TOTAL,58457,15456,33963,4226
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,216,331,32
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,123,289,25
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,339,620,57
UNINCORPORATED,N,0,POLLING PLACE,0,0,0,0
UNINCORPORATED,N,0,VBM PORTION,1,0,1,0
UNINCORPORATED,N,0,TOTAL,1,0,1,0
