LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,432,758
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,404,713
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,836,1471
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,950,1252
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,872,1141
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1822,2393
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,656,1183
CITY OF ARCADIA,N,0,VBM PORTION,3054,811,1381
CITY OF ARCADIA,N,29165,TOTAL,5433,1467,2564
CITY OF ARTESIA,N,7390,POLLING PLACE,555,134,294
CITY OF ARTESIA,N,0,VBM PORTION,596,167,293
CITY OF ARTESIA,N,7390,TOTAL,1149,301,587
CITY OF AVALON,N,1730,POLLING PLACE,190,34,104
CITY OF AVALON,N,0,VBM PORTION,184,29,92
CITY OF AVALON,N,1730,TOTAL,374,63,196
CITY OF AZUSA,N,18442,POLLING PLACE,1308,370,672
CITY OF AZUSA,N,0,VBM PORTION,1201,316,651
CITY OF AZUSA,N,18442,TOTAL,2508,686,1323
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,571,852
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,492,644
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1063,1496
CITY OF BELL,N,11175,POLLING PLACE,618,253,275
CITY OF BELL,N,0,VBM PORTION,349,120,173
CITY OF BELL,N,11175,TOTAL,966,373,448
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,167,281
CITY OF BELL GARDENS,N,0,VBM PORTION,316,96,176
CITY OF BELL GARDENS,N,12887,TOTAL,855,263,457
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,446,1298
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,463,1076
CITY OF BELLFLOWER,N,34364,TOTAL,4019,909,2374
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,676,762
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,775,871
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1451,1633
CITY OF BRADBURY,N,599,POLLING PLACE,66,18,39
CITY OF BRADBURY,N,0,VBM PORTION,67,11,42
CITY OF BRADBURY,N,599,TOTAL,133,29,81
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1400,2257
CITY OF BURBANK,N,0,VBM PORTION,4858,1335,2277
CITY OF BURBANK,N,60155,TOTAL,9510,2735,4534
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,405,645
CITY OF CALABASAS,N,0,VBM PORTION,1873,538,867
CITY OF CALABASAS,N,14914,TOTAL,3327,943,1512
CITY OF CARSON,N,52903,POLLING PLACE,5087,1092,3151
CITY OF CARSON,N,0,VBM PORTION,4089,1146,2216
CITY OF CARSON,N,52903,TOTAL,9175,2238,5367
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,721,1470
CITY OF CERRITOS,N,0,VBM PORTION,3286,935,1487
CITY OF CERRITOS,N,31594,TOTAL,6062,1656,2957
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1024,1298
CITY OF CLAREMONT,N,0,VBM PORTION,2652,846,1115
CITY OF CLAREMONT,N,22235,TOTAL,5533,1870,2413
CITY OF COMMERCE,N,6256,POLLING PLACE,444,142,204
CITY OF COMMERCE,N,0,VBM PORTION,247,67,136
CITY OF COMMERCE,N,6256,TOTAL,686,209,340
CITY OF COMPTON,N,43063,POLLING PLACE,3022,507,2047
CITY OF COMPTON,N,0,VBM PORTION,1873,426,1130
CITY OF COMPTON,N,43063,TOTAL,4894,933,3177
CITY OF COVINA,N,26090,POLLING PLACE,2040,518,1135
CITY OF COVINA,N,0,VBM PORTION,1877,524,935
CITY OF COVINA,N,26090,TOTAL,3913,1042,2070
CITY OF CUDAHY,N,6697,POLLING PLACE,376,161,167
CITY OF CUDAHY,N,0,VBM PORTION,164,58,84
CITY OF CUDAHY,N,6697,TOTAL,539,219,251
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1484,1161
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1340,969
