LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,737
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,714
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1451
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1195
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1169
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2364
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,737
CITY OF ARCADIA,N,0,VBM PORTION,3054,1009
CITY OF ARCADIA,N,29165,TOTAL,5433,1746
CITY OF ARTESIA,N,7390,POLLING PLACE,555,237
CITY OF ARTESIA,N,0,VBM PORTION,596,276
CITY OF ARTESIA,N,7390,TOTAL,1149,513
CITY OF AVALON,N,1730,POLLING PLACE,190,59
CITY OF AVALON,N,0,VBM PORTION,184,59
CITY OF AVALON,N,1730,TOTAL,374,118
CITY OF AZUSA,N,18442,POLLING PLACE,1308,555
CITY OF AZUSA,N,0,VBM PORTION,1201,513
CITY OF AZUSA,N,18442,TOTAL,2508,1068
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,839
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,766
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1605
CITY OF BELL,N,11175,POLLING PLACE,618,302
CITY OF BELL,N,0,VBM PORTION,349,185
CITY OF BELL,N,11175,TOTAL,966,487
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,269
CITY OF BELL GARDENS,N,0,VBM PORTION,316,180
CITY OF BELL GARDENS,N,12887,TOTAL,855,449
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,853
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,890
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1743
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,974
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1164
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2138
CITY OF BRADBURY,N,599,POLLING PLACE,66,28
CITY OF BRADBURY,N,0,VBM PORTION,67,23
CITY OF BRADBURY,N,599,TOTAL,133,51
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1796
CITY OF BURBANK,N,0,VBM PORTION,4858,2033
CITY OF BURBANK,N,60155,TOTAL,9510,3829
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,624
CITY OF CALABASAS,N,0,VBM PORTION,1873,859
CITY OF CALABASAS,N,14914,TOTAL,3327,1483
CITY OF CARSON,N,52903,POLLING PLACE,5087,2887
CITY OF CARSON,N,0,VBM PORTION,4089,2464
CITY OF CARSON,N,52903,TOTAL,9175,5351
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1103
CITY OF CERRITOS,N,0,VBM PORTION,3286,1472
CITY OF CERRITOS,N,31594,TOTAL,6062,2575
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1272
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1224
CITY OF CLAREMONT,N,22235,TOTAL,5533,2496
CITY OF COMMERCE,N,6256,POLLING PLACE,444,199
CITY OF COMMERCE,N,0,VBM PORTION,247,145
