LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BRENT C ROSKE,ZEIN E OBAGI JR,M WILLIAMSON,KEVIN MOTTUS,BARBARA L MULVANEY,MATT MILLER,ELAN CARR,DAVID KANUTH,TOM FOX,VINCE FLAHERTY,KRISTIE HOLMES,MARK MATTHEW HERD,JAMES GRAF,WENDY GREUEL,LILY GILANI,MICHAEL SHAPIRO,MICHAEL IAN SACHS,TED LIEU
EL SEGUNDO,2250017B,6046,155,Y,0,VBM PORTION,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EL SEGUNDO,2250017B,6046,155,Y,7,TOTAL,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EL SEGUNDO,2250020A,841,155,N,879,POLLING PLACE,145,0,0,16,3,2,11,43,0,0,0,0,2,0,17,14,0,1,29
EL SEGUNDO,2250020A,841,155,N,0,VBM PORTION,118,0,0,2,2,1,3,46,2,1,0,2,2,0,9,11,0,1,27
EL SEGUNDO,2250020A,841,155,N,879,TOTAL,263,0,0,18,5,3,14,89,2,1,0,2,4,0,26,25,0,2,56
EL SEGUNDO,2250030A,842,155,N,962,POLLING PLACE,131,0,0,14,3,1,4,32,0,1,0,1,1,0,12,12,1,4,33
EL SEGUNDO,2250030A,842,155,N,0,VBM PORTION,111,0,1,6,3,1,3,33,0,0,0,3,4,0,13,9,1,2,24
EL SEGUNDO,2250030A,842,155,N,962,TOTAL,242,0,1,20,6,2,7,65,0,1,0,4,5,0,25,21,2,6,57
FRANKLIN,2400001A,6055,82,Y,2,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANKLIN,2400001A,6055,82,Y,0,VBM PORTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRANKLIN,2400001A,6055,82,Y,2,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GILMORE,2520001A,6056,82,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILMORE,2520001A,6056,82,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILMORE,2520001A,6056,82,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERMOSA BEACH,2750001A,1077,181,N,1151,POLLING PLACE,146,1,0,20,1,1,11,35,2,1,0,1,2,0,15,10,0,1,36
HERMOSA BEACH,2750001A,1077,181,N,0,VBM PORTION,160,0,0,12,5,1,11,31,1,1,1,1,2,1,22,18,1,0,40
HERMOSA BEACH,2750001A,1077,181,N,1151,TOTAL,306,1,0,32,6,2,22,66,3,2,1,2,4,1,37,28,1,1,76
HERMOSA BEACH,2750003A,1078,181,N,975,POLLING PLACE,178,0,1,26,4,2,9,29,3,0,0,0,1,0,17,13,0,0,69
HERMOSA BEACH,2750003A,1078,181,N,0,VBM PORTION,116,0,1,10,5,3,4,27,1,0,0,2,5,2,11,6,0,3,29
HERMOSA BEACH,2750003A,1078,181,N,975,TOTAL,294,0,2,36,9,5,13,56,4,0,0,2,6,2,28,19,0,3,98
HERMOSA BEACH,2750003B,1079,181,N,1081,POLLING PLACE,178,0,0,20,4,1,18,45,3,1,0,2,2,1,20,12,2,1,38
HERMOSA BEACH,2750003B,1079,181,N,0,VBM PORTION,139,0,0,16,3,2,8,40,0,1,0,2,3,0,12,8,0,1,34
HERMOSA BEACH,2750003B,1079,181,N,1081,TOTAL,317,0,0,36,7,3,26,85,3,2,0,4,5,1,32,20,2,2,72
HERMOSA BEACH,2750004A,1080,181,N,1038,POLLING PLACE,90,0,0,15,3,1,9,18,1,0,0,0,0,0,8,2,0,0,29
HERMOSA BEACH,2750004A,1080,181,N,0,VBM PORTION,82,0,0,7,2,1,6,21,0,0,1,3,3,0,9,2,0,1,19
HERMOSA BEACH,2750004A,1080,181,N,1038,TOTAL,172,0,0,22,5,2,15,39,1,0,1,3,3,0,17,4,0,1,48
HERMOSA BEACH,2750008A,1081,181,N,987,POLLING PLACE,129,0,0,18,3,5,7,31,0,3,0,0,1,0,12,6,1,2,36
HERMOSA BEACH,2750008A,1081,181,N,0,VBM PORTION,96,0,0,3,1,0,3,39,1,2,0,0,1,0,7,8,1,0,20
HERMOSA BEACH,2750008A,1081,181,N,987,TOTAL,225,0,0,21,4,5,10,70,1,5,0,0,2,0,19,14,2,2,56
HERMOSA BEACH,2750011A,1082,181,N,1147,POLLING PLACE,121,0,0,15,3,2,10,25,0,0,1,0,1,0,8,4,0,0,44
HERMOSA BEACH,2750011A,1082,181,N,0,VBM PORTION,110,0,0,10,1,2,4,29,2,1,0,3,2,2,9,9,0,4,24
HERMOSA BEACH,2750011A,1082,181,N,1147,TOTAL,231,0,0,25,4,4,14,54,2,1,1,3,3,2,17,13,0,4,68
HERMOSA BEACH,2750012A,1083,181,N,1391,POLLING PLACE,147,0,0,21,4,0,8,25,1,1,0,0,4,0,13,8,1,0,56
HERMOSA BEACH,2750012A,1083,181,N,0,VBM PORTION,225,1,1,11,2,5,14,61,3,2,0,1,2,0,17,18,0,0,72
HERMOSA BEACH,2750012A,1083,181,N,1391,TOTAL,372,1,1,32,6,5,22,86,4,3,0,1,6,0,30,26,1,0,128
HERMOSA BEACH,2750015A,1084,181,N,1044,POLLING PLACE,115,0,0,18,0,2,6,27,0,0,0,1,1,0,8,11,0,2,32
HERMOSA BEACH,2750015A,1084,181,N,0,VBM PORTION,155,1,0,24,1,2,8,28,0,3,0,2,0,1,16,8,1,0,54
HERMOSA BEACH,2750015A,1084,181,N,1044,TOTAL,270,1,0,42,1,4,14,55,0,3,0,3,1,1,24,19,1,2,86
HERMOSA BEACH,2750016A,1085,181,N,907,POLLING PLACE,137,0,0,22,3,4,12,28,2,1,1,0,1,0,12,10,0,0,31
HERMOSA BEACH,2750016A,1085,181,N,0,VBM PORTION,119,0,0,9,1,1,5,25,2,0,0,0,4,0,19,13,1,0,35
HERMOSA BEACH,2750016A,1085,181,N,907,TOTAL,256,0,0,31,4,5,17,53,4,1,1,0,5,0,31,23,1,0,66
HERMOSA BEACH,2750017A,1086,181,N,1350,POLLING PLACE,203,0,0,29,3,4,22,41,0,2,0,0,3,0,19,13,1,0,61
HERMOSA BEACH,2750017A,1086,181,N,0,VBM PORTION,185,0,0,17,4,3,10,44,2,1,0,1,3,1,19,17,1,2,51
HERMOSA BEACH,2750017A,1086,181,N,1350,TOTAL,388,0,0,46,7,7,32,85,2,3,0,1,6,1,38,30,2,2,112
HERMOSA BEACH,2750019A,1087,181,N,1330,POLLING PLACE,171,0,0,22,2,3,19,36,2,0,1,0,0,1,15,11,1,1,50
HERMOSA BEACH,2750019A,1087,181,N,0,VBM PORTION,165,0,0,10,7,2,2,32,3,3,0,0,2,0,22,12,1,0,59
HERMOSA BEACH,2750019A,1087,181,N,1330,TOTAL,336,0,0,32,9,5,21,68,5,3,1,0,2,1,37,23,2,1,109
HERMOSA BEACH,2750023A,1088,181,N,1049,POLLING PLACE,91,1,0,15,0,0,6,19,2,0,0,1,0,2,8,7,1,2,22
HERMOSA BEACH,2750023A,1088,181,N,0,VBM PORTION,100,1,0,7,3,3,4,21,2,1,0,0,1,0,10,3,0,2,38
HERMOSA BEACH,2750023A,1088,181,N,1049,TOTAL,191,2,0,22,3,3,10,40,4,1,0,1,1,2,18,10,1,4,60
MALIBU,4050002A,1700,88,N,824,POLLING PLACE,106,1,1,27,2,1,16,18,1,1,2,1,1,0,14,10,0,0,4
MALIBU,4050002A,1700,88,N,0,VBM PORTION,110,0,0,22,2,3,11,19,0,2,0,0,0,0,21,7,0,0,9
MALIBU,4050002A,1700,88,N,824,TOTAL,216,1,1,49,4,4,27,37,1,3,2,1,1,0,35,17,0,0,13
MALIBU,4050003A,1701,88,N,721,POLLING PLACE,129,0,0,50,4,2,16,15,1,1,0,0,0,2,19,3,1,4,3
MALIBU,4050003A,1701,88,N,0,VBM PORTION,84,0,1,18,2,1,9,14,3,0,1,0,3,0,18,3,0,2,4
MALIBU,4050003A,1701,88,N,721,TOTAL,213,0,1,68,6,3,25,29,4,1,1,0,3,2,37,6,1,6,7
MALIBU,4050004A,1702,88,N,634,POLLING PLACE,98,0,0,31,1,0,19,15,2,0,0,0,1,0,13,3,1,0,8
MALIBU,4050004A,1702,88,N,0,VBM PORTION,111,1,2,14,4,1,19,24,1,0,0,1,0,0,13,6,2,0,11
MALIBU,4050004A,1702,88,N,634,TOTAL,209,1,2,45,5,1,38,39,3,0,0,1,1,0,26,9,3,0,19
MALIBU,4050014A,1703,88,N,947,POLLING PLACE,95,0,1,29,2,0,11,17,0,0,0,0,0,0,14,2,1,0,10
MALIBU,4050014A,1703,88,N,0,VBM PORTION,103,0,0,16,1,3,10,27,1,1,1,0,0,0,18,6,0,0,12
MALIBU,4050014A,1703,88,N,947,TOTAL,198,0,1,45,3,3,21,44,1,1,1,0,0,0,32,8,1,0,22
MALIBU,4050051A,1704,88,N,1361,POLLING PLACE,179,1,0,56,5,4,15,35,3,1,1,1,0,1,29,10,2,0,9
MALIBU,4050051A,1704,88,N,0,VBM PORTION,164,0,0,25,8,3,11,45,0,0,0,2,3,0,20,17,1,3,13
MALIBU,4050051A,1704,88,N,1361,TOTAL,343,1,0,81,13,7,26,80,3,1,1,3,3,1,49,27,3,3,22
MALIBU,4050057A,1705,88,N,951,POLLING PLACE,134,0,0,31,1,3,16,44,0,1,0,2,1,0,17,3,0,0,3
MALIBU,4050057A,1705,88,N,0,VBM PORTION,113,0,1,19,4,3,10,23,2,0,0,2,1,1,22,7,1,1,8
MALIBU,4050057A,1705,88,N,951,TOTAL,247,0,1,50,5,6,26,67,2,1,0,4,2,1,39,10,1,1,11
MALIBU,4050059B,1706,88,N,673,POLLING PLACE,56,0,0,23,2,0,2,13,0,0,0,0,0,0,4,5,1,0,0
MALIBU,4050059B,1706,88,N,0,VBM PORTION,104,0,0,18,2,3,10,28,0,1,0,0,4,0,15,7,0,0,6
MALIBU,4050059B,1706,88,N,673,TOTAL,160,0,0,41,4,3,12,41,0,1,0,0,4,0,19,12,1,0,6
MALIBU,4050062A,1707,88,N,988,POLLING PLACE,159,0,2,42,3,3,27,25,1,0,0,0,0,0,29,4,1,0,13
MALIBU,4050062A,1707,88,N,0,VBM PORTION,135,1,1,28,2,0,5,30,1,0,0,2,2,0,29,9,0,1,8
MALIBU,4050062A,1707,88,N,988,TOTAL,294,1,3,70,5,3,32,55,2,0,0,2,2,0,58,13,1,1,21
MALIBU,4050063A,1708,88,N,983,POLLING PLACE,99,0,0,47,3,1,6,15,0,4,0,0,1,0,7,2,0,0,5
MALIBU,4050063A,1708,88,N,0,VBM PORTION,154,1,2,37,3,0,10,28,0,0,1,2,1,0,33,7,1,3,14
MALIBU,4050063A,1708,88,N,983,TOTAL,253,1,2,84,6,1,16,43,0,4,1,2,2,0,40,9,1,3,19
MALIBU,4050064A,1709,88,N,1015,POLLING PLACE,147,1,0,48,4,2,11,29,3,0,1,0,1,1,19,7,1,0,10
MALIBU,4050064A,1709,88,N,0,VBM PORTION,156,0,0,24,2,0,18,36,4,0,0,0,1,3,33,11,0,0,9
MALIBU,4050064A,1709,88,N,1015,TOTAL,303,1,0,72,6,2,29,65,7,0,1,0,2,4,52,18,1,0,19
MALIBU HEIGHTS,4060001A,1710,88,N,455,POLLING PLACE,82,0,1,17,5,2,6,21,0,0,0,1,0,0,18,2,1,0,5
MALIBU HEIGHTS,4060001A,1710,88,N,0,VBM PORTION,58,0,0,11,0,1,5,13,0,0,0,1,0,0,12,4,0,2,5
MALIBU HEIGHTS,4060001A,1710,88,N,455,TOTAL,140,0,1,28,5,3,11,34,0,0,0,2,0,0,30,6,1,2,10
MALIBU HEIGHTS,4060003A,1711,88,N,765,POLLING PLACE,28,1,0,6,0,0,7,4,0,0,0,0,0,0,4,1,0,0,2
MALIBU HEIGHTS,4060003A,1711,88,N,0,VBM PORTION,38,0,1,1,0,1,3,9,0,0,0,4,0,0,7,4,0,1,4
MALIBU HEIGHTS,4060003A,1711,88,N,765,TOTAL,66,1,1,7,0,1,10,13,0,0,0,4,0,0,11,5,0,1,6
MALIBU HEIGHTS,4060004A,1712,88,N,618,POLLING PLACE,66,0,0,25,2,0,14,6,0,0,0,0,2,0,6,1,0,0,5
MALIBU HEIGHTS,4060004A,1712,88,N,0,VBM PORTION,108,0,0,16,4,5,10,22,0,3,1,2,0,0,18,3,0,2,9
MALIBU HEIGHTS,4060004A,1712,88,N,618,TOTAL,174,0,0,41,6,5,24,28,0,3,1,2,2,0,24,4,0,2,14
MALIBU HEIGHTS,4060012A,1713,88,N,380,POLLING PLACE,54,1,0,16,2,3,1,14,0,0,0,1,1,0,9,2,0,1,1
MALIBU HEIGHTS,4060012A,1713,88,N,0,VBM PORTION,62,0,0,8,1,1,1,13,0,0,0,0,0,0,9,3,0,2,15
MALIBU HEIGHTS,4060012A,1713,88,N,380,TOTAL,116,1,0,24,3,4,2,27,0,0,0,1,1,0,18,5,0,3,16
MANHATTAN BEACH,4100001F,1714,181,N,1108,POLLING PLACE,124,0,0,24,4,2,12,28,2,1,0,0,1,0,10,9,0,1,26
MANHATTAN BEACH,4100001F,1714,181,N,0,VBM PORTION,121,0,0,7,5,3,8,36,4,0,0,2,5,0,7,15,0,0,20
MANHATTAN BEACH,4100001F,1714,181,N,1108,TOTAL,245,0,0,31,9,5,20,64,6,1,0,2,6,0,17,24,0,1,46
MANHATTAN BEACH,4100002A,1715,181,N,916,POLLING PLACE,126,0,0,16,3,2,8,37,2,1,1,0,1,1,12,11,0,0,20
MANHATTAN BEACH,4100002A,1715,181,N,0,VBM PORTION,113,0,1,11,3,3,7,24,1,0,0,1,2,1,12,3,0,2,35
MANHATTAN BEACH,4100002A,1715,181,N,916,TOTAL,239,0,1,27,6,5,15,61,3,1,1,1,3,2,24,14,0,2,55
MANHATTAN BEACH,4100005A,1716,181,N,1075,POLLING PLACE,115,0,0,9,0,3,17,26,1,0,0,1,0,0,15,11,0,0,20
MANHATTAN BEACH,4100005A,1716,181,N,0,VBM PORTION,147,0,0,14,4,0,16,31,3,0,0,0,0,0,16,14,0,1,35
MANHATTAN BEACH,4100005A,1716,181,N,1075,TOTAL,262,0,0,23,4,3,33,57,4,0,0,1,0,0,31,25,0,1,55
MANHATTAN BEACH,4100007B,1717,181,N,1170,POLLING PLACE,129,0,1,13,4,2,26,28,1,1,0,1,0,0,11,7,0,1,25
MANHATTAN BEACH,4100007B,1717,181,N,0,VBM PORTION,160,0,0,14,0,3,12,43,7,1,0,0,2,0,10,17,0,0,37
MANHATTAN BEACH,4100007B,1717,181,N,1170,TOTAL,289,0,1,27,4,5,38,71,8,2,0,1,2,0,21,24,0,1,62
MANHATTAN BEACH,4100012A,1718,181,N,993,POLLING PLACE,178,0,0,18,4,2,20,40,6,1,1,1,3,0,17,5,0,2,38
MANHATTAN BEACH,4100012A,1718,181,N,0,VBM PORTION,136,0,0,7,5,3,10,38,4,0,0,0,0,0,16,8,0,0,30
MANHATTAN BEACH,4100012A,1718,181,N,993,TOTAL,314,0,0,25,9,5,30,78,10,1,1,1,3,0,33,13,0,2,68
MANHATTAN BEACH,4100012B,1719,181,N,1032,POLLING PLACE,168,0,0,19,7,2,22,38,4,0,0,0,1,1,17,6,0,1,32
MANHATTAN BEACH,4100012B,1719,181,N,0,VBM PORTION,185,0,0,11,6,0,20,55,1,3,0,4,1,0,13,15,0,1,40
MANHATTAN BEACH,4100012B,1719,181,N,1032,TOTAL,353,0,0,30,13,2,42,93,5,3,0,4,2,1,30,21,0,2,72
MANHATTAN BEACH,4100014C,1720,181,N,947,POLLING PLACE,158,0,0,10,1,1,13,48,1,0,1,2,0,1,7,13,0,1,45
MANHATTAN BEACH,4100014C,1720,181,N,0,VBM PORTION,141,0,2,3,3,0,14,32,4,0,0,1,3,0,12,19,0,0,33
MANHATTAN BEACH,4100014C,1720,181,N,947,TOTAL,299,0,2,13,4,1,27,80,5,0,1,3,3,1,19,32,0,1,78
MANHATTAN BEACH,4100017A,1721,181,N,1136,POLLING PLACE,146,0,0,10,4,3,22,37,3,1,0,0,1,0,14,4,0,0,36
MANHATTAN BEACH,4100017A,1721,181,N,0,VBM PORTION,175,0,0,12,5,5,17,46,4,2,0,0,1,0,8,23,1,3,41
MANHATTAN BEACH,4100017A,1721,181,N,1136,TOTAL,321,0,0,22,9,8,39,83,7,3,0,0,2,0,22,27,1,3,77
MANHATTAN BEACH,4100019A,1722,181,N,1159,POLLING PLACE,171,0,0,10,9,1,18,38,2,2,1,0,1,1,20,11,1,0,45
MANHATTAN BEACH,4100019A,1722,181,N,0,VBM PORTION,185,0,1,10,1,0,17,42,1,2,0,0,1,0,15,20,1,2,55
MANHATTAN BEACH,4100019A,1722,181,N,1159,TOTAL,356,0,1,20,10,1,35,80,3,4,1,0,2,1,35,31,2,2,100
MANHATTAN BEACH,4100021A,1723,181,N,970,POLLING PLACE,137,0,0,14,2,3,18,26,1,1,1,0,1,1,8,8,1,1,43
MANHATTAN BEACH,4100021A,1723,181,N,0,VBM PORTION,158,1,0,14,3,1,15,37,0,0,0,1,0,0,27,6,0,4,37
MANHATTAN BEACH,4100021A,1723,181,N,970,TOTAL,295,1,0,28,5,4,33,63,1,1,1,1,1,1,35,14,1,5,80
MANHATTAN BEACH,4100025B,1724,181,N,1018,POLLING PLACE,212,0,2,29,3,2,27,48,5,1,3,0,6,1,16,17,0,0,40
MANHATTAN BEACH,4100025B,1724,181,N,0,VBM PORTION,135,0,0,10,2,1,14,32,0,0,1,0,0,0,8,12,1,0,42
MANHATTAN BEACH,4100025B,1724,181,N,1018,TOTAL,347,0,2,39,5,3,41,80,5,1,4,0,6,1,24,29,1,0,82
MANHATTAN BEACH,4100025D,1725,181,N,1083,POLLING PLACE,202,0,1,18,2,1,26,52,1,1,0,0,0,0,14,18,1,2,53
MANHATTAN BEACH,4100025D,1725,181,N,0,VBM PORTION,167,0,0,6,2,2,16,45,1,1,0,1,3,0,18,9,1,1,42
MANHATTAN BEACH,4100025D,1725,181,N,1083,TOTAL,369,0,1,24,4,3,42,97,2,2,0,1,3,0,32,27,2,3,95
MANHATTAN BEACH,4100026A,1726,181,N,1081,POLLING PLACE,146,0,1,14,6,1,18,28,3,0,0,0,2,0,20,5,0,1,37
MANHATTAN BEACH,4100026A,1726,181,N,0,VBM PORTION,165,1,0,10,8,3,11,38,3,0,1,0,1,0,15,12,2,0,45
MANHATTAN BEACH,4100026A,1726,181,N,1081,TOTAL,311,1,1,24,14,4,29,66,6,0,1,0,3,0,35,17,2,1,82
MANHATTAN BEACH,4100028A,1727,181,N,1146,POLLING PLACE,169,0,0,16,5,1,16,46,6,0,0,2,2,0,16,12,0,0,41
MANHATTAN BEACH,4100028A,1727,181,N,0,VBM PORTION,184,1,0,20,2,1,12,53,6,3,1,1,3,1,21,19,0,2,31
MANHATTAN BEACH,4100028A,1727,181,N,1146,TOTAL,353,1,0,36,7,2,28,99,12,3,1,3,5,1,37,31,0,2,72
MANHATTAN BEACH,4100031A,1728,181,N,1122,POLLING PLACE,143,0,1,16,2,5,17,24,1,1,0,2,2,0,16,8,0,0,44
MANHATTAN BEACH,4100031A,1728,181,N,0,VBM PORTION,164,0,0,11,6,3,10,40,1,0,0,0,2,1,15,13,3,0,47
MANHATTAN BEACH,4100031A,1728,181,N,1122,TOTAL,307,0,1,27,8,8,27,64,2,1,0,2,4,1,31,21,3,0,91
MANHATTAN BEACH,4100033A,1729,181,N,1287,POLLING PLACE,214,0,0,21,6,3,22,61,2,0,0,1,2,1,21,7,0,1,56
MANHATTAN BEACH,4100033A,1729,181,N,0,VBM PORTION,181,0,0,6,0,2,19,51,0,0,0,0,3,0,14,15,0,2,61
MANHATTAN BEACH,4100033A,1729,181,N,1287,TOTAL,395,0,0,27,6,5,41,112,2,0,0,1,5,1,35,22,0,3,117
MANHATTAN BEACH,4100034A,1730,181,N,1284,POLLING PLACE,190,0,0,15,4,1,25,38,3,0,2,1,4,0,9,17,1,2,58
MANHATTAN BEACH,4100034A,1730,181,N,0,VBM PORTION,200,0,1,8,7,4,10,44,3,1,0,1,0,0,19,19,3,2,63
MANHATTAN BEACH,4100034A,1730,181,N,1284,TOTAL,390,0,1,23,11,5,35,82,6,1,2,2,4,0,28,36,4,4,121
MANHATTAN BEACH,4100035A,1731,181,N,454,POLLING PLACE,59,0,0,4,0,2,2,25,1,0,0,0,0,0,2,7,0,0,14
MANHATTAN BEACH,4100035A,1731,181,N,0,VBM PORTION,58,2,0,2,3,0,1,11,1,0,0,3,0,0,10,3,0,1,20
MANHATTAN BEACH,4100035A,1731,181,N,454,TOTAL,117,2,0,6,3,2,3,36,2,0,0,3,0,0,12,10,0,1,34
MANHATTAN BEACH,4100036A,1732,181,N,1197,POLLING PLACE,178,0,0,14,2,1,15,49,0,0,0,2,0,0,14,13,2,2,52
MANHATTAN BEACH,4100036A,1732,181,N,0,VBM PORTION,170,0,0,13,2,1,11,38,3,1,0,3,2,0,18,16,1,1,51
MANHATTAN BEACH,4100036A,1732,181,N,1197,TOTAL,348,0,0,27,4,2,26,87,3,1,0,5,2,0,32,29,3,3,103
MANHATTAN BEACH,4100044A,1733,181,N,967,POLLING PLACE,160,0,0,8,1,1,18,44,1,1,1,1,0,0,13,10,0,0,54
MANHATTAN BEACH,4100044A,1733,181,N,0,VBM PORTION,151,0,1,6,3,3,12,43,0,0,0,0,3,0,18,15,0,0,33
MANHATTAN BEACH,4100044A,1733,181,N,967,TOTAL,311,0,1,14,4,4,30,87,1,1,1,1,3,0,31,25,0,0,87
MANHATTAN BEACH,4100047A,1734,181,N,1415,POLLING PLACE,198,0,0,6,8,4,20,54,2,0,0,0,0,0,20,14,2,0,57
MANHATTAN BEACH,4100047A,1734,181,N,0,VBM PORTION,267,2,0,11,6,6,16,78,0,1,0,1,0,1,34,21,1,0,58
MANHATTAN BEACH,4100047A,1734,181,N,1415,TOTAL,465,2,0,17,14,10,36,132,2,1,0,1,0,1,54,35,3,0,115
MANHATTAN BEACH,4100048A,1735,181,N,1022,POLLING PLACE,165,0,0,13,1,1,12,39,1,0,1,0,3,0,26,13,0,0,49
MANHATTAN BEACH,4100048A,1735,181,N,0,VBM PORTION,122,0,0,5,1,3,14,24,0,1,0,0,2,0,13,10,1,0,30
MANHATTAN BEACH,4100048A,1735,181,N,1022,TOTAL,287,0,0,18,2,4,26,63,1,1,1,0,5,0,39,23,1,0,79
MANHATTAN BEACH,4100050A,1736,181,N,1004,POLLING PLACE,79,0,0,13,0,3,8,27,2,0,0,2,1,0,4,7,0,1,9
MANHATTAN BEACH,4100050A,1736,181,N,0,VBM PORTION,95,0,0,8,1,2,6,19,4,0,0,1,0,0,11,8,0,0,25
MANHATTAN BEACH,4100050A,1736,181,N,1004,TOTAL,174,0,0,21,1,5,14,46,6,0,0,3,1,0,15,15,0,1,34
MARINA DEL REY,4150041A,1737,155,N,590,POLLING PLACE,54,0,0,14,3,2,6,3,2,0,0,0,0,1,5,3,0,0,12
MARINA DEL REY,4150041A,1737,155,N,0,VBM PORTION,48,0,0,5,1,6,6,12,1,0,0,0,0,1,6,1,0,0,6
MARINA DEL REY,4150041A,1737,155,N,590,TOTAL,102,0,0,19,4,8,12,15,3,0,0,0,0,2,11,4,0,0,18
MARINA DEL REY,4150045A,1738,155,N,1305,POLLING PLACE,130,2,2,43,2,0,12,12,2,0,0,0,3,0,17,9,0,1,15
MARINA DEL REY,4150045A,1738,155,N,0,VBM PORTION,132,1,1,25,2,4,3,29,0,0,0,2,0,0,21,8,1,3,20
MARINA DEL REY,4150045A,1738,155,N,1305,TOTAL,262,3,3,68,4,4,15,41,2,0,0,2,3,0,38,17,1,4,35
MARINA DEL REY,4150048A,1739,155,N,1019,POLLING PLACE,80,1,0,20,5,4,5,7,2,0,0,0,0,0,13,4,1,0,11
MARINA DEL REY,4150048A,1739,155,N,0,VBM PORTION,66,2,0,8,2,2,6,6,2,0,1,1,3,0,11,6,5,1,8
MARINA DEL REY,4150048A,1739,155,N,1019,TOTAL,146,3,0,28,7,6,11,13,4,0,1,1,3,0,24,10,6,1,19
MARINA DEL REY,4150050A,1740,155,N,784,POLLING PLACE,117,0,0,53,0,12,4,7,2,0,0,1,1,0,12,3,1,0,16
MARINA DEL REY,4150050A,1740,155,N,0,VBM PORTION,65,0,0,19,0,2,2,6,0,0,2,1,0,0,8,4,1,2,8
MARINA DEL REY,4150050A,1740,155,N,784,TOTAL,182,0,0,72,0,14,6,13,2,0,2,2,1,0,20,7,2,2,24
MARINA DEL REY,4150051A,1741,155,N,456,POLLING PLACE,22,0,0,8,0,0,4,0,1,0,0,0,0,0,1,0,0,0,5
MARINA DEL REY,4150051A,1741,155,N,0,VBM PORTION,38,0,0,11,2,3,2,9,0,0,1,0,0,0,6,0,0,0,3
MARINA DEL REY,4150051A,1741,155,N,456,TOTAL,60,0,0,19,2,3,6,9,1,0,1,0,0,0,7,0,0,0,8
MARINA DEL REY,4150053A,1742,155,N,1341,POLLING PLACE,186,0,1,33,3,5,29,26,1,0,1,2,0,0,28,8,5,0,35
MARINA DEL REY,4150053A,1742,155,N,0,VBM PORTION,143,0,1,23,4,7,11,22,1,2,1,2,0,0,26,11,0,0,24
MARINA DEL REY,4150053A,1742,155,N,1341,TOTAL,329,0,2,56,7,12,40,48,2,2,2,4,0,0,54,19,5,0,59
OCEAN VIEW,4850002A,1884,181,N,759,POLLING PLACE,92,0,0,16,5,5,8,17,0,0,0,1,0,0,15,6,0,0,15
OCEAN VIEW,4850002A,1884,181,N,0,VBM PORTION,135,0,0,2,2,4,11,41,0,1,2,2,2,0,15,12,1,0,25
OCEAN VIEW,4850002A,1884,181,N,759,TOTAL,227,0,0,18,7,9,19,58,0,1,2,3,2,0,30,18,1,0,40
OCEAN VIEW,4850005A,1885,181,N,603,POLLING PLACE,96,0,0,6,2,0,8,36,1,0,1,2,0,0,8,14,0,1,12
OCEAN VIEW,4850005A,1885,181,N,0,VBM PORTION,87,0,0,6,7,1,1,30,2,0,0,1,1,0,11,11,0,1,11
OCEAN VIEW,4850005A,1885,181,N,603,TOTAL,183,0,0,12,9,1,9,66,3,0,1,3,1,0,19,25,0,2,23
PALOS VERDES ESTATES,5050001A,1953,181,N,1237,POLLING PLACE,188,0,0,11,4,1,16,59,3,0,0,4,0,0,15,31,1,0,32
PALOS VERDES ESTATES,5050001A,1953,181,N,0,VBM PORTION,216,0,0,7,5,1,8,97,6,2,0,1,0,1,15,30,0,5,30
PALOS VERDES ESTATES,5050001A,1953,181,N,1237,TOTAL,404,0,0,18,9,2,24,156,9,2,0,5,0,1,30,61,1,5,62
PALOS VERDES ESTATES,5050003A,1954,181,N,1103,POLLING PLACE,152,0,0,8,1,4,16,54,2,0,0,0,3,0,14,18,1,0,27
PALOS VERDES ESTATES,5050003A,1954,181,N,0,VBM PORTION,183,1,0,8,4,5,10,53,4,0,0,0,1,1,17,22,0,0,41
PALOS VERDES ESTATES,5050003A,1954,181,N,1103,TOTAL,335,1,0,16,5,9,26,107,6,0,0,0,4,1,31,40,1,0,68
PALOS VERDES ESTATES,5050003D,1955,181,N,1170,POLLING PLACE,158,1,0,10,16,3,16,41,4,1,1,0,1,0,11,27,0,0,21
PALOS VERDES ESTATES,5050003D,1955,181,N,0,VBM PORTION,178,0,0,6,6,0,15,68,2,2,0,2,1,0,19,20,0,1,26
PALOS VERDES ESTATES,5050003D,1955,181,N,1170,TOTAL,336,1,0,16,22,3,31,109,6,3,1,2,2,0,30,47,0,1,47
