LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
BURBANK,0950016A,300,37,N,1270,POLLING PLACE,117,38,65,8
BURBANK,0950016A,300,37,N,0,VBM PORTION,133,46,61,11
BURBANK,0950016A,300,37,N,1270,TOTAL,250,84,126,19
BURBANK,0950035A,310,37,N,875,POLLING PLACE,46,14,28,2
BURBANK,0950035A,310,37,N,0,VBM PORTION,39,9,24,3
BURBANK,0950035A,310,37,N,875,TOTAL,85,23,52,5
BURBANK,0950178A,335,37,N,1331,POLLING PLACE,100,31,54,9
BURBANK,0950178A,335,37,N,0,VBM PORTION,118,39,63,3
BURBANK,0950178A,335,37,N,1331,TOTAL,218,70,117,12
BURBANK,0950186A,340,36,N,872,POLLING PLACE,57,21,30,4
BURBANK,0950186A,340,36,N,0,VBM PORTION,80,36,27,11
BURBANK,0950186A,340,36,N,872,TOTAL,137,57,57,15
BURBANK,0950187A,341,36,N,1083,POLLING PLACE,80,28,37,1
BURBANK,0950187A,341,36,N,0,VBM PORTION,83,18,51,10
BURBANK,0950187A,341,36,N,1083,TOTAL,163,46,88,11
BURBANK,0950189A,342,37,N,937,POLLING PLACE,85,21,46,8
BURBANK,0950189A,342,37,N,0,VBM PORTION,81,28,42,4
BURBANK,0950189A,342,37,N,937,TOTAL,166,49,88,12
BURBANK,0950191A,343,37,N,956,POLLING PLACE,62,19,34,7
BURBANK,0950191A,343,37,N,0,VBM PORTION,75,26,36,6
BURBANK,0950191A,343,37,N,956,TOTAL,137,45,70,13
BURBANK,0950193A,344,37,N,1015,POLLING PLACE,80,32,32,10
BURBANK,0950193A,344,37,N,0,VBM PORTION,80,27,35,7
BURBANK,0950193A,344,37,N,1015,TOTAL,160,59,67,17
BURBANK,0950194A,345,37,N,930,POLLING PLACE,91,33,50,3
BURBANK,0950194A,345,37,N,0,VBM PORTION,79,29,38,2
BURBANK,0950194A,345,37,N,930,TOTAL,170,62,88,5
SAN FERNANDO,6050001A,2305,15,N,895,POLLING PLACE,66,14,45,3
SAN FERNANDO,6050001A,2305,15,N,0,VBM PORTION,49,7,32,4
SAN FERNANDO,6050001A,2305,15,N,895,TOTAL,115,21,77,7
SAN FERNANDO,6050002A,2306,15,N,787,POLLING PLACE,62,21,34,1
SAN FERNANDO,6050002A,2306,15,N,0,VBM PORTION,52,9,39,2
SAN FERNANDO,6050002A,2306,15,N,787,TOTAL,114,30,73,3
SAN FERNANDO,6050005A,2307,15,N,1265,POLLING PLACE,86,36,35,8
SAN FERNANDO,6050005A,2307,15,N,0,VBM PORTION,51,13,31,3
SAN FERNANDO,6050005A,2307,15,N,1265,TOTAL,137,49,66,11
SAN FERNANDO,6050007A,2308,15,N,1232,POLLING PLACE,90,31,48,3
SAN FERNANDO,6050007A,2308,15,N,0,VBM PORTION,85,24,51,6
SAN FERNANDO,6050007A,2308,15,N,1232,TOTAL,175,55,99,9
SAN FERNANDO,6050009A,2309,15,N,1178,POLLING PLACE,74,31,34,5
SAN FERNANDO,6050009A,2309,15,N,0,VBM PORTION,57,21,32,2
SAN FERNANDO,6050009A,2309,15,N,1178,TOTAL,131,52,66,7
SAN FERNANDO,6050010A,2310,15,N,747,POLLING PLACE,44,12,24,3
SAN FERNANDO,6050010A,2310,15,N,0,VBM PORTION,28,5,20,1
SAN FERNANDO,6050010A,2310,15,N,747,TOTAL,72,17,44,4
SAN FERNANDO,6050012A,2311,15,N,1013,POLLING PLACE,71,27,40,0
SAN FERNANDO,6050012A,2311,15,N,0,VBM PORTION,42,12,23,2
SAN FERNANDO,6050012A,2311,15,N,1013,TOTAL,113,39,63,2
SAN FERNANDO,6050013A,2312,15,N,1093,POLLING PLACE,62,22,29,3
SAN FERNANDO,6050013A,2312,15,N,0,VBM PORTION,55,20,29,2
SAN FERNANDO,6050013A,2312,15,N,1093,TOTAL,117,42,58,5
SAN FERNANDO,6050016A,2313,15,N,994,POLLING PLACE,83,22,42,6
SAN FERNANDO,6050016A,2313,15,N,0,VBM PORTION,51,11,32,3
SAN FERNANDO,6050016A,2313,15,N,994,TOTAL,134,33,74,9
SUNLAND,6850028A,6166,16,Y,0,POLLING PLACE,0,0,0,0
SUNLAND,6850028A,6166,16,Y,0,VBM PORTION,0,0,0,0
SUNLAND,6850028A,6166,16,Y,0,TOTAL,0,0,0,0
UNIVERSAL,7300001A,6169,63,Y,0,POLLING PLACE,0,0,0,0
UNIVERSAL,7300001A,6169,63,Y,0,VBM PORTION,1,0,1,0
UNIVERSAL,7300001A,6169,63,Y,0,TOTAL,1,0,1,0
LOS ANGELES,9000009A,2978,15,N,810,POLLING PLACE,54,21,31,2
LOS ANGELES,9000009A,2978,15,N,0,VBM PORTION,41,13,20,4
LOS ANGELES,9000009A,2978,15,N,810,TOTAL,95,34,51,6
LOS ANGELES,9000019A,2981,15,N,852,POLLING PLACE,87,23,50,5
LOS ANGELES,9000019A,2981,15,N,0,VBM PORTION,77,18,43,9
LOS ANGELES,9000019A,2981,15,N,852,TOTAL,164,41,93,14
LOS ANGELES,9000027A,2986,15,N,1251,POLLING PLACE,66,16,39,8
LOS ANGELES,9000027A,2986,15,N,0,VBM PORTION,60,13,35,5
LOS ANGELES,9000027A,2986,15,N,1251,TOTAL,126,29,74,13
LOS ANGELES,9000036A,6178,16,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9000036A,6178,16,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9000036A,6178,16,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9000045C,2996,19,N,971,POLLING PLACE,93,16,55,7
LOS ANGELES,9000045C,2996,19,N,0,VBM PORTION,52,8,36,3
LOS ANGELES,9000045C,2996,19,N,971,TOTAL,145,24,91,10
LOS ANGELES,9000046A,6179,20,Y,56,POLLING PLACE,0,0,0,0
LOS ANGELES,9000046A,6179,20,Y,0,VBM PORTION,13,7,4,2
LOS ANGELES,9000046A,6179,20,Y,56,TOTAL,13,7,4,2
LOS ANGELES,9000060A,3004,15,N,1153,POLLING PLACE,90,24,60,5
LOS ANGELES,9000060A,3004,15,N,0,VBM PORTION,94,21,57,4
LOS ANGELES,9000060A,3004,15,N,1153,TOTAL,184,45,117,9
LOS ANGELES,9000061A,3005,15,N,1059,POLLING PLACE,45,11,30,1
LOS ANGELES,9000061A,3005,15,N,0,VBM PORTION,81,16,49,6
LOS ANGELES,9000061A,3005,15,N,1059,TOTAL,126,27,79,7
LOS ANGELES,9000068A,3010,19,N,880,POLLING PLACE,40,9,26,2
LOS ANGELES,9000068A,3010,19,N,0,VBM PORTION,51,1,36,5
LOS ANGELES,9000068A,3010,19,N,880,TOTAL,91,10,62,7
LOS ANGELES,9000069A,3011,15,N,863,POLLING PLACE,46,7,33,3
LOS ANGELES,9000069A,3011,15,N,0,VBM PORTION,35,1,27,3
LOS ANGELES,9000069A,3011,15,N,863,TOTAL,81,8,60,6
LOS ANGELES,9000070A,3012,15,N,889,POLLING PLACE,62,10,37,5
LOS ANGELES,9000070A,3012,15,N,0,VBM PORTION,28,6,16,4
LOS ANGELES,9000070A,3012,15,N,889,TOTAL,90,16,53,9
LOS ANGELES,9000072A,3014,59,N,1209,POLLING PLACE,94,36,47,5
LOS ANGELES,9000072A,3014,59,N,0,VBM PORTION,107,33,52,6
LOS ANGELES,9000072A,3014,59,N,1209,TOTAL,201,69,99,11
LOS ANGELES,9000073A,3015,59,N,1253,POLLING PLACE,153,69,66,9
LOS ANGELES,9000073A,3015,59,N,0,VBM PORTION,74,33,29,2
LOS ANGELES,9000073A,3015,59,N,1253,TOTAL,227,102,95,11
LOS ANGELES,9000074A,3016,15,N,967,POLLING PLACE,81,35,31,8
LOS ANGELES,9000074A,3016,15,N,0,VBM PORTION,97,21,56,9
LOS ANGELES,9000074A,3016,15,N,967,TOTAL,178,56,87,17
LOS ANGELES,9000075A,3017,15,N,1055,POLLING PLACE,45,14,25,4
LOS ANGELES,9000075A,3017,15,N,0,VBM PORTION,56,20,20,6
LOS ANGELES,9000075A,3017,15,N,1055,TOTAL,101,34,45,10
LOS ANGELES,9000078A,3020,15,N,986,POLLING PLACE,66,23,34,8
LOS ANGELES,9000078A,3020,15,N,0,VBM PORTION,49,15,29,1
LOS ANGELES,9000078A,3020,15,N,986,TOTAL,115,38,63,9
LOS ANGELES,9000079C,3021,15,N,1047,POLLING PLACE,68,14,41,5
LOS ANGELES,9000079C,3021,15,N,0,VBM PORTION,55,10,39,0
LOS ANGELES,9000079C,3021,15,N,1047,TOTAL,123,24,80,5
LOS ANGELES,9000080A,3022,15,N,1057,POLLING PLACE,57,12,30,4
LOS ANGELES,9000080A,3022,15,N,0,VBM PORTION,44,7,34,2
LOS ANGELES,9000080A,3022,15,N,1057,TOTAL,101,19,64,6
LOS ANGELES,9000082A,3023,59,N,1371,POLLING PLACE,124,49,68,3
LOS ANGELES,9000082A,3023,59,N,0,VBM PORTION,128,34,66,7
LOS ANGELES,9000082A,3023,59,N,1371,TOTAL,252,83,134,10
LOS ANGELES,9000088A,3028,59,N,1203,POLLING PLACE,61,14,41,2
LOS ANGELES,9000088A,3028,59,N,0,VBM PORTION,57,13,31,5
LOS ANGELES,9000088A,3028,59,N,1203,TOTAL,118,27,72,7
LOS ANGELES,9000089A,3029,59,N,1170,POLLING PLACE,67,14,40,7
LOS ANGELES,9000089A,3029,59,N,0,VBM PORTION,59,14,38,4
LOS ANGELES,9000089A,3029,59,N,1170,TOTAL,126,28,78,11
LOS ANGELES,9000090A,3030,19,N,1121,POLLING PLACE,36,10,20,1
LOS ANGELES,9000090A,3030,19,N,0,VBM PORTION,55,19,27,1
LOS ANGELES,9000090A,3030,19,N,1121,TOTAL,91,29,47,2
LOS ANGELES,9000094A,3032,19,N,942,POLLING PLACE,51,16,29,3
LOS ANGELES,9000094A,3032,19,N,0,VBM PORTION,29,3,16,4
LOS ANGELES,9000094A,3032,19,N,942,TOTAL,80,19,45,7
LOS ANGELES,9000097C,3035,15,N,1113,POLLING PLACE,73,25,41,4
LOS ANGELES,9000097C,3035,15,N,0,VBM PORTION,61,24,28,3
LOS ANGELES,9000097C,3035,15,N,1113,TOTAL,134,49,69,7
LOS ANGELES,9000101A,3038,15,N,1210,POLLING PLACE,87,23,46,9
LOS ANGELES,9000101A,3038,15,N,0,VBM PORTION,78,26,45,3
LOS ANGELES,9000101A,3038,15,N,1210,TOTAL,165,49,91,12
LOS ANGELES,9000102A,3039,59,N,1094,POLLING PLACE,99,31,48,8
LOS ANGELES,9000102A,3039,59,N,0,VBM PORTION,70,18,41,5
LOS ANGELES,9000102A,3039,59,N,1094,TOTAL,169,49,89,13
LOS ANGELES,9000110A,3041,19,N,853,POLLING PLACE,45,11,26,4
LOS ANGELES,9000110A,3041,19,N,0,VBM PORTION,21,4,12,2
LOS ANGELES,9000110A,3041,19,N,853,TOTAL,66,15,38,6
LOS ANGELES,9000113A,3043,15,N,613,POLLING PLACE,29,9,11,8
LOS ANGELES,9000113A,3043,15,N,0,VBM PORTION,16,4,5,7
LOS ANGELES,9000113A,3043,15,N,613,TOTAL,45,13,16,15
LOS ANGELES,9000116A,3045,19,N,1305,POLLING PLACE,60,15,34,6
LOS ANGELES,9000116A,3045,19,N,0,VBM PORTION,44,8,32,2
LOS ANGELES,9000116A,3045,19,N,1305,TOTAL,104,23,66,8
LOS ANGELES,9000118A,3046,51,N,1378,POLLING PLACE,112,46,37,8
LOS ANGELES,9000118A,3046,51,N,0,VBM PORTION,117,45,48,10
