LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ZACHARY TAYLOR,ADRIN NAZARIAN
UNIVERSAL,7300001A,6169,63,Y,0,POLLING PLACE,0,0,0
UNIVERSAL,7300001A,6169,63,Y,0,VBM PORTION,1,0,0
UNIVERSAL,7300001A,6169,63,Y,0,TOTAL,1,0,0
LOS ANGELES,9000058A,3003,64,N,1236,POLLING PLACE,112,28,79
LOS ANGELES,9000058A,3003,64,N,0,VBM PORTION,83,32,41
LOS ANGELES,9000058A,3003,64,N,1236,TOTAL,195,60,120
LOS ANGELES,9000072A,3014,59,N,1209,POLLING PLACE,94,42,46
LOS ANGELES,9000072A,3014,59,N,0,VBM PORTION,107,32,54
LOS ANGELES,9000072A,3014,59,N,1209,TOTAL,201,74,100
LOS ANGELES,9000073A,3015,59,N,1253,POLLING PLACE,153,73,68
LOS ANGELES,9000073A,3015,59,N,0,VBM PORTION,74,39,24
LOS ANGELES,9000073A,3015,59,N,1253,TOTAL,227,112,92
LOS ANGELES,9000082A,3023,59,N,1371,POLLING PLACE,124,53,59
LOS ANGELES,9000082A,3023,59,N,0,VBM PORTION,128,42,65
LOS ANGELES,9000082A,3023,59,N,1371,TOTAL,252,95,124
LOS ANGELES,9000083A,3024,64,N,1367,POLLING PLACE,122,49,65
LOS ANGELES,9000083A,3024,64,N,0,VBM PORTION,110,30,67
LOS ANGELES,9000083A,3024,64,N,1367,TOTAL,232,79,132
LOS ANGELES,9000086A,3026,64,N,1286,POLLING PLACE,151,61,81
LOS ANGELES,9000086A,3026,64,N,0,VBM PORTION,90,24,50
LOS ANGELES,9000086A,3026,64,N,1286,TOTAL,241,85,131
LOS ANGELES,9000088A,3028,59,N,1203,POLLING PLACE,61,12,46
LOS ANGELES,9000088A,3028,59,N,0,VBM PORTION,57,12,33
LOS ANGELES,9000088A,3028,59,N,1203,TOTAL,118,24,79
LOS ANGELES,9000089A,3029,59,N,1170,POLLING PLACE,67,10,49
LOS ANGELES,9000089A,3029,59,N,0,VBM PORTION,59,16,38
LOS ANGELES,9000089A,3029,59,N,1170,TOTAL,126,26,87
LOS ANGELES,9000102A,3039,59,N,1094,POLLING PLACE,99,29,59
LOS ANGELES,9000102A,3039,59,N,0,VBM PORTION,70,23,40
LOS ANGELES,9000102A,3039,59,N,1094,TOTAL,169,52,99
LOS ANGELES,9000127A,3051,62,N,1286,POLLING PLACE,100,20,72
LOS ANGELES,9000127A,3051,62,N,0,VBM PORTION,125,44,66
LOS ANGELES,9000127A,3051,62,N,1286,TOTAL,225,64,138
LOS ANGELES,9000135B,3057,62,N,1318,POLLING PLACE,89,26,54
LOS ANGELES,9000135B,3057,62,N,0,VBM PORTION,75,18,49
LOS ANGELES,9000135B,3057,62,N,1318,TOTAL,164,44,103
LOS ANGELES,9000136A,3058,59,N,1252,POLLING PLACE,90,24,60
LOS ANGELES,9000136A,3058,59,N,0,VBM PORTION,92,26,57
LOS ANGELES,9000136A,3058,59,N,1252,TOTAL,182,50,117
LOS ANGELES,9000137A,3059,59,N,1305,POLLING PLACE,63,13,47
LOS ANGELES,9000137A,3059,59,N,0,VBM PORTION,96,32,48
LOS ANGELES,9000137A,3059,59,N,1305,TOTAL,159,45,95
LOS ANGELES,9000140A,3061,59,N,1023,POLLING PLACE,78,23,49
LOS ANGELES,9000140A,3061,59,N,0,VBM PORTION,40,4,32
LOS ANGELES,9000140A,3061,59,N,1023,TOTAL,118,27,81
LOS ANGELES,9000142A,3063,62,N,1346,POLLING PLACE,94,28,64
LOS ANGELES,9000142A,3063,62,N,0,VBM PORTION,103,32,58
LOS ANGELES,9000142A,3063,62,N,1346,TOTAL,197,60,122
LOS ANGELES,9000148A,3065,59,N,1214,POLLING PLACE,68,17,45
LOS ANGELES,9000148A,3065,59,N,0,VBM PORTION,88,35,43
LOS ANGELES,9000148A,3065,59,N,1214,TOTAL,156,52,88
LOS ANGELES,9000149A,3066,59,N,767,POLLING PLACE,46,12,33
LOS ANGELES,9000149A,3066,59,N,0,VBM PORTION,40,11,23
LOS ANGELES,9000149A,3066,59,N,767,TOTAL,86,23,56
LOS ANGELES,9000151A,3067,59,N,1210,POLLING PLACE,110,30,75
LOS ANGELES,9000151A,3067,59,N,0,VBM PORTION,104,32,66
LOS ANGELES,9000151A,3067,59,N,1210,TOTAL,214,62,141
LOS ANGELES,9000153A,3068,59,N,1270,POLLING PLACE,113,37,67
LOS ANGELES,9000153A,3068,59,N,0,VBM PORTION,85,14,58
LOS ANGELES,9000153A,3068,59,N,1270,TOTAL,198,51,125
LOS ANGELES,9000154B,3069,63,N,1282,POLLING PLACE,154,44,98
LOS ANGELES,9000154B,3069,63,N,0,VBM PORTION,143,35,89
LOS ANGELES,9000154B,3069,63,N,1282,TOTAL,297,79,187
LOS ANGELES,9000155A,3070,64,N,1301,POLLING PLACE,109,44,60
LOS ANGELES,9000155A,3070,64,N,0,VBM PORTION,95,32,53
LOS ANGELES,9000155A,3070,64,N,1301,TOTAL,204,76,113
LOS ANGELES,9000155B,3071,64,N,1372,POLLING PLACE,94,36,46
LOS ANGELES,9000155B,3071,64,N,0,VBM PORTION,101,28,62
LOS ANGELES,9000155B,3071,64,N,1372,TOTAL,195,64,108
LOS ANGELES,9000157B,3072,59,N,1031,POLLING PLACE,37,10,25
LOS ANGELES,9000157B,3072,59,N,0,VBM PORTION,57,10,43
LOS ANGELES,9000157B,3072,59,N,1031,TOTAL,94,20,68
LOS ANGELES,9000160A,3074,64,N,881,POLLING PLACE,64,23,39
LOS ANGELES,9000160A,3074,64,N,0,VBM PORTION,95,31,50
LOS ANGELES,9000160A,3074,64,N,881,TOTAL,159,54,89
LOS ANGELES,9000172A,3078,64,N,1026,POLLING PLACE,73,27,35
LOS ANGELES,9000172A,3078,64,N,0,VBM PORTION,91,22,59
LOS ANGELES,9000172A,3078,64,N,1026,TOTAL,164,49,94
LOS ANGELES,9000177A,3082,59,N,909,POLLING PLACE,70,24,41
LOS ANGELES,9000177A,3082,59,N,0,VBM PORTION,38,11,19
LOS ANGELES,9000177A,3082,59,N,909,TOTAL,108,35,60
LOS ANGELES,9000178A,3083,59,N,1144,POLLING PLACE,84,37,42
LOS ANGELES,9000178A,3083,59,N,0,VBM PORTION,75,23,48
LOS ANGELES,9000178A,3083,59,N,1144,TOTAL,159,60,90
LOS ANGELES,9000192A,3092,64,N,1161,POLLING PLACE,99,25,64
LOS ANGELES,9000192A,3092,64,N,0,VBM PORTION,82,29,47
LOS ANGELES,9000192A,3092,64,N,1161,TOTAL,181,54,111
LOS ANGELES,9000193A,3093,59,N,1420,POLLING PLACE,89,25,58
LOS ANGELES,9000193A,3093,59,N,0,VBM PORTION,84,17,56
LOS ANGELES,9000193A,3093,59,N,1420,TOTAL,173,42,114
LOS ANGELES,9000197B,3094,59,N,993,POLLING PLACE,84,21,52
LOS ANGELES,9000197B,3094,59,N,0,VBM PORTION,54,19,27
LOS ANGELES,9000197B,3094,59,N,993,TOTAL,138,40,79
LOS ANGELES,9000201B,3095,59,N,1089,POLLING PLACE,55,16,35
LOS ANGELES,9000201B,3095,59,N,0,VBM PORTION,73,20,45
LOS ANGELES,9000201B,3095,59,N,1089,TOTAL,128,36,80
LOS ANGELES,9000205A,3098,59,N,1154,POLLING PLACE,49,5,40
LOS ANGELES,9000205A,3098,59,N,0,VBM PORTION,48,17,30
LOS ANGELES,9000205A,3098,59,N,1154,TOTAL,97,22,70
LOS ANGELES,9000214A,3103,62,N,471,POLLING PLACE,27,7,17
LOS ANGELES,9000214A,3103,62,N,0,VBM PORTION,27,7,17
LOS ANGELES,9000214A,3103,62,N,471,TOTAL,54,14,34
LOS ANGELES,9000214D,3104,62,N,1245,POLLING PLACE,80,19,52
LOS ANGELES,9000214D,3104,62,N,0,VBM PORTION,71,17,46
LOS ANGELES,9000214D,3104,62,N,1245,TOTAL,151,36,98
LOS ANGELES,9000215B,3105,63,N,1415,POLLING PLACE,125,21,89
LOS ANGELES,9000215B,3105,63,N,0,VBM PORTION,161,44,95
LOS ANGELES,9000215B,3105,63,N,1415,TOTAL,286,65,184
LOS ANGELES,9000231A,3114,63,N,1294,POLLING PLACE,162,38,115
LOS ANGELES,9000231A,3114,63,N,0,VBM PORTION,134,27,97
LOS ANGELES,9000231A,3114,63,N,1294,TOTAL,296,65,212
LOS ANGELES,9000251A,3124,63,N,824,POLLING PLACE,129,39,78
LOS ANGELES,9000251A,3124,63,N,0,VBM PORTION,73,28,34
LOS ANGELES,9000251A,3124,63,N,824,TOTAL,202,67,112
LOS ANGELES,9000260A,3130,63,N,966,POLLING PLACE,89,31,50
LOS ANGELES,9000260A,3130,63,N,0,VBM PORTION,176,50,99
LOS ANGELES,9000260A,3130,63,N,966,TOTAL,265,81,149
LOS ANGELES,9000261C,3131,63,N,935,POLLING PLACE,65,13,48
LOS ANGELES,9000261C,3131,63,N,0,VBM PORTION,65,17,43
LOS ANGELES,9000261C,3131,63,N,935,TOTAL,130,30,91
LOS ANGELES,9000268A,3136,63,N,1383,POLLING PLACE,146,33,99
LOS ANGELES,9000268A,3136,63,N,0,VBM PORTION,163,37,101
LOS ANGELES,9000268A,3136,63,N,1383,TOTAL,309,70,200
LOS ANGELES,9000307A,3161,63,N,1085,POLLING PLACE,99,28,65
LOS ANGELES,9000307A,3161,63,N,0,VBM PORTION,86,23,50
LOS ANGELES,9000307A,3161,63,N,1085,TOTAL,185,51,115
LOS ANGELES,9000347A,3188,63,N,1206,POLLING PLACE,80,19,53
LOS ANGELES,9000347A,3188,63,N,0,VBM PORTION,84,24,52
LOS ANGELES,9000347A,3188,63,N,1206,TOTAL,164,43,105
LOS ANGELES,9000348C,3189,63,N,1002,POLLING PLACE,77,13,57
LOS ANGELES,9000348C,3189,63,N,0,VBM PORTION,86,15,59
LOS ANGELES,9000348C,3189,63,N,1002,TOTAL,163,28,116
LOS ANGELES,9000356A,3192,59,N,1218,POLLING PLACE,110,49,56
LOS ANGELES,9000356A,3192,59,N,0,VBM PORTION,104,46,46
LOS ANGELES,9000356A,3192,59,N,1218,TOTAL,214,95,102
LOS ANGELES,9000358A,3194,59,N,1213,POLLING PLACE,106,44,54
LOS ANGELES,9000358A,3194,59,N,0,VBM PORTION,114,42,62
LOS ANGELES,9000358A,3194,59,N,1213,TOTAL,220,86,116
LOS ANGELES,9000363A,3197,59,N,824,POLLING PLACE,67,30,28
LOS ANGELES,9000363A,3197,59,N,0,VBM PORTION,87,34,41
LOS ANGELES,9000363A,3197,59,N,824,TOTAL,154,64,69
LOS ANGELES,9000364A,3198,59,N,871,POLLING PLACE,90,44,40
LOS ANGELES,9000364A,3198,59,N,0,VBM PORTION,72,26,37
LOS ANGELES,9000364A,3198,59,N,871,TOTAL,162,70,77
LOS ANGELES,9000365A,3199,59,N,932,POLLING PLACE,95,35,50
LOS ANGELES,9000365A,3199,59,N,0,VBM PORTION,82,42,34
LOS ANGELES,9000365A,3199,59,N,932,TOTAL,177,77,84
LOS ANGELES,9000377B,3204,62,N,869,POLLING PLACE,91,23,58
LOS ANGELES,9000377B,3204,62,N,0,VBM PORTION,96,14,70
LOS ANGELES,9000377B,3204,62,N,869,TOTAL,187,37,128
LOS ANGELES,9000385A,3210,62,N,1435,POLLING PLACE,110,23,80
LOS ANGELES,9000385A,3210,62,N,0,VBM PORTION,117,26,79
LOS ANGELES,9000385A,3210,62,N,1435,TOTAL,227,49,159
LOS ANGELES,9000386B,3211,59,N,1042,POLLING PLACE,42,11,25
LOS ANGELES,9000386B,3211,59,N,0,VBM PORTION,63,15,44
LOS ANGELES,9000386B,3211,59,N,1042,TOTAL,105,26,69
LOS ANGELES,9000398A,3220,59,N,865,POLLING PLACE,55,22,29
LOS ANGELES,9000398A,3220,59,N,0,VBM PORTION,71,19,50
LOS ANGELES,9000398A,3220,59,N,865,TOTAL,126,41,79
LOS ANGELES,9000399A,3221,59,N,1381,POLLING PLACE,99,27,64
LOS ANGELES,9000399A,3221,59,N,0,VBM PORTION,124,37,78
LOS ANGELES,9000399A,3221,59,N,1381,TOTAL,223,64,142
LOS ANGELES,9000400A,3222,59,N,1041,POLLING PLACE,38,5,28
LOS ANGELES,9000400A,3222,59,N,0,VBM PORTION,48,13,30
LOS ANGELES,9000400A,3222,59,N,1041,TOTAL,86,18,58
LOS ANGELES,9000402A,3224,63,N,1370,POLLING PLACE,144,27,104
LOS ANGELES,9000402A,3224,63,N,0,VBM PORTION,127,25,86
LOS ANGELES,9000402A,3224,63,N,1370,TOTAL,271,52,190
LOS ANGELES,9000404A,3225,59,N,836,POLLING PLACE,53,11,39
LOS ANGELES,9000404A,3225,59,N,0,VBM PORTION,48,13,30
LOS ANGELES,9000404A,3225,59,N,836,TOTAL,101,24,69
LOS ANGELES,9000405A,3226,59,N,746,POLLING PLACE,56,8,42
LOS ANGELES,9000405A,3226,59,N,0,VBM PORTION,32,6,24
LOS ANGELES,9000405A,3226,59,N,746,TOTAL,88,14,66
LOS ANGELES,9000405C,3227,59,N,902,POLLING PLACE,48,8,36
LOS ANGELES,9000405C,3227,59,N,0,VBM PORTION,36,9,26
LOS ANGELES,9000405C,3227,59,N,902,TOTAL,84,17,62
LOS ANGELES,9000406A,3228,59,N,915,POLLING PLACE,33,8,24
LOS ANGELES,9000406A,3228,59,N,0,VBM PORTION,34,8,23
LOS ANGELES,9000406A,3228,59,N,915,TOTAL,67,16,47
LOS ANGELES,9000406B,3229,59,N,1007,POLLING PLACE,39,3,31
LOS ANGELES,9000406B,3229,59,N,0,VBM PORTION,65,16,36
LOS ANGELES,9000406B,3229,59,N,1007,TOTAL,104,19,67
LOS ANGELES,9000408A,3230,59,N,986,POLLING PLACE,48,16,27
LOS ANGELES,9000408A,3230,59,N,0,VBM PORTION,41,11,24
LOS ANGELES,9000408A,3230,59,N,986,TOTAL,89,27,51
LOS ANGELES,9000410A,3231,63,N,1071,POLLING PLACE,81,19,47
LOS ANGELES,9000410A,3231,63,N,0,VBM PORTION,86,17,58
LOS ANGELES,9000410A,3231,63,N,1071,TOTAL,167,36,105
LOS ANGELES,9000411B,3232,59,N,678,POLLING PLACE,53,26,21
LOS ANGELES,9000411B,3232,59,N,0,VBM PORTION,58,15,31
LOS ANGELES,9000411B,3232,59,N,678,TOTAL,111,41,52
LOS ANGELES,9000415A,3235,59,N,1150,POLLING PLACE,62,8,51
LOS ANGELES,9000415A,3235,59,N,0,VBM PORTION,63,9,48
LOS ANGELES,9000415A,3235,59,N,1150,TOTAL,125,17,99
LOS ANGELES,9000417A,3237,59,N,1108,POLLING PLACE,94,36,48
LOS ANGELES,9000417A,3237,59,N,0,VBM PORTION,90,30,49
LOS ANGELES,9000417A,3237,59,N,1108,TOTAL,184,66,97
LOS ANGELES,9000422A,3239,63,N,1234,POLLING PLACE,132,33,90
LOS ANGELES,9000422A,3239,63,N,0,VBM PORTION,90,19,60
LOS ANGELES,9000422A,3239,63,N,1234,TOTAL,222,52,150
LOS ANGELES,9000425A,3241,64,N,1291,POLLING PLACE,147,56,72
LOS ANGELES,9000425A,3241,64,N,0,VBM PORTION,90,35,50
LOS ANGELES,9000425A,3241,64,N,1291,TOTAL,237,91,122
LOS ANGELES,9000428A,3243,63,N,844,POLLING PLACE,118,38,76
LOS ANGELES,9000428A,3243,63,N,0,VBM PORTION,75,29,36
LOS ANGELES,9000428A,3243,63,N,844,TOTAL,193,67,112
LOS ANGELES,9000436A,3244,64,N,1095,POLLING PLACE,90,36,43
LOS ANGELES,9000436A,3244,64,N,0,VBM PORTION,94,23,58
LOS ANGELES,9000436A,3244,64,N,1095,TOTAL,184,59,101
LOS ANGELES,9000442A,3247,59,N,824,POLLING PLACE,60,10,44
LOS ANGELES,9000442A,3247,59,N,0,VBM PORTION,47,16,27
LOS ANGELES,9000442A,3247,59,N,824,TOTAL,107,26,71
LOS ANGELES,9000443A,3248,59,N,764,POLLING PLACE,46,12,29
LOS ANGELES,9000443A,3248,59,N,0,VBM PORTION,32,6,23
LOS ANGELES,9000443A,3248,59,N,764,TOTAL,78,18,52
LOS ANGELES,9000469A,3264,59,N,1182,POLLING PLACE,64,10,50
LOS ANGELES,9000469A,3264,59,N,0,VBM PORTION,57,16,38
LOS ANGELES,9000469A,3264,59,N,1182,TOTAL,121,26,88
LOS ANGELES,9000490A,3272,59,N,1270,POLLING PLACE,88,21,56
LOS ANGELES,9000490A,3272,59,N,0,VBM PORTION,64,23,34
LOS ANGELES,9000490A,3272,59,N,1270,TOTAL,152,44,90
LOS ANGELES,9000492C,3273,63,N,887,POLLING PLACE,77,41,29
LOS ANGELES,9000492C,3273,63,N,0,VBM PORTION,81,31,42
LOS ANGELES,9000492C,3273,63,N,887,TOTAL,158,72,71
LOS ANGELES,9000494A,3275,59,N,1225,POLLING PLACE,55,15,33
LOS ANGELES,9000494A,3275,59,N,0,VBM PORTION,79,20,54
LOS ANGELES,9000494A,3275,59,N,1225,TOTAL,134,35,87
LOS ANGELES,9000496A,3277,59,N,912,POLLING PLACE,59,31,25
LOS ANGELES,9000496A,3277,59,N,0,VBM PORTION,46,11,32
LOS ANGELES,9000496A,3277,59,N,912,TOTAL,105,42,57
LOS ANGELES,9000503A,3281,59,N,1236,POLLING PLACE,73,20,48
LOS ANGELES,9000503A,3281,59,N,0,VBM PORTION,70,15,45
LOS ANGELES,9000503A,3281,59,N,1236,TOTAL,143,35,93
LOS ANGELES,9000506A,3283,59,N,1435,POLLING PLACE,64,16,45
LOS ANGELES,9000506A,3283,59,N,0,VBM PORTION,109,21,79
LOS ANGELES,9000506A,3283,59,N,1435,TOTAL,173,37,124
LOS ANGELES,9000508A,3285,59,N,1007,POLLING PLACE,61,20,32
LOS ANGELES,9000508A,3285,59,N,0,VBM PORTION,71,24,42
LOS ANGELES,9000508A,3285,59,N,1007,TOTAL,132,44,74
LOS ANGELES,9000511A,3289,63,N,1308,POLLING PLACE,84,25,50
LOS ANGELES,9000511A,3289,63,N,0,VBM PORTION,103,26,59
LOS ANGELES,9000511A,3289,63,N,1308,TOTAL,187,51,109
LOS ANGELES,9000549A,3311,62,N,1375,POLLING PLACE,114,29,69
LOS ANGELES,9000549A,3311,62,N,0,VBM PORTION,119,20,88
LOS ANGELES,9000549A,3311,62,N,1375,TOTAL,233,49,157
LOS ANGELES,9000553D,3314,62,N,1221,POLLING PLACE,63,11,43
LOS ANGELES,9000553D,3314,62,N,0,VBM PORTION,69,7,55
LOS ANGELES,9000553D,3314,62,N,1221,TOTAL,132,18,98
LOS ANGELES,9000562A,3322,62,N,1494,POLLING PLACE,77,23,53
LOS ANGELES,9000562A,3322,62,N,0,VBM PORTION,95,23,61
LOS ANGELES,9000562A,3322,62,N,1494,TOTAL,172,46,114
LOS ANGELES,9000563A,3323,62,N,1359,POLLING PLACE,88,23,60
LOS ANGELES,9000563A,3323,62,N,0,VBM PORTION,89,22,56
LOS ANGELES,9000563A,3323,62,N,1359,TOTAL,177,45,116
LOS ANGELES,9000568A,3325,62,N,1216,POLLING PLACE,69,22,37
LOS ANGELES,9000568A,3325,62,N,0,VBM PORTION,118,30,80
LOS ANGELES,9000568A,3325,62,N,1216,TOTAL,187,52,117
LOS ANGELES,9000572A,3327,62,N,1310,POLLING PLACE,112,31,74
LOS ANGELES,9000572A,3327,62,N,0,VBM PORTION,111,45,53
LOS ANGELES,9000572A,3327,62,N,1310,TOTAL,223,76,127
LOS ANGELES,9000575A,3329,62,N,1446,POLLING PLACE,128,39,83
LOS ANGELES,9000575A,3329,62,N,0,VBM PORTION,161,38,100
LOS ANGELES,9000575A,3329,62,N,1446,TOTAL,289,77,183
LOS ANGELES,9000578A,3330,59,N,1308,POLLING PLACE,108,28,70
LOS ANGELES,9000578A,3330,59,N,0,VBM PORTION,92,29,54
LOS ANGELES,9000578A,3330,59,N,1308,TOTAL,200,57,124
LOS ANGELES,9000581A,3332,62,N,1519,POLLING PLACE,117,25,82
LOS ANGELES,9000581A,3332,62,N,0,VBM PORTION,104,16,75
LOS ANGELES,9000581A,3332,62,N,1519,TOTAL,221,41,157
