LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ZACHARY TAYLOR,ADRIN NAZARIAN
LOS ANGELES,9000596A,3340,63,N,1057,POLLING PLACE,122,31,82
LOS ANGELES,9000596A,3340,63,N,0,VBM PORTION,124,27,78
LOS ANGELES,9000596A,3340,63,N,1057,TOTAL,246,58,160
LOS ANGELES,9000606A,3347,62,N,1048,POLLING PLACE,94,26,57
LOS ANGELES,9000606A,3347,62,N,0,VBM PORTION,75,15,48
LOS ANGELES,9000606A,3347,62,N,1048,TOTAL,169,41,105
LOS ANGELES,9000611B,3351,63,N,1314,POLLING PLACE,101,39,58
LOS ANGELES,9000611B,3351,63,N,0,VBM PORTION,136,46,77
LOS ANGELES,9000611B,3351,63,N,1314,TOTAL,237,85,135
LOS ANGELES,9000613B,3353,62,N,1385,POLLING PLACE,94,21,65
LOS ANGELES,9000613B,3353,62,N,0,VBM PORTION,161,40,101
LOS ANGELES,9000613B,3353,62,N,1385,TOTAL,255,61,166
LOS ANGELES,9000668B,3375,59,N,870,POLLING PLACE,60,20,36
LOS ANGELES,9000668B,3375,59,N,0,VBM PORTION,65,7,52
LOS ANGELES,9000668B,3375,59,N,870,TOTAL,125,27,88
LOS ANGELES,9000727A,3399,59,N,1255,POLLING PLACE,81,26,51
LOS ANGELES,9000727A,3399,59,N,0,VBM PORTION,57,12,40
LOS ANGELES,9000727A,3399,59,N,1255,TOTAL,138,38,91
LOS ANGELES,9000737B,3403,59,N,1081,POLLING PLACE,75,13,53
LOS ANGELES,9000737B,3403,59,N,0,VBM PORTION,102,31,60
LOS ANGELES,9000737B,3403,59,N,1081,TOTAL,177,44,113
LOS ANGELES,9000745A,3405,63,N,1432,POLLING PLACE,128,37,80
LOS ANGELES,9000745A,3405,63,N,0,VBM PORTION,141,30,98
LOS ANGELES,9000745A,3405,63,N,1432,TOTAL,269,67,178
LOS ANGELES,9000751B,3407,62,N,1453,POLLING PLACE,114,36,75
LOS ANGELES,9000751B,3407,62,N,0,VBM PORTION,145,33,100
LOS ANGELES,9000751B,3407,62,N,1453,TOTAL,259,69,175
LOS ANGELES,9000773B,3414,62,N,1412,POLLING PLACE,134,28,98
LOS ANGELES,9000773B,3414,62,N,0,VBM PORTION,116,27,78
LOS ANGELES,9000773B,3414,62,N,1412,TOTAL,250,55,176
LOS ANGELES,9000777B,3416,64,N,1129,POLLING PLACE,128,38,80
LOS ANGELES,9000777B,3416,64,N,0,VBM PORTION,110,35,60
LOS ANGELES,9000777B,3416,64,N,1129,TOTAL,238,73,140
LOS ANGELES,9000799A,3425,63,N,1342,POLLING PLACE,133,28,89
LOS ANGELES,9000799A,3425,63,N,0,VBM PORTION,176,49,108
LOS ANGELES,9000799A,3425,63,N,1342,TOTAL,309,77,197
LOS ANGELES,9000805A,3431,59,N,1143,POLLING PLACE,94,21,56
LOS ANGELES,9000805A,3431,59,N,0,VBM PORTION,58,19,30
LOS ANGELES,9000805A,3431,59,N,1143,TOTAL,152,40,86
LOS ANGELES,9000841A,3446,63,N,734,POLLING PLACE,105,27,61
LOS ANGELES,9000841A,3446,63,N,0,VBM PORTION,69,19,39
LOS ANGELES,9000841A,3446,63,N,734,TOTAL,174,46,100
LOS ANGELES,9000951A,3488,65,N,885,POLLING PLACE,81,20,51
LOS ANGELES,9000951A,3488,65,N,0,VBM PORTION,96,25,62
LOS ANGELES,9000951A,3488,65,N,885,TOTAL,177,45,113
LOS ANGELES,9000956A,3490,65,N,938,POLLING PLACE,69,25,38
LOS ANGELES,9000956A,3490,65,N,0,VBM PORTION,107,30,67
LOS ANGELES,9000956A,3490,65,N,938,TOTAL,176,55,105
LOS ANGELES,9000987A,3500,63,N,626,POLLING PLACE,70,16,48
LOS ANGELES,9000987A,3500,63,N,0,VBM PORTION,74,21,42
LOS ANGELES,9000987A,3500,63,N,626,TOTAL,144,37,90
LOS ANGELES,9000988B,3501,63,N,829,POLLING PLACE,38,12,23
LOS ANGELES,9000988B,3501,63,N,0,VBM PORTION,65,15,43
LOS ANGELES,9000988B,3501,63,N,829,TOTAL,103,27,66
LOS ANGELES,9000990A,3503,63,N,1145,POLLING PLACE,104,15,78
LOS ANGELES,9000990A,3503,63,N,0,VBM PORTION,71,14,42
LOS ANGELES,9000990A,3503,63,N,1145,TOTAL,175,29,120
LOS ANGELES,9001002B,3511,63,N,1221,POLLING PLACE,107,21,74
LOS ANGELES,9001002B,3511,63,N,0,VBM PORTION,128,36,76
LOS ANGELES,9001002B,3511,63,N,1221,TOTAL,235,57,150
LOS ANGELES,9001015D,3516,63,N,1193,POLLING PLACE,103,29,64
LOS ANGELES,9001015D,3516,63,N,0,VBM PORTION,97,21,65
LOS ANGELES,9001015D,3516,63,N,1193,TOTAL,200,50,129
LOS ANGELES,9001016A,3517,63,N,1141,POLLING PLACE,97,21,66
LOS ANGELES,9001016A,3517,63,N,0,VBM PORTION,85,25,49
LOS ANGELES,9001016A,3517,63,N,1141,TOTAL,182,46,115
LOS ANGELES,9001052C,3540,63,N,1216,POLLING PLACE,163,37,109
LOS ANGELES,9001052C,3540,63,N,0,VBM PORTION,103,26,66
LOS ANGELES,9001052C,3540,63,N,1216,TOTAL,266,63,175
LOS ANGELES,9001063A,3544,63,N,1220,POLLING PLACE,102,19,77
LOS ANGELES,9001063A,3544,63,N,0,VBM PORTION,104,30,63
LOS ANGELES,9001063A,3544,63,N,1220,TOTAL,206,49,140
LOS ANGELES,9001064A,3545,59,N,1069,POLLING PLACE,65,11,44
LOS ANGELES,9001064A,3545,59,N,0,VBM PORTION,35,8,22
LOS ANGELES,9001064A,3545,59,N,1069,TOTAL,100,19,66
LOS ANGELES,9001080A,3553,63,N,1262,POLLING PLACE,171,39,111
LOS ANGELES,9001080A,3553,63,N,0,VBM PORTION,162,36,101
LOS ANGELES,9001080A,3553,63,N,1262,TOTAL,333,75,212
LOS ANGELES,9001083A,3555,63,N,868,POLLING PLACE,99,33,58
LOS ANGELES,9001083A,3555,63,N,0,VBM PORTION,75,22,45
LOS ANGELES,9001083A,3555,63,N,868,TOTAL,174,55,103
LOS ANGELES,9001084A,3556,63,N,1189,POLLING PLACE,73,19,47
LOS ANGELES,9001084A,3556,63,N,0,VBM PORTION,96,29,62
LOS ANGELES,9001084A,3556,63,N,1189,TOTAL,169,48,109
LOS ANGELES,9001085B,3557,63,N,1091,POLLING PLACE,89,24,58
LOS ANGELES,9001085B,3557,63,N,0,VBM PORTION,84,19,55
LOS ANGELES,9001085B,3557,63,N,1091,TOTAL,173,43,113
LOS ANGELES,9001092A,3560,63,N,1171,POLLING PLACE,104,28,64
LOS ANGELES,9001092A,3560,63,N,0,VBM PORTION,65,14,45
LOS ANGELES,9001092A,3560,63,N,1171,TOTAL,169,42,109
LOS ANGELES,9001094C,3561,63,N,1179,POLLING PLACE,124,20,90
LOS ANGELES,9001094C,3561,63,N,0,VBM PORTION,104,29,57
LOS ANGELES,9001094C,3561,63,N,1179,TOTAL,228,49,147
LOS ANGELES,9001095A,3562,63,N,1280,POLLING PLACE,124,33,84
LOS ANGELES,9001095A,3562,63,N,0,VBM PORTION,120,17,84
LOS ANGELES,9001095A,3562,63,N,1280,TOTAL,244,50,168
LOS ANGELES,9001099A,3564,63,N,581,POLLING PLACE,44,15,26
LOS ANGELES,9001099A,3564,63,N,0,VBM PORTION,85,23,53
LOS ANGELES,9001099A,3564,63,N,581,TOTAL,129,38,79
LOS ANGELES,9001103A,3566,63,N,1106,POLLING PLACE,149,38,97
LOS ANGELES,9001103A,3566,63,N,0,VBM PORTION,187,44,117
