LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,23,5,6,38,21,48
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,23,5,8,24,24,40
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,46,10,14,62,45,88
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,20,7,6,19,20,27
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,21,6,7,23,27,34
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,41,13,13,42,47,61
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,20,5,4,20,13,38
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,30,5,7,25,21,27
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,50,10,11,45,34,65
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,24,4,5,26,25,36
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,12,3,4,24,35,44
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,36,7,9,50,60,80
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,8,10,1,14,36,50
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,6,7,4,15,41,46
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,14,17,5,29,77,96
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,7,2,3,10,30,40
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,3,3,1,13,21,26
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,10,5,4,23,51,66
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,2,2,1,8,18,25
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,8,0,2,9,18,27
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,10,2,3,17,36,52
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,2,0,1,1,3,16
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,2,0,1,1,3,16
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,0,0,2,2,2,6
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,0,0,2,2,2,6
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0,0,0,0
