LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM BREWER,PAT FUREY,BILL SUTHERLAND
TORRANCE,7150039A,2680,180,N,1026,TOTAL,207,66,62,49
TORRANCE,7150041A,2681,185,N,1266,POLLING PLACE,139,38,67,30
TORRANCE,7150041A,2681,185,N,0,VBM PORTION,175,54,53,50
TORRANCE,7150041A,2681,185,N,1266,TOTAL,314,92,120,80
TORRANCE,7150046A,2682,180,N,1317,POLLING PLACE,219,73,71,48
TORRANCE,7150046A,2682,180,N,0,VBM PORTION,158,48,41,36
TORRANCE,7150046A,2682,180,N,1317,TOTAL,377,121,112,84
TORRANCE,7150048A,2683,185,N,1320,POLLING PLACE,102,31,41,23
TORRANCE,7150048A,2683,185,N,0,VBM PORTION,96,25,30,23
TORRANCE,7150048A,2683,185,N,1320,TOTAL,198,56,71,46
TORRANCE,7150049A,2684,185,N,1024,POLLING PLACE,159,46,52,54
TORRANCE,7150049A,2684,185,N,0,VBM PORTION,146,33,48,55
TORRANCE,7150049A,2684,185,N,1024,TOTAL,305,79,100,109
TORRANCE,7150050A,2685,180,N,1028,POLLING PLACE,156,64,46,27
TORRANCE,7150050A,2685,180,N,0,VBM PORTION,152,71,42,20
TORRANCE,7150050A,2685,180,N,1028,TOTAL,308,135,88,47
TORRANCE,7150051B,2686,185,N,1102,POLLING PLACE,126,48,39,33
TORRANCE,7150051B,2686,185,N,0,VBM PORTION,148,44,52,36
TORRANCE,7150051B,2686,185,N,1102,TOTAL,274,92,91,69
TORRANCE,7150055A,2687,185,N,911,POLLING PLACE,111,28,48,30
TORRANCE,7150055A,2687,185,N,0,VBM PORTION,130,49,36,27
TORRANCE,7150055A,2687,185,N,911,TOTAL,241,77,84,57
TORRANCE,7150056A,2688,185,N,1075,POLLING PLACE,194,57,86,41
TORRANCE,7150056A,2688,185,N,0,VBM PORTION,137,32,45,40
TORRANCE,7150056A,2688,185,N,1075,TOTAL,331,89,131,81
TORRANCE,7150058A,2689,185,N,1161,POLLING PLACE,137,56,35,39
TORRANCE,7150058A,2689,185,N,0,VBM PORTION,105,29,35,27
TORRANCE,7150058A,2689,185,N,1161,TOTAL,242,85,70,66
TORRANCE,7150061A,2690,182,N,1306,POLLING PLACE,163,44,63,32
TORRANCE,7150061A,2690,182,N,0,VBM PORTION,176,43,49,55
TORRANCE,7150061A,2690,182,N,1306,TOTAL,339,87,112,87
TORRANCE,7150064A,2691,182,N,1292,POLLING PLACE,255,98,89,53
TORRANCE,7150064A,2691,182,N,0,VBM PORTION,250,93,67,68
TORRANCE,7150064A,2691,182,N,1292,TOTAL,505,191,156,121
TORRANCE,7150065A,2692,182,N,1043,POLLING PLACE,101,28,35,29
TORRANCE,7150065A,2692,182,N,0,VBM PORTION,169,46,48,53
TORRANCE,7150065A,2692,182,N,1043,TOTAL,270,74,83,82
TORRANCE,7150067A,2693,182,N,1355,POLLING PLACE,217,71,64,67
TORRANCE,7150067A,2693,182,N,0,VBM PORTION,224,56,74,63
TORRANCE,7150067A,2693,182,N,1355,TOTAL,441,127,138,130
TORRANCE,7150068B,2694,182,N,1173,POLLING PLACE,180,68,53,51
TORRANCE,7150068B,2694,182,N,0,VBM PORTION,179,58,61,41
TORRANCE,7150068B,2694,182,N,1173,TOTAL,359,126,114,92
TORRANCE,7150069A,2695,182,N,1152,POLLING PLACE,166,40,65,40
TORRANCE,7150069A,2695,182,N,0,VBM PORTION,140,40,46,37
TORRANCE,7150069A,2695,182,N,1152,TOTAL,306,80,111,77
TORRANCE,7150071A,2696,180,N,984,POLLING PLACE,210,79,82,30
TORRANCE,7150071A,2696,180,N,0,VBM PORTION,133,49,50,22
TORRANCE,7150071A,2696,180,N,984,TOTAL,343,128,132,52
TORRANCE,7150076A,2697,185,N,1121,POLLING PLACE,109,31,43,28
TORRANCE,7150076A,2697,185,N,0,VBM PORTION,177,43,61,44
TORRANCE,7150076A,2697,185,N,1121,TOTAL,286,74,104,72
TORRANCE,7150077A,2698,185,N,950,POLLING PLACE,114,37,47,18
TORRANCE,7150077A,2698,185,N,0,VBM PORTION,143,54,43,17
TORRANCE,7150077A,2698,185,N,950,TOTAL,257,91,90,35
TORRANCE,7150078D,2699,180,N,749,POLLING PLACE,112,46,41,16
TORRANCE,7150078D,2699,180,N,0,VBM PORTION,156,62,48,22
TORRANCE,7150078D,2699,180,N,749,TOTAL,268,108,89,38
TORRANCE,7150081B,2700,180,N,902,POLLING PLACE,142,54,54,18
TORRANCE,7150081B,2700,180,N,0,VBM PORTION,150,55,44,33
TORRANCE,7150081B,2700,180,N,902,TOTAL,292,109,98,51
TORRANCE,7150082A,2701,180,N,1156,POLLING PLACE,224,94,76,37
TORRANCE,7150082A,2701,180,N,0,VBM PORTION,137,41,47,39
TORRANCE,7150082A,2701,180,N,1156,TOTAL,361,135,123,76
TORRANCE,7150084A,2702,180,N,1039,POLLING PLACE,191,65,85,30
TORRANCE,7150084A,2702,180,N,0,VBM PORTION,157,61,46,27
TORRANCE,7150084A,2702,180,N,1039,TOTAL,348,126,131,57
TORRANCE,7150087A,2703,182,N,1243,POLLING PLACE,137,53,37,27
TORRANCE,7150087A,2703,182,N,0,VBM PORTION,169,47,50,38
TORRANCE,7150087A,2703,182,N,1243,TOTAL,306,100,87,65
TORRANCE,7150090A,2704,180,N,980,POLLING PLACE,168,81,58,21
TORRANCE,7150090A,2704,180,N,0,VBM PORTION,163,65,60,18
TORRANCE,7150090A,2704,180,N,980,TOTAL,331,146,118,39
TORRANCE,7150092B,2705,180,N,1253,POLLING PLACE,262,113,99,38
TORRANCE,7150092B,2705,180,N,0,VBM PORTION,179,53,76,28
TORRANCE,7150092B,2705,180,N,1253,TOTAL,441,166,175,66
TORRANCE,7150094A,2706,180,N,1374,POLLING PLACE,174,40,90,29
TORRANCE,7150094A,2706,180,N,0,VBM PORTION,163,49,50,49
TORRANCE,7150094A,2706,180,N,1374,TOTAL,337,89,140,78
TORRANCE,7150098A,2707,180,N,1210,POLLING PLACE,263,85,89,58
TORRANCE,7150098A,2707,180,N,0,VBM PORTION,198,62,60,56
TORRANCE,7150098A,2707,180,N,1210,TOTAL,461,147,149,114
TORRANCE,7150101A,2708,180,N,1315,POLLING PLACE,178,82,35,42
TORRANCE,7150101A,2708,180,N,0,VBM PORTION,201,60,64,42
TORRANCE,7150101A,2708,180,N,1315,TOTAL,379,142,99,84
TORRANCE,7150102A,2709,180,N,1117,POLLING PLACE,153,51,63,20
TORRANCE,7150102A,2709,180,N,0,VBM PORTION,168,59,50,31
TORRANCE,7150102A,2709,180,N,1117,TOTAL,321,110,113,51
TORRANCE,7150104A,2710,180,N,885,POLLING PLACE,211,87,67,37
TORRANCE,7150104A,2710,180,N,0,VBM PORTION,188,74,42,48
TORRANCE,7150104A,2710,180,N,885,TOTAL,399,161,109,85
TORRANCE,7150106A,2711,180,N,1291,POLLING PLACE,241,95,87,42
TORRANCE,7150106A,2711,180,N,0,VBM PORTION,271,85,94,51
TORRANCE,7150106A,2711,180,N,1291,TOTAL,512,180,181,93
TORRANCE,7150109A,2712,180,N,1376,POLLING PLACE,268,99,84,55
TORRANCE,7150109A,2712,180,N,0,VBM PORTION,235,76,69,48
TORRANCE,7150109A,2712,180,N,1376,TOTAL,503,175,153,103
TORRANCE,7150112B,2713,180,N,1000,POLLING PLACE,176,63,74,32
TORRANCE,7150112B,2713,180,N,0,VBM PORTION,203,53,65,56
TORRANCE,7150112B,2713,180,N,1000,TOTAL,379,116,139,88
TORRANCE,7150114A,2714,180,N,1038,POLLING PLACE,150,46,55,32
TORRANCE,7150114A,2714,180,N,0,VBM PORTION,172,43,43,50
TORRANCE,7150114A,2714,180,N,1038,TOTAL,322,89,98,82
TORRANCE,7150115A,2715,180,N,899,POLLING PLACE,128,39,46,19
TORRANCE,7150115A,2715,180,N,0,VBM PORTION,88,26,26,12
TORRANCE,7150115A,2715,180,N,899,TOTAL,216,65,72,31
TORRANCE,7150116A,2716,182,N,1224,POLLING PLACE,194,70,60,40
TORRANCE,7150116A,2716,182,N,0,VBM PORTION,146,47,45,34
TORRANCE,7150116A,2716,182,N,1224,TOTAL,340,117,105,74
TORRANCE,7150121A,2717,182,N,1406,POLLING PLACE,252,92,75,55
TORRANCE,7150121A,2717,182,N,0,VBM PORTION,252,69,81,65
TORRANCE,7150121A,2717,182,N,1406,TOTAL,504,161,156,120
TORRANCE,7150125A,2718,185,N,838,POLLING PLACE,65,12,31,14
TORRANCE,7150125A,2718,185,N,0,VBM PORTION,74,25,18,16
TORRANCE,7150125A,2718,185,N,838,TOTAL,139,37,49,30
