LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,73,67
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,21,25
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,21,26
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,42,51
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,12,11
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,12,11
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,2,2
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,2,2
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,4,0
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,4,0
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,24,49
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,11,43
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,35,92
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,14,23
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,23,23
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,37,46
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,29,77
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,28,71
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,57,148
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,12,37
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,22,35
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,34,72
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,27,33
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,25,21
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,52,54
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,28,72
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,40,52
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,68,124
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,20,40
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,18,38
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,38,78
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,31,42
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,31,21
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,62,63
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,29,63
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,27,39
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,56,102
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,30,46
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,21,40
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,51,86
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,25,49
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,14,39
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,39,88
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,17,37
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,36,59
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,53,96
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,31,42
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,15,31
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,46,73
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,15,43
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,18,40
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,33,83
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,13,11
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,17,14
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,30,25
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,15,31
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,26,26
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,41,57
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,27,41
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,35,24
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,62,65
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,28,42
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,34,30
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,62,72
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,15,26
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,10,18
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,25,44
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,25,53
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,20,38
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,45,91
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,15,22
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,23,33
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,38,55
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,33,43
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,32,44
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,65,87
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,13,24
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,27,30
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,40,54
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,16,25
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,22,17
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,38,42
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,13,24
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,21,23
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,34,47
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,12,30
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,27,35
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,39,65
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,25,43
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,19,35
