LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,R JONES-SAWYER
LOS ANGELES,9002461A,4147,148,N,907,TOTAL,109,102
LOS ANGELES,9002465A,4148,148,N,1191,POLLING PLACE,80,68
LOS ANGELES,9002465A,4148,148,N,0,VBM PORTION,69,62
LOS ANGELES,9002465A,4148,148,N,1191,TOTAL,149,130
LOS ANGELES,9002466A,4149,148,N,878,POLLING PLACE,29,21
LOS ANGELES,9002466A,4149,148,N,0,VBM PORTION,41,38
LOS ANGELES,9002466A,4149,148,N,878,TOTAL,70,59
LOS ANGELES,9002471A,4150,148,N,1099,POLLING PLACE,31,27
LOS ANGELES,9002471A,4150,148,N,0,VBM PORTION,43,33
LOS ANGELES,9002471A,4150,148,N,1099,TOTAL,74,60
LOS ANGELES,9002472B,4151,148,N,1142,POLLING PLACE,60,52
LOS ANGELES,9002472B,4151,148,N,0,VBM PORTION,57,50
LOS ANGELES,9002472B,4151,148,N,1142,TOTAL,117,102
LOS ANGELES,9002477A,4153,148,N,1020,POLLING PLACE,90,80
LOS ANGELES,9002477A,4153,148,N,0,VBM PORTION,45,41
LOS ANGELES,9002477A,4153,148,N,1020,TOTAL,135,121
LOS ANGELES,9002481A,4154,148,N,918,POLLING PLACE,79,62
LOS ANGELES,9002481A,4154,148,N,0,VBM PORTION,27,26
LOS ANGELES,9002481A,4154,148,N,918,TOTAL,106,88
LOS ANGELES,9002482A,4155,148,N,889,POLLING PLACE,54,42
LOS ANGELES,9002482A,4155,148,N,0,VBM PORTION,49,43
LOS ANGELES,9002482A,4155,148,N,889,TOTAL,103,85
LOS ANGELES,9002484B,4156,148,N,873,POLLING PLACE,59,46
LOS ANGELES,9002484B,4156,148,N,0,VBM PORTION,45,37
LOS ANGELES,9002484B,4156,148,N,873,TOTAL,104,83
LOS ANGELES,9002485A,4157,148,N,1007,POLLING PLACE,51,41
LOS ANGELES,9002485A,4157,148,N,0,VBM PORTION,26,22
LOS ANGELES,9002485A,4157,148,N,1007,TOTAL,77,63
LOS ANGELES,9002485C,4158,148,N,583,POLLING PLACE,26,20
LOS ANGELES,9002485C,4158,148,N,0,VBM PORTION,11,10
LOS ANGELES,9002485C,4158,148,N,583,TOTAL,37,30
LOS ANGELES,9002489A,4159,148,N,901,POLLING PLACE,93,83
LOS ANGELES,9002489A,4159,148,N,0,VBM PORTION,36,28
LOS ANGELES,9002489A,4159,148,N,901,TOTAL,129,111
LOS ANGELES,9002491A,4160,151,N,730,POLLING PLACE,32,24
LOS ANGELES,9002491A,4160,151,N,0,VBM PORTION,18,13
LOS ANGELES,9002491A,4160,151,N,730,TOTAL,50,37
LOS ANGELES,9002492A,4161,148,N,1142,POLLING PLACE,146,126
LOS ANGELES,9002492A,4161,148,N,0,VBM PORTION,68,64
LOS ANGELES,9002492A,4161,148,N,1142,TOTAL,214,190
LOS ANGELES,9002497A,4165,151,N,696,POLLING PLACE,94,71
LOS ANGELES,9002497A,4165,151,N,0,VBM PORTION,63,55
LOS ANGELES,9002497A,4165,151,N,696,TOTAL,157,126
LOS ANGELES,9002499A,4166,151,N,1055,POLLING PLACE,153,120
LOS ANGELES,9002499A,4166,151,N,0,VBM PORTION,93,84
LOS ANGELES,9002499A,4166,151,N,1055,TOTAL,246,204
LOS ANGELES,9002500A,4167,151,N,876,POLLING PLACE,101,84
LOS ANGELES,9002500A,4167,151,N,0,VBM PORTION,67,56
LOS ANGELES,9002500A,4167,151,N,876,TOTAL,168,140
LOS ANGELES,9002503A,4169,151,N,1106,POLLING PLACE,120,96
LOS ANGELES,9002503A,4169,151,N,0,VBM PORTION,78,64
LOS ANGELES,9002503A,4169,151,N,1106,TOTAL,198,160
LOS ANGELES,9002521A,4175,150,N,1237,POLLING PLACE,82,73
LOS ANGELES,9002521A,4175,150,N,0,VBM PORTION,45,34
LOS ANGELES,9002521A,4175,150,N,1237,TOTAL,127,107
LOS ANGELES,9002523A,4176,150,N,1038,POLLING PLACE,62,55
LOS ANGELES,9002523A,4176,150,N,0,VBM PORTION,36,27
LOS ANGELES,9002523A,4176,150,N,1038,TOTAL,98,82
LOS ANGELES,9002525A,4177,150,N,973,POLLING PLACE,65,54
LOS ANGELES,9002525A,4177,150,N,0,VBM PORTION,33,24
LOS ANGELES,9002525A,4177,150,N,973,TOTAL,98,78
LOS ANGELES,9002624A,6209,146,Y,6,POLLING PLACE,0,0
LOS ANGELES,9002624A,6209,146,Y,0,VBM PORTION,0,0
LOS ANGELES,9002624A,6209,146,Y,6,TOTAL,0,0
LOS ANGELES,9002647A,6211,151,Y,13,POLLING PLACE,0,0
LOS ANGELES,9002647A,6211,151,Y,0,VBM PORTION,1,1
LOS ANGELES,9002647A,6211,151,Y,13,TOTAL,1,1
LOS ANGELES,9002673C,4224,150,N,906,POLLING PLACE,57,53
LOS ANGELES,9002673C,4224,150,N,0,VBM PORTION,43,36
LOS ANGELES,9002673C,4224,150,N,906,TOTAL,100,89
LOS ANGELES,9002767A,6217,140,Y,0,POLLING PLACE,0,0
LOS ANGELES,9002767A,6217,140,Y,0,VBM PORTION,0,0
LOS ANGELES,9002767A,6217,140,Y,0,TOTAL,0,0
LOS ANGELES,9002788A,4243,148,N,1092,POLLING PLACE,40,32
LOS ANGELES,9002788A,4243,148,N,0,VBM PORTION,34,26
LOS ANGELES,9002788A,4243,148,N,1092,TOTAL,74,58
LOS ANGELES,9002908A,4267,148,N,1234,POLLING PLACE,93,78
LOS ANGELES,9002908A,4267,148,N,0,VBM PORTION,79,66
LOS ANGELES,9002908A,4267,148,N,1234,TOTAL,172,144
LOS ANGELES,9002927A,4273,148,N,991,POLLING PLACE,79,60
LOS ANGELES,9002927A,4273,148,N,0,VBM PORTION,40,31
LOS ANGELES,9002927A,4273,148,N,991,TOTAL,119,91
LOS ANGELES,9002929A,4274,152,N,766,POLLING PLACE,41,32
LOS ANGELES,9002929A,4274,152,N,0,VBM PORTION,5,3
LOS ANGELES,9002929A,4274,152,N,766,TOTAL,46,35
LOS ANGELES,9003210A,4300,148,N,715,POLLING PLACE,11,6
LOS ANGELES,9003210A,4300,148,N,0,VBM PORTION,7,6
LOS ANGELES,9003210A,4300,148,N,715,TOTAL,18,12
LOS ANGELES,9003240A,4307,148,N,911,POLLING PLACE,73,57
LOS ANGELES,9003240A,4307,148,N,0,VBM PORTION,30,28
LOS ANGELES,9003240A,4307,148,N,911,TOTAL,103,85
LOS ANGELES,9005217B,4401,149,N,1021,POLLING PLACE,42,34
LOS ANGELES,9005217B,4401,149,N,0,VBM PORTION,20,15
LOS ANGELES,9005217B,4401,149,N,1021,TOTAL,62,49
LOS ANGELES,9005414A,4423,148,N,938,POLLING PLACE,117,101
LOS ANGELES,9005414A,4423,148,N,0,VBM PORTION,49,40
LOS ANGELES,9005414A,4423,148,N,938,TOTAL,166,141
LOS ANGELES,9005484A,4426,148,N,1037,POLLING PLACE,49,38
LOS ANGELES,9005484A,4426,148,N,0,VBM PORTION,38,32
LOS ANGELES,9005484A,4426,148,N,1037,TOTAL,87,70
BALLOT GROUP 140,9990140A,8140,140,N,0,POLLING PLACE,0,0
BALLOT GROUP 140,9990140A,8140,140,N,0,VBM PORTION,0,0
BALLOT GROUP 140,9990140A,8140,140,N,0,TOTAL,0,0
BALLOT GROUP 141,9990141A,8141,141,N,0,POLLING PLACE,0,0
BALLOT GROUP 141,9990141A,8141,141,N,0,VBM PORTION,0,0
BALLOT GROUP 141,9990141A,8141,141,N,0,TOTAL,0,0
BALLOT GROUP 142,9990142A,8142,142,N,0,POLLING PLACE,0,0
BALLOT GROUP 142,9990142A,8142,142,N,0,VBM PORTION,0,0
BALLOT GROUP 142,9990142A,8142,142,N,0,TOTAL,0,0
BALLOT GROUP 143,9990143A,8143,143,N,0,POLLING PLACE,0,0
BALLOT GROUP 143,9990143A,8143,143,N,0,VBM PORTION,0,0
BALLOT GROUP 143,9990143A,8143,143,N,0,TOTAL,0,0
BALLOT GROUP 144,9990144A,8144,144,N,0,POLLING PLACE,0,0
BALLOT GROUP 144,9990144A,8144,144,N,0,VBM PORTION,0,0
BALLOT GROUP 144,9990144A,8144,144,N,0,TOTAL,0,0
BALLOT GROUP 145,9990145A,8145,145,N,0,POLLING PLACE,0,0
BALLOT GROUP 145,9990145A,8145,145,N,0,VBM PORTION,0,0
BALLOT GROUP 145,9990145A,8145,145,N,0,TOTAL,0,0
BALLOT GROUP 146,9990146A,8146,146,N,0,POLLING PLACE,0,0
BALLOT GROUP 146,9990146A,8146,146,N,0,VBM PORTION,0,0
BALLOT GROUP 146,9990146A,8146,146,N,0,TOTAL,0,0
BALLOT GROUP 147,9990147A,8147,147,N,0,POLLING PLACE,0,0
BALLOT GROUP 147,9990147A,8147,147,N,0,VBM PORTION,0,0
BALLOT GROUP 147,9990147A,8147,147,N,0,TOTAL,0,0
BALLOT GROUP 148,9990148A,8148,148,N,0,POLLING PLACE,0,0
BALLOT GROUP 148,9990148A,8148,148,N,0,VBM PORTION,6,2
BALLOT GROUP 148,9990148A,8148,148,N,0,TOTAL,3,2
BALLOT GROUP 149,9990149A,8149,149,N,0,POLLING PLACE,0,0
BALLOT GROUP 149,9990149A,8149,149,N,0,VBM PORTION,2,0
BALLOT GROUP 149,9990149A,8149,149,N,0,TOTAL,1,0
BALLOT GROUP 150,9990150A,8150,150,N,0,POLLING PLACE,0,0
BALLOT GROUP 150,9990150A,8150,150,N,0,VBM PORTION,0,0
BALLOT GROUP 150,9990150A,8150,150,N,0,TOTAL,0,0
BALLOT GROUP 151,9990151A,8151,151,N,0,POLLING PLACE,0,0
BALLOT GROUP 151,9990151A,8151,151,N,0,VBM PORTION,0,0
BALLOT GROUP 151,9990151A,8151,151,N,0,TOTAL,0,0
BALLOT GROUP 152,9990152A,8152,152,N,0,POLLING PLACE,0,0
BALLOT GROUP 152,9990152A,8152,152,N,0,VBM PORTION,2,1
BALLOT GROUP 152,9990152A,8152,152,N,0,TOTAL,1,1
BALLOT GROUP 153,9990153A,8153,153,N,0,POLLING PLACE,0,0
BALLOT GROUP 153,9990153A,8153,153,N,0,VBM PORTION,2,1
BALLOT GROUP 153,9990153A,8153,153,N,0,TOTAL,1,1
