LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN WOOD JR,MAXINE WATERS
HAWTHORNE,2700106A,1074,162,N,1168,TOTAL,105,12,82
HAWTHORNE,2700109A,1075,162,N,985,POLLING PLACE,80,27,47
HAWTHORNE,2700109A,1075,162,N,0,VBM PORTION,81,36,39
HAWTHORNE,2700109A,1075,162,N,985,TOTAL,161,63,86
HAWTHORNE,2700116A,1076,162,N,1090,POLLING PLACE,42,3,33
HAWTHORNE,2700116A,1076,162,N,0,VBM PORTION,29,4,23
HAWTHORNE,2700116A,1076,162,N,1090,TOTAL,71,7,56
INGLEWOOD,2950001A,1107,162,N,994,POLLING PLACE,169,4,134
INGLEWOOD,2950001A,1107,162,N,0,VBM PORTION,84,4,78
INGLEWOOD,2950001A,1107,162,N,994,TOTAL,253,8,212
INGLEWOOD,2950002A,1108,160,N,1133,POLLING PLACE,86,7,71
INGLEWOOD,2950002A,1108,160,N,0,VBM PORTION,54,8,41
INGLEWOOD,2950002A,1108,160,N,1133,TOTAL,140,15,112
INGLEWOOD,2950003A,1109,162,N,599,POLLING PLACE,68,2,61
INGLEWOOD,2950003A,1109,162,N,0,VBM PORTION,53,1,45
INGLEWOOD,2950003A,1109,162,N,599,TOTAL,121,3,106
INGLEWOOD,2950004A,1110,162,N,563,POLLING PLACE,76,3,60
INGLEWOOD,2950004A,1110,162,N,0,VBM PORTION,55,2,48
INGLEWOOD,2950004A,1110,162,N,563,TOTAL,131,5,108
INGLEWOOD,2950005A,1111,162,N,592,POLLING PLACE,25,3,19
INGLEWOOD,2950005A,1111,162,N,0,VBM PORTION,22,9,12
INGLEWOOD,2950005A,1111,162,N,592,TOTAL,47,12,31
INGLEWOOD,2950006B,1112,162,N,817,POLLING PLACE,80,3,65
INGLEWOOD,2950006B,1112,162,N,0,VBM PORTION,70,7,59
INGLEWOOD,2950006B,1112,162,N,817,TOTAL,150,10,124
INGLEWOOD,2950007A,1113,162,N,1140,POLLING PLACE,69,8,56
INGLEWOOD,2950007A,1113,162,N,0,VBM PORTION,53,1,48
INGLEWOOD,2950007A,1113,162,N,1140,TOTAL,122,9,104
INGLEWOOD,2950008A,1114,162,N,955,POLLING PLACE,160,4,139
INGLEWOOD,2950008A,1114,162,N,0,VBM PORTION,68,5,59
INGLEWOOD,2950008A,1114,162,N,955,TOTAL,228,9,198
INGLEWOOD,2950009B,1115,162,N,1096,POLLING PLACE,139,8,115
INGLEWOOD,2950009B,1115,162,N,0,VBM PORTION,109,6,98
INGLEWOOD,2950009B,1115,162,N,1096,TOTAL,248,14,213
INGLEWOOD,2950010A,1116,162,N,1114,POLLING PLACE,145,7,119
INGLEWOOD,2950010A,1116,162,N,0,VBM PORTION,99,2,86
INGLEWOOD,2950010A,1116,162,N,1114,TOTAL,244,9,205
INGLEWOOD,2950011A,1117,162,N,787,POLLING PLACE,186,6,161
INGLEWOOD,2950011A,1117,162,N,0,VBM PORTION,87,2,78
INGLEWOOD,2950011A,1117,162,N,787,TOTAL,273,8,239
INGLEWOOD,2950013B,1118,162,N,950,POLLING PLACE,91,7,68
INGLEWOOD,2950013B,1118,162,N,0,VBM PORTION,62,5,50
INGLEWOOD,2950013B,1118,162,N,950,TOTAL,153,12,118
INGLEWOOD,2950014B,1119,162,N,926,POLLING PLACE,126,7,94
INGLEWOOD,2950014B,1119,162,N,0,VBM PORTION,83,8,71
INGLEWOOD,2950014B,1119,162,N,926,TOTAL,209,15,165
INGLEWOOD,2950015B,1120,162,N,626,POLLING PLACE,68,1,56
INGLEWOOD,2950015B,1120,162,N,0,VBM PORTION,51,3,40
INGLEWOOD,2950015B,1120,162,N,626,TOTAL,119,4,96
INGLEWOOD,2950016B,1121,162,N,816,POLLING PLACE,91,3,77
INGLEWOOD,2950016B,1121,162,N,0,VBM PORTION,66,1,61
INGLEWOOD,2950016B,1121,162,N,816,TOTAL,157,4,138
INGLEWOOD,2950017A,1122,162,N,952,POLLING PLACE,58,4,52
INGLEWOOD,2950017A,1122,162,N,0,VBM PORTION,56,4,45
INGLEWOOD,2950017A,1122,162,N,952,TOTAL,114,8,97
INGLEWOOD,2950018A,1123,162,N,1197,POLLING PLACE,187,1,162
INGLEWOOD,2950018A,1123,162,N,0,VBM PORTION,130,9,106
INGLEWOOD,2950018A,1123,162,N,1197,TOTAL,317,10,268
INGLEWOOD,2950019A,1124,162,N,1243,POLLING PLACE,27,2,20
INGLEWOOD,2950019A,1124,162,N,0,VBM PORTION,30,3,27
INGLEWOOD,2950019A,1124,162,N,1243,TOTAL,57,5,47
INGLEWOOD,2950020A,1125,162,N,1078,POLLING PLACE,136,10,98
INGLEWOOD,2950020A,1125,162,N,0,VBM PORTION,95,0,89
INGLEWOOD,2950020A,1125,162,N,1078,TOTAL,231,10,187
INGLEWOOD,2950022A,1126,162,N,970,POLLING PLACE,144,2,122
INGLEWOOD,2950022A,1126,162,N,0,VBM PORTION,82,2,75
INGLEWOOD,2950022A,1126,162,N,970,TOTAL,226,4,197
INGLEWOOD,2950022B,1127,163,N,256,POLLING PLACE,30,1,22
INGLEWOOD,2950022B,1127,163,N,0,VBM PORTION,27,4,20
INGLEWOOD,2950022B,1127,163,N,256,TOTAL,57,5,42
INGLEWOOD,2950023A,1128,162,N,723,POLLING PLACE,83,5,71
INGLEWOOD,2950023A,1128,162,N,0,VBM PORTION,77,4,69
INGLEWOOD,2950023A,1128,162,N,723,TOTAL,160,9,140
