LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KEVIN MC CARTHY
LANCASTER,3550086B,1356,2,N,0,VBM PORTION,92,51
LANCASTER,3550086B,1356,2,N,1194,TOTAL,163,80
LANCASTER,3550094A,1361,2,N,1526,POLLING PLACE,126,78
LANCASTER,3550094A,1361,2,N,0,VBM PORTION,175,120
LANCASTER,3550094A,1361,2,N,1526,TOTAL,301,198
LANCASTER,3550097A,1364,2,N,1296,POLLING PLACE,102,59
LANCASTER,3550097A,1364,2,N,0,VBM PORTION,161,107
LANCASTER,3550097A,1364,2,N,1296,TOTAL,263,166
LANCASTER,3550101A,6083,2,Y,54,POLLING PLACE,0,0
LANCASTER,3550101A,6083,2,Y,0,VBM PORTION,20,13
LANCASTER,3550101A,6083,2,Y,54,TOTAL,20,13
LANCASTER,3550101B,1367,2,N,669,POLLING PLACE,51,21
LANCASTER,3550101B,1367,2,N,0,VBM PORTION,57,35
LANCASTER,3550101B,1367,2,N,669,TOTAL,108,56
LANCASTER,3550101E,1368,2,N,830,POLLING PLACE,71,43
LANCASTER,3550101E,1368,2,N,0,VBM PORTION,66,46
LANCASTER,3550101E,1368,2,N,830,TOTAL,137,89
LANCASTER,3550107A,1369,2,N,1333,POLLING PLACE,88,39
LANCASTER,3550107A,1369,2,N,0,VBM PORTION,96,60
LANCASTER,3550107A,1369,2,N,1333,TOTAL,184,99
QUARTZ HILL,5400004A,2146,2,N,1204,POLLING PLACE,121,66
QUARTZ HILL,5400004A,2146,2,N,0,VBM PORTION,93,60
QUARTZ HILL,5400004A,2146,2,N,1204,TOTAL,214,126
QUARTZ HILL,5400009A,2148,2,N,1137,POLLING PLACE,119,73
QUARTZ HILL,5400009A,2148,2,N,0,VBM PORTION,80,54
QUARTZ HILL,5400009A,2148,2,N,1137,TOTAL,199,127
QUARTZ HILL,5400019A,2149,2,N,878,POLLING PLACE,105,54
QUARTZ HILL,5400019A,2149,2,N,0,VBM PORTION,65,43
QUARTZ HILL,5400019A,2149,2,N,878,TOTAL,170,97
QUARTZ HILL,5400046A,2150,2,N,739,POLLING PLACE,94,39
QUARTZ HILL,5400046A,2150,2,N,0,VBM PORTION,163,94
QUARTZ HILL,5400046A,2150,2,N,739,TOTAL,257,133
QUARTZ HILL,5400047A,2151,2,N,844,POLLING PLACE,99,59
QUARTZ HILL,5400047A,2151,2,N,0,VBM PORTION,123,82
QUARTZ HILL,5400047A,2151,2,N,844,TOTAL,222,141
QUARTZ HILL,5400048A,2152,2,N,1100,POLLING PLACE,120,59
QUARTZ HILL,5400048A,2152,2,N,0,VBM PORTION,112,72
QUARTZ HILL,5400048A,2152,2,N,1100,TOTAL,232,131
QUARTZ HILL,5400055A,2153,2,N,454,POLLING PLACE,66,34
QUARTZ HILL,5400055A,2153,2,N,0,VBM PORTION,58,42
QUARTZ HILL,5400055A,2153,2,N,454,TOTAL,124,76
QUARTZ HILL,5400057A,2154,2,N,992,POLLING PLACE,146,79
QUARTZ HILL,5400057A,2154,2,N,0,VBM PORTION,120,94
QUARTZ HILL,5400057A,2154,2,N,992,TOTAL,266,173
BALLOT GROUP 2,9990002A,8002,2,N,0,POLLING PLACE,0,0
BALLOT GROUP 2,9990002A,8002,2,N,0,VBM PORTION,4,1
BALLOT GROUP 2,9990002A,8002,2,N,0,TOTAL,2,1
