LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE WALKER,SANDRA MENDOZA,MICHAEL ALDAPA,MIGUEL SANTIAGO
LOS ANGELES,9003951B,4346,96,N,892,POLLING PLACE,54,4,9,3,27
LOS ANGELES,9003951B,4346,96,N,0,VBM PORTION,47,3,6,5,19
LOS ANGELES,9003951B,4346,96,N,892,TOTAL,101,7,15,8,46
LOS ANGELES,9003952A,4347,103,N,1041,POLLING PLACE,83,5,18,3,41
LOS ANGELES,9003952A,4347,103,N,0,VBM PORTION,48,4,7,1,25
LOS ANGELES,9003952A,4347,103,N,1041,TOTAL,131,9,25,4,66
LOS ANGELES,9003961A,4349,103,N,1110,POLLING PLACE,86,9,26,7,35
LOS ANGELES,9003961A,4349,103,N,0,VBM PORTION,52,5,5,6,27
LOS ANGELES,9003961A,4349,103,N,1110,TOTAL,138,14,31,13,62
LOS ANGELES,9004120B,4354,95,N,545,POLLING PLACE,35,3,6,4,14
LOS ANGELES,9004120B,4354,95,N,0,VBM PORTION,8,1,2,0,5
LOS ANGELES,9004120B,4354,95,N,545,TOTAL,43,4,8,4,19
LOS ANGELES,9004230A,4365,101,N,760,POLLING PLACE,83,8,13,7,38
LOS ANGELES,9004230A,4365,101,N,0,VBM PORTION,80,2,7,10,37
LOS ANGELES,9004230A,4365,101,N,760,TOTAL,163,10,20,17,75
LOS ANGELES,9005003A,4373,103,N,1097,POLLING PLACE,54,10,7,2,26
LOS ANGELES,9005003A,4373,103,N,0,VBM PORTION,128,13,18,5,50
LOS ANGELES,9005003A,4373,103,N,1097,TOTAL,182,23,25,7,76
LOS ANGELES,9005006A,4374,103,N,1078,POLLING PLACE,156,11,16,12,53
LOS ANGELES,9005006A,4374,103,N,0,VBM PORTION,130,10,11,13,54
LOS ANGELES,9005006A,4374,103,N,1078,TOTAL,286,21,27,25,107
LOS ANGELES,9005012A,4375,103,N,1187,POLLING PLACE,92,18,12,6,36
LOS ANGELES,9005012A,4375,103,N,0,VBM PORTION,86,14,12,4,37
LOS ANGELES,9005012A,4375,103,N,1187,TOTAL,178,32,24,10,73
LOS ANGELES,9005014A,4376,103,N,1304,POLLING PLACE,92,4,19,8,47
LOS ANGELES,9005014A,4376,103,N,0,VBM PORTION,93,9,15,9,36
LOS ANGELES,9005014A,4376,103,N,1304,TOTAL,185,13,34,17,83
LOS ANGELES,9005016A,4377,95,N,1470,POLLING PLACE,89,10,13,6,49
LOS ANGELES,9005016A,4377,95,N,0,VBM PORTION,176,14,24,8,81
LOS ANGELES,9005016A,4377,95,N,1470,TOTAL,265,24,37,14,130
LOS ANGELES,9005022A,4378,96,N,1434,POLLING PLACE,147,24,21,15,63
LOS ANGELES,9005022A,4378,96,N,0,VBM PORTION,146,14,17,19,55
LOS ANGELES,9005022A,4378,96,N,1434,TOTAL,293,38,38,34,118
LOS ANGELES,9005400A,4420,103,N,1262,POLLING PLACE,119,15,27,4,56
LOS ANGELES,9005400A,4420,103,N,0,VBM PORTION,66,10,14,6,27
LOS ANGELES,9005400A,4420,103,N,1262,TOTAL,185,25,41,10,83
LOS ANGELES,9005401A,4421,103,N,1105,POLLING PLACE,69,8,14,3,38
LOS ANGELES,9005401A,4421,103,N,0,VBM PORTION,54,8,6,2,29
LOS ANGELES,9005401A,4421,103,N,1105,TOTAL,123,16,20,5,67
LOS ANGELES,9005405A,4422,104,N,554,POLLING PLACE,45,8,4,2,24
LOS ANGELES,9005405A,4422,104,N,0,VBM PORTION,34,0,3,10,16
LOS ANGELES,9005405A,4422,104,N,554,TOTAL,79,8,7,12,40
LOS ANGELES,9005769B,4446,95,N,1265,POLLING PLACE,81,6,22,4,33
LOS ANGELES,9005769B,4446,95,N,0,VBM PORTION,81,12,9,10,24
LOS ANGELES,9005769B,4446,95,N,1265,TOTAL,162,18,31,14,57
LOS ANGELES,9007015A,4580,96,N,1057,POLLING PLACE,46,10,6,3,17
LOS ANGELES,9007015A,4580,96,N,0,VBM PORTION,44,10,5,7,15
LOS ANGELES,9007015A,4580,96,N,1057,TOTAL,90,20,11,10,32
LOS ANGELES,9007016A,4581,95,N,1515,POLLING PLACE,160,13,19,11,78
LOS ANGELES,9007016A,4581,95,N,0,VBM PORTION,178,10,12,9,89
LOS ANGELES,9007016A,4581,95,N,1515,TOTAL,338,23,31,20,167
LOS ANGELES,9007114A,4583,95,N,1048,POLLING PLACE,83,2,29,3,44
LOS ANGELES,9007114A,4583,95,N,0,VBM PORTION,34,1,8,2,17
LOS ANGELES,9007114A,4583,95,N,1048,TOTAL,117,3,37,5,61
BALLOT GROUP 95,9990095A,8095,95,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 95,9990095A,8095,95,N,0,VBM PORTION,4,0,1,0,1
BALLOT GROUP 95,9990095A,8095,95,N,0,TOTAL,2,0,1,0,1
BALLOT GROUP 96,9990096A,8096,96,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 96,9990096A,8096,96,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 96,9990096A,8096,96,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 97,9990097A,8097,97,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 97,9990097A,8097,97,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 97,9990097A,8097,97,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 98,9990098A,8098,98,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 98,9990098A,8098,98,N,0,VBM PORTION,2,0,1,0,0
BALLOT GROUP 98,9990098A,8098,98,N,0,TOTAL,1,0,1,0,0
BALLOT GROUP 99,9990099A,8099,99,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 99,9990099A,8099,99,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 99,9990099A,8099,99,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 100,9990100A,8100,100,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 100,9990100A,8100,100,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 100,9990100A,8100,100,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 101,9990101A,8101,101,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 101,9990101A,8101,101,N,0,VBM PORTION,4,1,0,0,1
BALLOT GROUP 101,9990101A,8101,101,N,0,TOTAL,2,1,0,0,1
BALLOT GROUP 102,9990102A,8102,102,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 102,9990102A,8102,102,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 102,9990102A,8102,102,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 103,9990103A,8103,103,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 103,9990103A,8103,103,N,0,VBM PORTION,2,1,0,0,0
BALLOT GROUP 103,9990103A,8103,103,N,0,TOTAL,1,1,0,0,0
BALLOT GROUP 104,9990104A,8104,104,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 104,9990104A,8104,104,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 104,9990104A,8104,104,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 105,9990105A,8105,105,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 105,9990105A,8105,105,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 105,9990105A,8105,105,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 106,9990106A,8106,106,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 106,9990106A,8106,106,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 106,9990106A,8106,106,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 107,9990107A,8107,107,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 107,9990107A,8107,107,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 107,9990107A,8107,107,N,0,TOTAL,0,0,0,0,0
