LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JORGE S FUENTES,SCOTT WILK
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,27,91
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,21,90
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,48,181
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,18,78
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,14,57
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,32,135
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,14,43
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,18,47
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,32,90
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,4,6
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,4,6
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0
CANYON COUNTRY,1020005A,6020,10,Y,5,POLLING PLACE,0,0,0
CANYON COUNTRY,1020005A,6020,10,Y,0,VBM PORTION,0,0,0
CANYON COUNTRY,1020005A,6020,10,Y,5,TOTAL,0,0,0
CANYON COUNTRY,1020014A,361,10,N,598,POLLING PLACE,42,17,21
CANYON COUNTRY,1020014A,361,10,N,0,VBM PORTION,70,18,42
CANYON COUNTRY,1020014A,361,10,N,598,TOTAL,112,35,63
CANYON COUNTRY,1020017B,6022,10,Y,220,POLLING PLACE,0,0,0
CANYON COUNTRY,1020017B,6022,10,Y,0,VBM PORTION,66,12,53
CANYON COUNTRY,1020017B,6022,10,Y,220,TOTAL,66,12,53
CASTAIC,1040001A,418,10,N,1153,POLLING PLACE,116,43,65
CASTAIC,1040001A,418,10,N,0,VBM PORTION,103,29,67
CASTAIC,1040001A,418,10,N,1153,TOTAL,219,72,132
CASTAIC,1040001F,419,10,N,557,POLLING PLACE,43,13,23
CASTAIC,1040001F,419,10,N,0,VBM PORTION,48,22,20
CASTAIC,1040001F,419,10,N,557,TOTAL,91,35,43
CASTAIC,1040002A,420,10,N,1107,POLLING PLACE,63,25,33
CASTAIC,1040002A,420,10,N,0,VBM PORTION,55,28,22
CASTAIC,1040002A,420,10,N,1107,TOTAL,118,53,55
CASTAIC,1040003A,421,10,N,1164,POLLING PLACE,103,29,71
CASTAIC,1040003A,421,10,N,0,VBM PORTION,114,34,69
CASTAIC,1040003A,421,10,N,1164,TOTAL,217,63,140
CASTAIC,1040004C,422,10,N,763,POLLING PLACE,51,18,28
CASTAIC,1040004C,422,10,N,0,VBM PORTION,75,17,50
CASTAIC,1040004C,422,10,N,763,TOTAL,126,35,78
CASTAIC,1040014A,423,10,N,1134,POLLING PLACE,80,19,54
CASTAIC,1040014A,423,10,N,0,VBM PORTION,114,36,66
CASTAIC,1040014A,423,10,N,1134,TOTAL,194,55,120
CASTAIC,1040015A,424,10,N,1243,POLLING PLACE,108,20,83
CASTAIC,1040015A,424,10,N,0,VBM PORTION,118,33,77
CASTAIC,1040015A,424,10,N,1243,TOTAL,226,53,160
CASTAIC,1040016A,425,10,N,1084,POLLING PLACE,95,24,67
CASTAIC,1040016A,425,10,N,0,VBM PORTION,100,27,63
CASTAIC,1040016A,425,10,N,1084,TOTAL,195,51,130
CASTAIC,1040017A,426,10,N,899,POLLING PLACE,76,18,52
CASTAIC,1040017A,426,10,N,0,VBM PORTION,86,19,53
CASTAIC,1040017A,426,10,N,899,TOTAL,162,37,105
CASTAIC,1040028A,427,10,N,1330,POLLING PLACE,115,35,74
