LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEOFF RIZZO,KURT WEIDEMAN,AURELIO MATTUCCI,RYAN MAND,L KIMMEL-DAGOSTINO,RAHMAT KHAN,JOHN PAUL TABAKIAN,CLINT A PAULSON,MILTON HERRING,HEIDI ANN ASHCRAFT,OMAR NAVARRO,MIKE GRIFFITHS,TIM GOODRICH,CHARLOTTE A SVOLOS,ALEX M SEE,NORM SEGEL
TORRANCE,7150023A,2668,180,N,0,VBM PORTION,103,33,36,21,8,20,8,6,9,18,50,2,19,33,7,22,5
TORRANCE,7150023A,2668,180,N,969,TOTAL,246,65,71,49,18,48,14,25,26,49,103,8,38,77,19,53,11
TORRANCE,7150024A,2669,180,N,748,POLLING PLACE,114,20,16,8,13,21,9,7,9,19,34,5,16,34,22,10,5
TORRANCE,7150024A,2669,180,N,0,VBM PORTION,104,21,38,8,10,32,12,5,8,18,32,5,14,20,15,15,3
TORRANCE,7150024A,2669,180,N,748,TOTAL,218,41,54,16,23,53,21,12,17,37,66,10,30,54,37,25,8
TORRANCE,7150025A,2670,185,N,1028,POLLING PLACE,160,60,70,34,13,41,16,15,19,42,62,3,46,53,15,30,5
TORRANCE,7150025A,2670,185,N,0,VBM PORTION,128,49,52,19,6,32,9,13,17,35,61,4,43,27,21,22,1
TORRANCE,7150025A,2670,185,N,1028,TOTAL,288,109,122,53,19,73,25,28,36,77,123,7,89,80,36,52,6
TORRANCE,7150026B,2671,185,N,850,POLLING PLACE,103,32,23,27,11,24,20,7,14,30,30,3,22,46,15,21,3
TORRANCE,7150026B,2671,185,N,0,VBM PORTION,107,41,30,14,5,26,13,4,11,14,35,3,20,40,13,17,1
TORRANCE,7150026B,2671,185,N,850,TOTAL,210,73,53,41,16,50,33,11,25,44,65,6,42,86,28,38,4
TORRANCE,7150027A,2672,185,N,1026,POLLING PLACE,131,44,37,26,8,35,11,10,13,26,46,9,23,46,20,26,2
TORRANCE,7150027A,2672,185,N,0,VBM PORTION,86,23,20,15,8,25,6,7,9,18,29,3,17,21,16,16,1
TORRANCE,7150027A,2672,185,N,1026,TOTAL,217,67,57,41,16,60,17,17,22,44,75,12,40,67,36,42,3
TORRANCE,7150028A,2673,185,N,1089,POLLING PLACE,131,29,39,19,9,32,21,3,10,32,42,10,33,38,16,26,4
