"id","district_attorney_file_number",year,"date","time","number_officers","multiple_officers","number_victims","multiple_victims","wounded","deceased","weapon_involved","weapon_detail","agency","notes"
"_153","#14-0703",2014,"2014-11-16","2:39:00","4","TRUE","2","TRUE","2","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_154","n/a",2014,"2014-11-30","1:00:00","1","FALSE","1","FALSE","1","","B-1 ","Suspect armed with weapon other than firearm. Weapon recovered.","Los Angeles County Sheriff's Department",""
"_155","n/a",2014,"2014-12-31","17:00:00","3","TRUE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_156","n/a",2015,"2015-01-24","20:54:00","1","FALSE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_157","n/a",2015,"2015-03-03","15:30:00","1","FALSE","1","FALSE","1","","B-1 ","Suspect armed with weapon other than firearm. Weapon recovered.","Los Angeles County Sheriff's Department",""
"_158","n/a",2015,"2015-03-12","18:36:00","1","FALSE","1","FALSE","","1","A-4 ","Perception shooting: suspect's actions and/or other information suggest suspect was armed with a firearm, but firearm was not seen and not recovered.","Los Angeles County Sheriff's Department",""
"_159","n/a",2015,"2015-03-13","17:25:00","3","TRUE","1","FALSE","1","","A-2 ","Suspect armed with firearm. Suspect fired at deputy.","Los Angeles County Sheriff's Department",""
"_160","n/a",2015,"2015-03-25","1:15:00","9","TRUE","1","FALSE","","1","A-2 ","Suspect armed with firearm. Suspect fired at deputy.","Los Angeles County Sheriff's Department",""
"_161","n/a",2015,"2015-04-10","3:31:00","1","FALSE","1","FALSE","1","","B-2 ","Suspect armed with weapon other than firearm. Suspect used weapon to assault deputy.","Los Angeles County Sheriff's Department",""
"_162","n/a",2015,"2015-05-05","12:40:00","2","TRUE","1","FALSE","","1","B-2 ","Suspect armed with weapon other than firearm. Suspect used weapon to assault deputy.","Los Angeles County Sheriff's Department",""
"_163","n/a",2015,"2015-05-07","16:30:00","1","FALSE","1","FALSE","","1","B-4 ","Perception shooting: suspect's actions and/or other information suggest suspect was armed with a weapon, but weapon was not seen and not recovered.","Los Angeles County Sheriff's Department",""
"_164","n/a",2015,"2015-05-13","17:41:00","1","FALSE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_165","n/a",2015,"2015-06-01","17:44:00","1","FALSE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_166","n/a",2015,"2015-06-04","17:54:00","1","FALSE","1","FALSE","1","","A-1 ","Suspect armed with firearm. Firearm recovered.","Los Angeles County Sheriff's Department",""
"_167","n/a",2015,"2015-07-03","23:30:00","2","TRUE","1","FALSE","","1","A-2 ","Suspect armed with firearm. Suspect fired at deputy.","Los Angeles County Sheriff's Department",""
"_168","n/a",2015,"2015-07-05","21:41:00","1","FALSE","1","FALSE","","1","D ","No firearm or other weapon involved in the incident.","Los Angeles County Sheriff's Department",""
"_169","n/a",2015,"2015-07-06","10:45:00","4","TRUE","1","FALSE","","1","B-2 ","Suspect armed with weapon other than firearm. Suspect used weapon to assault deputy.","Los Angeles County Sheriff's Department",""
"_170","n/a",2015,"2015-07-10","10:44:00","1","FALSE","1","FALSE","1","","A-2 ","Suspect armed with firearm. Suspect fired at deputy.","Los Angeles County Sheriff's Department",""
