"","schoolname","n","year"
"193","Bancroft","37","2012-2013"
"194","Barton","24","2012-2013"
"195","Beach","49","2012-2013"
"196","Bethune","*","2012-2013"
"197","Birney","55","2012-2013"
"198","Bixby","41","2012-2013"
"199","Bryant","42","2012-2013"
"200","Buffum","*","2012-2013"
"201","Burbank","22","2012-2013"
"202","Burcham","40","2012-2013"
"203","Cabrillo","259","2012-2013"
"204","CAMS","*","2012-2013"
"205","Carver","*","2012-2013"
"206","Chavez","29","2012-2013"
"207","Cleveland","*","2012-2013"
"208","Constellation","*","2012-2013"
"209","Cubberley","35","2012-2013"
"210","Dooley","174","2012-2013"
"211","Edison","130","2012-2013"
"212","Emerson","*","2012-2013"
"213","EPHS","73","2012-2013"
"214","Franklin","88","2012-2013"
"215","Fremont","*","2012-2013"
"216","Gant","19","2012-2013"
"217","Garfield","120","2012-2013"
"218","Gompers","69","2012-2013"
"219","Grant","84","2012-2013"
"220","Hamilton","141","2012-2013"
"221","Harte","35","2012-2013"
"222","Henry","12","2012-2013"
"223","Hill","72","2012-2013"
"224","Holmes","18","2012-2013"
"225","Home/Hospital","*","2012-2013"
"226","Hoover","61","2012-2013"
"227","Hudson","105","2012-2013"
"228","Hughes","130","2012-2013"
"229","International","85","2012-2013"
"230","Jefferson","64","2012-2013"
"231","Jordan","274","2012-2013"
"232","Jordan Academy","64","2012-2013"
"233","Kettering","*","2012-2013"
"234","King","103","2012-2013"
"235","Lafayette","81","2012-2013"
"236","Lakewood","119","2012-2013"
"237","Lee","35","2012-2013"
"238","Lincoln","55","2012-2013"
"239","Lindbergh STEM Academy","81","2012-2013"
"240","Lindsey","99","2012-2013"
"241","Longfellow","14","2012-2013"
"242","Los Cerritos","*","2012-2013"
"243","Lowell","12","2012-2013"
"244","Macarthur","24","2012-2013"
"245","Madison","26","2012-2013"
"246","Mann","22","2012-2013"
"247","Marshall","47","2012-2013"
"248","McKinley","68","2012-2013"
"249","Millikan","148","2012-2013"
"250","Monroe","19","2012-2013"
"251","Muir","26","2012-2013"
"252","Naples","*","2012-2013"
"253","Nelson","74","2012-2013"
"254","Newcomb","14","2012-2013"
"255","PAAL","34","2012-2013"
"256","Polytechnic","240","2012-2013"
"257","Powell","54","2012-2013"
"258","Prisk","*","2012-2013"
"259","Reid","32","2012-2013"
"260","Renaissance High School For the Arts","25","2012-2013"
"261","Riley","18","2012-2013"
"262","Robinson","47","2012-2013"
"263","Rogers","19","2012-2013"
"264","Roosevelt","46","2012-2013"
"265","Signal Hill","43","2012-2013"
"266","Smith","120","2012-2013"
"267","Stanford","49","2012-2013"
"268","Stephens","152","2012-2013"
"269","Stevenson","61","2012-2013"
"270","Tincher","26","2012-2013"
"271","Twain","12","2012-2013"
"272","Washington","141","2012-2013"
"273","Webster","32","2012-2013"
"274","Whittier","109","2012-2013"
"275","Willard","28","2012-2013"
"276","Wilson","159","2012-2013"
"278","*An asterisk appears in fields to protect student privacy when 10 or fewer students are reported.",NA,"2012-2013"
"NA.2",NA,NA,NA
"280","Addams","111","2013-2014"
"281","Alvarado","28","2013-2014"
"282","Avalon","*","2013-2014"
"283","Bancroft","44","2013-2014"
"284","Barton","21","2013-2014"
"285","Beach","48","2013-2014"
"286","Birney","42","2013-2014"
"287","Bixby","31","2013-2014"
"288","Bryant","31","2013-2014"
"289","Buffum","*","2013-2014"
"290","Burbank","20","2013-2014"
"291","Burcham","29","2013-2014"
"292","Cabrillo","271","2013-2014"
"293","CAMS","*","2013-2014"
"294","Carver","*","2013-2014"
"295","Chavez","25","2013-2014"
"296","Cleveland","*","2013-2014"
"297","Cubberley","34","2013-2014"
"298","Dooley","174","2013-2014"
"299","Edison","81","2013-2014"
"300","Emerson","11","2013-2014"
"301","EPHS","107","2013-2014"
"302","Franklin","117","2013-2014"
"303","Fremont","*","2013-2014"
"304","Gant","14","2013-2014"
"305","Garfield","129","2013-2014"
"306","Gompers","49","2013-2014"
"307","Grant","71","2013-2014"
"308","Hamilton","73","2013-2014"
"309","Harte","23","2013-2014"
"310","Henry","*","2013-2014"
"311","Hill","63","2013-2014"
"312","Holmes","35","2013-2014"
"313","Home/Hospital","*","2013-2014"
"314","Hoover","44","2013-2014"
"315","Hudson","88","2013-2014"
"316","Hughes","104","2013-2014"
"317","International","81","2013-2014"
"318","Jefferson","65","2013-2014"
"319","Jordan","230","2013-2014"
"320","Jordan Academy","55","2013-2014"
"321","Kettering","*","2013-2014"
"322","King","103","2013-2014"
"323","Lafayette","66","2013-2014"
"324","Lakewood","146","2013-2014"
"325","Lee","34","2013-2014"
"326","Lincoln","59","2013-2014"
"327","Lindbergh STEM Academy","62","2013-2014"
"328","Lindsey","114","2013-2014"
"329","Longfellow","15","2013-2014"
"330","Los Cerritos","*","2013-2014"
"331","Lowell","13","2013-2014"
"332","Macarthur","11","2013-2014"
"333","Madison","14","2013-2014"
"334","Mann","19","2013-2014"
"335","Marshall","51","2013-2014"
"336","McBride","*","2013-2014"
"337","McKinley","57","2013-2014"
"338","Millikan","164","2013-2014"
"339","Muir","38","2013-2014"
"340","Naples","*","2013-2014"
"341","Nelson","92","2013-2014"
"342","Newcomb","12","2013-2014"
"343","PAAL","24","2013-2014"
"344","Polytechnic","238","2013-2014"
"345","Powell","49","2013-2014"
"346","Prisk","*","2013-2014"
"347","Reid","41","2013-2014"
"348","Renaissance High School For the Arts","*","2013-2014"
"349","Riley","17","2013-2014"
"350","Robinson","38","2013-2014"
"351","Rogers","18","2013-2014"
"352","Roosevelt","46","2013-2014"
"353","Signal Hill","36","2013-2014"
"354","Smith","94","2013-2014"
"355","Stanford","65","2013-2014"
"356","Stephens","128","2013-2014"
"357","Stevenson","56","2013-2014"
"358","Tincher","19","2013-2014"
"359","Twain","*","2013-2014"
"360","Washington","128","2013-2014"
"361","Webster","24","2013-2014"
"362","Whittier","76","2013-2014"
"363","Willard","35","2013-2014"
"364","Wilson","161","2013-2014"
"366","*An asterisk appears in fields to protect student privacy when 10 or fewer students are reported.",NA,"2013-2014"
"NA.3",NA,NA,NA
"368","Addams","75","2014-2015"
"369","Alvarado","21","2014-2015"
"370","Avalon","*","2014-2015"
"371","Bancroft","55","2014-2015"
"372","Barton","15","2014-2015"
"373","Beach","40","2014-2015"
"374","Birney","34","2014-2015"
"375","Bixby","22","2014-2015"
"376","Bryant","17","2014-2015"
"377","Burbank","15","2014-2015"
"378","Burcham","13","2014-2015"
"379","Cabrillo","262","2014-2015"
"380","CAMS","*","2014-2015"
"381","Carver","*","2014-2015"
"382","Chavez","17","2014-2015"
"383","Cleveland","*","2014-2015"
"384","Cubberley","28","2014-2015"
"385","Dooley","132","2014-2015"
"386","Edison","53","2014-2015"
"387","Emerson","*","2014-2015"
"388","EPHS","128","2014-2015"
"389","Franklin","90","2014-2015"
"390","Fremont","*","2014-2015"
"391","Gant","*","2014-2015"
"392","Garfield","98","2014-2015"
"393","Gompers","38","2014-2015"
"394","Grant","52","2014-2015"
"395","Hamilton","74","2014-2015"
"396","Harte","12","2014-2015"
"397","Henry","*","2014-2015"
"398","Hill","40","2014-2015"
"399","Holmes","58","2014-2015"
"400","Home/Hospital","*","2014-2015"
"401","Hoover","43","2014-2015"
"402","Hudson","72","2014-2015"
"403","Hughes","72","2014-2015"
"404","International","62","2014-2015"
"405","Jefferson","59","2014-2015"
"406","Jordan","234","2014-2015"
"407","Jordan Academy","51","2014-2015"
"408","Kettering","15","2014-2015"
"409","King","74","2014-2015"
"410","Lafayette","46","2014-2015"
"411","Lakewood","163","2014-2015"
"412","Lee","22","2014-2015"
"413","Lincoln","35","2014-2015"
"414","Lindbergh STEM Academy","50","2014-2015"
"415","Lindsey","115","2014-2015"
"416","Longfellow","*","2014-2015"
"417","Los Cerritos","*","2014-2015"
"418","Lowell","*","2014-2015"
"419","Macarthur","*","2014-2015"
"420","Madison","14","2014-2015"
"421","Mann","15","2014-2015"
"422","Marshall","27","2014-2015"
"423","McBride","*","2014-2015"
"424","McKinley","37","2014-2015"
"425","Millikan","168","2014-2015"
"426","Muir","32","2014-2015"
"427","Naples","*","2014-2015"
"428","Nelson","90","2014-2015"
"429","New City Charter","*","2014-2015"
"430","Newcomb","11","2014-2015"
"431","PAAL","31","2014-2015"
"432","Polytechnic","242","2014-2015"
"433","Powell","49","2014-2015"
"434","Prisk","*","2014-2015"
"435","Reid","29","2014-2015"
"436","Renaissance High School For the Arts","16","2014-2015"
"437","Riley","13","2014-2015"
"438","Robinson","29","2014-2015"
"439","Rogers","14","2014-2015"
"440","Roosevelt","29","2014-2015"
"441","Signal Hill","29","2014-2015"
"442","Smith","69","2014-2015"
"443","Stanford","54","2014-2015"
"444","Stephens","100","2014-2015"
"445","Stevenson","44","2014-2015"
"446","Tincher","16","2014-2015"
"447","Twain","*","2014-2015"
"448","Washington","127","2014-2015"
"449","Webster","13","2014-2015"
"450","Whittier","58","2014-2015"
"451","Willard","24","2014-2015"
"452","Wilson","155","2014-2015"
"454","*An asterisk appears in fields to protect student privacy when 10 or fewer students are reported.",NA,"2014-2015"
"NA.4",NA,NA,NA
"456","Addams","52","2015-2016"
"457","Alvarado","13","2015-2016"
"458","Avalon","*","2015-2016"
"459","Bancroft","44","2015-2016"
"460","Barton","*","2015-2016"
"461","Beach","27","2015-2016"
"462","Birney","11","2015-2016"
"463","Bixby","*","2015-2016"
"464","Bryant","*","2015-2016"
"465","Burbank","11","2015-2016"
"466","Burcham","*","2015-2016"
"467","Cabrillo","250","2015-2016"
"468","CAMS","*","2015-2016"
"469","Carver","*","2015-2016"
"470","Chavez","17","2015-2016"
"471","Cleveland","*","2015-2016"
"472","Cubberley","24","2015-2016"
"473","Dooley","107","2015-2016"
"474","Edison","33","2015-2016"
