LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,22448,7292
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,19874,8078
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,42322,15370
