LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,880,3982,3313,409,2305,1407,4157,1774,3767,1454,1848,2549
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,465,1791,1541,200,915,1333,2077,1060,2088,655,851,1146
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,485,1549,1118,117,656,629,1639,736,1248,659,1000,1037
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,950,3340,2659,317,1571,1962,3716,1796,3336,1314,1851,2183
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,167,449,391,87,212,735,2038,1886,960,536,333,359
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,98,391,317,47,156,291,902,862,467,437,350,324
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,265,840,708,134,368,1026,2940,2748,1427,973,683,683
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,579,1695,2599,227,555,585,4069,4143,1491,1148,953,1144
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,525,1261,1872,177,466,346,2517,2115,1074,1137,954,1208
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,1104,2956,4471,404,1021,931,6586,6258,2565,2285,1907,2352
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,283,862,977,127,292,845,1375,1083,2153,588,564,741
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,233,683,769,91,226,351,1127,682,1526,605,647,747
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,516,1545,1746,218,518,1196,2502,1765,3679,1193,1211,1488
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,353,784,806,226,368,662,2532,3059,1603,1222,749,765
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,330,509,660,151,294,413,1271,1523,1058,996,834,732
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,683,1293,1466,377,662,1075,3803,4582,2661,2218,1583,1497
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,1223,3219,5126,290,931,489,4108,1710,1249,1376,2860,2690
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,1508,3107,4326,235,885,367,3953,1547,1227,1694,3724,3047
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,2731,6326,9452,525,1816,856,8061,3257,2476,3070,6584,5737
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,808,2509,3628,404,941,834,2960,1388,1639,1257,2011,3762
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,762,2338,3446,286,850,463,3085,1291,1292,1460,2228,4027
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,1570,4847,7074,690,1791,1297,6045,2679,2931,2717,4239,7789
