LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,6681,14021
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,7304,14333
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,13985,28354
