LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,7574,4671
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,7126,5964
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,14700,10635
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,7617,5623
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,7718,7397
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,15335,13020
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,6440,4366
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,5305,4238
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,11745,8604
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,9052,8707
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,7777,9376
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,16829,18083
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,8691,7482
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,8315,8007
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,17006,15489
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,224,288
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,268,246
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,492,534
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,8479,7827
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,8752,9096
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,17231,16923
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,7021,6582
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,6104,6313
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,13125,12895
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,7881,4400
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,6252,4705
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,14133,9105
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,6442,5135
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,5870,6293
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,12312,11428
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,10535,13604
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,9157,12159
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,19692,25763
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,6911,5301
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,4441,4059
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,11352,9360
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1818,1005
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1598,1121
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,3416,2126
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,4917,3302
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,3359,3104
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,8276,6406
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,8307,11339
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,7547,9536
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,15854,20875
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2726,2013
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3093,2735
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,5819,4748
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,8951,5025
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,7327,5197
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,16278,10222
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,8265,4991
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,5888,4419
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,14153,9410
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,3382,4185
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,2214,2278
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,5596,6463
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,7944,10295
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,5976,7407
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,13920,17702
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,6020,3414
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,4382,3064
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,10402,6478
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,5459,6698
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,3965,4545
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,9424,11243
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,13311,11261
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,12184,12818
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,25495,24079
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,12074,8888
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,11002,9970
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,23076,18858
