LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,545,570,276,4136,5891,403,1116,1008
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,924,645,346,3933,6003,465,1145,1718
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,1469,1215,622,8069,11894,868,2261,2726
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,872,944,284,3953,5651,566,1854,1580
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,1322,928,325,4292,6467,794,1817,2160
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,2194,1872,609,8245,12118,1360,3671,3740
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,752,906,371,6623,2474,287,743,563
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,892,714,276,5204,2425,336,640,626
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,1644,1620,647,11827,4899,623,1383,1189
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,1654,2184,512,7333,6986,428,831,1107
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,2000,1480,499,6908,6744,565,765,1627
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,3654,3664,1011,14241,13730,993,1596,2734
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,1074,1801,659,8020,5982,497,740,1177
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,1588,1240,638,7835,6240,768,803,1460
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,2662,3041,1297,15855,12222,1265,1543,2637
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,26,31,5,187,297,15,30,71
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,35,20,13,150,309,30,25,80
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,61,51,18,337,606,45,55,151
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,1323,1885,474,6404,5877,991,1044,1697
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,1902,1861,424,6922,5954,1170,1050,2123
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,3225,3746,898,13326,11831,2161,2094,3820
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,1047,1906,460,7130,3343,841,846,909
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,1282,1484,418,6057,3177,966,778,1048
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,2329,3390,878,13187,6520,1807,1624,1957
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,1071,817,303,5780,4333,304,701,823
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,1369,614,258,4417,3766,391,557,1156
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,2440,1431,561,10197,8099,695,1258,1979
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,1905,860,296,5262,3947,359,641,726
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,2715,677,248,4550,4316,521,648,1132
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,4620,1537,544,9812,8263,880,1289,1858
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,1936,5340,1202,11921,6807,803,570,2157
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,2288,3678,768,9915,6983,867,656,2586
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,4224,9018,1970,21836,13790,1670,1226,4743
