LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SERENA R MURILLO
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,10832
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,11509
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,22341
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,11157
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,12602
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,23759
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,9456
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,8188
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,17644
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,14082
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,13391
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,27473
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,13146
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,13185
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,26331
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,411
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,395
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,806
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,13176
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,14252
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,27428
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,11283
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,10231
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,21514
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,10569
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,9252
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,19821
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,9581
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,10005
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,19586
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,19008
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,16578
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,35586
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,10757
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,7256
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,18013
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,2499
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,2384
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,4883
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,7200
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,5634
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,12834
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,14646
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,13332
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,27978
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,4042
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,4949
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,8991
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,11954
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,10596
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,22550
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,11479
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,8920
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,20399
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,6076
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3764
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,9840
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,14159
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,10707
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,24866
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,8218
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,6548
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,14766
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,9728
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,7083
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,16811
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,19457
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,19934
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,39391
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,17887
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,17580
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,35467
