LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOSE SOLORIO,JANET NGUYEN,LONG PHAM
63RD STATE ASSEMBLY,N,881,POLLING PLACE,106,37,34,18
63RD STATE ASSEMBLY,N,0,VBM PORTION,105,32,45,15
63RD STATE ASSEMBLY,N,881,TOTAL,211,69,79,33
70TH STATE ASSEMBLY,N,43089,POLLING PLACE,7230,2886,2816,681
70TH STATE ASSEMBLY,N,0,VBM PORTION,7593,2589,3498,699
70TH STATE ASSEMBLY,N,43089,TOTAL,14822,5475,6314,1380
