LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,9829,2745
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,10849,2534
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,20678,5279
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,10411,3027
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,12142,3237
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,22553,6264
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,8252,2844
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,7509,2239
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,15761,5083
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,13912,4200
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,13712,3700
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,27624,7900
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,12950,3706
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,12964,3667
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,25914,7373
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,402,124
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,406,133
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,808,257
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,12447,4094
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,13917,4209
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,26364,8303
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,10138,3742
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,9435,3313
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,19573,7055
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,10017,2676
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,8979,2247
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,18996,4923
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,8863,2995
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,9352,3000
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,18215,5995
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,17893,6619
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,16330,5328
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,34223,11947
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,8678,3987
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,6201,2498
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,14879,6485
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,2065,850
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,2062,707
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,4127,1557
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,5311,3235
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,4356,2294
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,9667,5529
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,13669,5575
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,12782,4321
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,26451,9896
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,3678,1183
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,4433,1466
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,8111,2649
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,10776,3652
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,9788,3017
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,20564,6669
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,9427,4261
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,7574,3071
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,17001,7332
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,5228,2220
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3209,1247
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,8437,3467
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,12597,5568
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,9757,3624
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,22354,9192
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,7080,2653
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,5806,1757
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,12886,4410
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,7797,4212
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,5777,2688
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,13574,6900
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,19660,5168
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,20379,4668
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,40039,9836
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,14930,6534
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,15665,5745
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,30595,12279
