LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JUVENTINO GOMEZ,HILDA L SOLIS,A  A SAUCEDO HOOD
41ST STATE ASSEMBLY,N,22605,POLLING PLACE,2882,320,1607,449
41ST STATE ASSEMBLY,N,0,VBM PORTION,2748,242,1449,467
41ST STATE ASSEMBLY,N,22605,TOTAL,5629,562,3056,916
43RD STATE ASSEMBLY,N,10926,POLLING PLACE,1140,79,806,102
43RD STATE ASSEMBLY,N,0,VBM PORTION,1061,90,610,144
43RD STATE ASSEMBLY,N,10926,TOTAL,2201,169,1416,246
48TH STATE ASSEMBLY,N,129236,POLLING PLACE,8491,1073,5146,1298
48TH STATE ASSEMBLY,N,0,VBM PORTION,7105,791,3969,1201
48TH STATE ASSEMBLY,N,129236,TOTAL,15595,1864,9115,2499
49TH STATE ASSEMBLY,N,80889,POLLING PLACE,5715,739,3435,717
49TH STATE ASSEMBLY,N,0,VBM PORTION,6106,655,3375,854
49TH STATE ASSEMBLY,N,80889,TOTAL,11816,1394,6810,1571
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,1900,10664,1445
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,1224,6676,1402
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,3124,17340,2847
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,444,1903,667
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,419,1590,768
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,863,3493,1435
53RD STATE ASSEMBLY,N,74263,POLLING PLACE,5886,672,3679,462
53RD STATE ASSEMBLY,N,0,VBM PORTION,4284,556,2129,547
53RD STATE ASSEMBLY,N,74263,TOTAL,10167,1228,5808,1009
55TH STATE ASSEMBLY,N,31971,POLLING PLACE,2134,310,1033,452
55TH STATE ASSEMBLY,N,0,VBM PORTION,2809,358,1238,532
55TH STATE ASSEMBLY,N,31971,TOTAL,4941,668,2271,984
57TH STATE ASSEMBLY,N,37756,POLLING PLACE,2342,254,1509,291
57TH STATE ASSEMBLY,N,0,VBM PORTION,1803,192,1085,238
57TH STATE ASSEMBLY,N,37756,TOTAL,4143,446,2594,529
58TH STATE ASSEMBLY,N,76882,POLLING PLACE,4906,578,3146,625
58TH STATE ASSEMBLY,N,0,VBM PORTION,3587,376,2105,581
58TH STATE ASSEMBLY,N,76882,TOTAL,8487,954,5251,1206
59TH STATE ASSEMBLY,N,14204,POLLING PLACE,841,102,537,72
59TH STATE ASSEMBLY,N,0,VBM PORTION,368,53,219,52
59TH STATE ASSEMBLY,N,14204,TOTAL,1209,155,756,124
63RD STATE ASSEMBLY,N,61969,POLLING PLACE,3288,402,2138,329
63RD STATE ASSEMBLY,N,0,VBM PORTION,1943,266,1156,280
63RD STATE ASSEMBLY,N,61969,TOTAL,5229,668,3294,609
