LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LING-LING CHANG,PHILLIP CHEN,GREGG D FRITCHLE,STEVE TYE
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,1398,1031,1954,1569
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,2191,1440,2077,1718
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,3589,2471,4031,3287
