LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
43RD STATE ASSEMBLY,N,97282,POLLING PLACE,9406,4873,2113
43RD STATE ASSEMBLY,N,0,VBM PORTION,12284,5618,2727
43RD STATE ASSEMBLY,N,97282,TOTAL,21689,10491,4840
