LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KEVIN MC CARTHY
36TH STATE ASSEMBLY,N,40752,POLLING PLACE,3565,1852
36TH STATE ASSEMBLY,N,0,VBM PORTION,4002,2572
36TH STATE ASSEMBLY,N,40752,TOTAL,7565,4424
