LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
70TH STATE ASSEMBLY,N,6232,POLLING PLACE,779,261,488
70TH STATE ASSEMBLY,N,0,VBM PORTION,730,229,447
70TH STATE ASSEMBLY,N,6232,TOTAL,1509,490,935
