LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,10651
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,8741
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,19392
