LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CAROL ROSE,CHARLES M CALDERON
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,8793,3901
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,10048,3523
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,18841,7424
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,8856,4788
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,11305,4343
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,20161,9131
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,7081,4195
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,6925,2912
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,14006,7107
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,10310,7887
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,11446,5782
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,21756,13669
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,9839,6680
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,11434,5277
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,21273,11957
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,272,262
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,331,196
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,603,458
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,10654,6110
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,12911,5263
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,23565,11373
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,8298,5686
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,8537,4154
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,16835,9840
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,8183,4623
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,8154,3138
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,16337,7761
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,7328,4818
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,8694,4007
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,16022,8825
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,14011,10614
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,13300,8171
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,27311,18785
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,6923,5853
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,5433,3350
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,12356,9203
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1878,1044
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1960,792
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,3838,1836
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,4931,3777
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,4265,2434
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,9196,6211
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,12501,7567
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,11890,5519
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,24391,13086
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,3259,1644
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,4324,1690
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,7583,3334
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,9871,4804
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,9681,3426
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,19552,8230
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,9006,4940
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,7817,3088
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,16823,8028
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,5497,2455
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3475,1136
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,8972,3591
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,12274,6470
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,9609,4022
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,21883,10492
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,6366,3504
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,5635,2004
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,12001,5508
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,8909,3890
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,6491,2314
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,15400,6204
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,15812,9442
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,17650,7452
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,33462,16894
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,14046,8029
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,15539,6119
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,29585,14148
