LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,12431
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,8190
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,20621
