LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,14903
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,14647
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,29550
