LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,7880,1461,3259
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,8187,1646,3723
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,16067,3107,6982
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,8070,1774,3789
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,8902,2107,4731
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,16972,3881,8520
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,5308,1306,4578
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,4780,1198,3786
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,10088,2504,8364
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,8771,1752,7874
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,8021,1685,7586
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,16792,3437,15460
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,7276,2039,7439
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,7343,2283,7231
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,14619,4322,14670
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,302,45,195
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,286,56,200
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,588,101,395
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,8771,1784,6592
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,9453,1967,7185
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,18224,3751,13777
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,5843,1695,6691
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,5443,1691,5804
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,11286,3386,12495
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,6743,1477,4393
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,5682,1298,4183
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,12425,2775,8576
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,5820,1591,4521
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,5903,1686,4917
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,11723,3277,9438
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,9042,2542,14044
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,8245,2343,11994
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,17287,4885,26038
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,4952,1442,6392
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,3507,1032,4282
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,8459,2474,10674
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1534,370,1002
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1374,353,1024
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2908,723,2026
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,3363,1371,3821
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,2502,1278,2946
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,5865,2649,6767
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,6680,1685,12136
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,6152,1702,10018
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,12832,3387,22154
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2541,717,1603
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,2922,899,2181
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,5463,1616,3784
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,7725,2146,4566
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,6654,1866,4367
