LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,8786,12572
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,7673,12067
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,16459,24639
