LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
40TH US CONGRESSIONAL,N,54713,POLLING PLACE,5841,856,4722
40TH US CONGRESSIONAL,N,0,VBM PORTION,3452,646,2506
40TH US CONGRESSIONAL,N,54713,TOTAL,9292,1502,7228
