LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KEVIN MC CARTHY
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,1852
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2572
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4424
