LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DOROTHY F PINEDA,FREDDIE RODRIGUEZ
27TH US CONGRESSIONAL,N,254,POLLING PLACE,0,0,0
27TH US CONGRESSIONAL,N,0,VBM PORTION,57,25,26
27TH US CONGRESSIONAL,N,254,TOTAL,57,25,26
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1098,2147
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1150,1917
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,2248,4064
