LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
27TH US CONGRESSIONAL,N,153646,POLLING PLACE,16048,10953
27TH US CONGRESSIONAL,N,0,VBM PORTION,16417,10562
27TH US CONGRESSIONAL,N,153646,TOTAL,32455,21515
28TH US CONGRESSIONAL,N,8859,POLLING PLACE,1151,658
28TH US CONGRESSIONAL,N,0,VBM PORTION,1662,845
28TH US CONGRESSIONAL,N,8859,TOTAL,2812,1503
32ND US CONGRESSIONAL,N,60104,POLLING PLACE,6076,3292
32ND US CONGRESSIONAL,N,0,VBM PORTION,5641,3240
32ND US CONGRESSIONAL,N,60104,TOTAL,11714,6532
