LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ZACHARY TAYLOR,ADRIN NAZARIAN
28TH US CONGRESSIONAL,N,6399,POLLING PLACE,690,135,475
28TH US CONGRESSIONAL,N,0,VBM PORTION,710,185,424
28TH US CONGRESSIONAL,N,6399,TOTAL,1399,320,899
29TH US CONGRESSIONAL,N,108613,POLLING PLACE,7518,2087,4788
29TH US CONGRESSIONAL,N,0,VBM PORTION,7386,2055,4512
29TH US CONGRESSIONAL,N,108613,TOTAL,14900,4142,9300
30TH US CONGRESSIONAL,N,101276,POLLING PLACE,9972,2602,6509
30TH US CONGRESSIONAL,N,0,VBM PORTION,9258,2417,5698
30TH US CONGRESSIONAL,N,101276,TOTAL,19230,5019,12207
