LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
27TH US CONGRESSIONAL,N,3,POLLING PLACE,0,0,0
27TH US CONGRESSIONAL,N,0,VBM PORTION,1,0,0
27TH US CONGRESSIONAL,N,3,TOTAL,1,0,0
28TH US CONGRESSIONAL,N,240774,POLLING PLACE,21818,6266,13208
28TH US CONGRESSIONAL,N,0,VBM PORTION,24726,6866,13612
28TH US CONGRESSIONAL,N,240774,TOTAL,46541,13132,26820
30TH US CONGRESSIONAL,N,15140,POLLING PLACE,1311,415,813
30TH US CONGRESSIONAL,N,0,VBM PORTION,1290,438,721
30TH US CONGRESSIONAL,N,15140,TOTAL,2600,853,1534
