LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2416
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2563
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4979
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,16224
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,18572
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,34796
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,415
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,400
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,815
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,19075
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,19481
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,38556
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,20006
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,19517
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,39523
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,11880
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,10899
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,22779
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,22175
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,21995
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,44170
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,15508
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,13843
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,29351
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,31214
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,29443
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,60657
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,13176
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,10883
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,24059
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,2406
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,2283
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,4689
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,20310
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,17455
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,37765
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,17383
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,15814
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,33197
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,5140
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,6267
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,11407
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,10704
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,6567
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,17271
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,18680
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,15924
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,34604
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,13616
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,10502
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,24118
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,16079
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,15709
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,31788
