LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2283,611
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2655,543
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4938,1154
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,15214,4238
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,17833,4425
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,33047,8663
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,402,124
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,406,133
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,808,257
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,18505,5860
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,19234,5529
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,37739,11389
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,19437,6305
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,19010,5844
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,38447,12149
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,10379,4083
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,9731,3271
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,20110,7354
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,20958,6927
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,21209,6701
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,42167,13628
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,15114,4305
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,13274,3650
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,28388,7955
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,31430,9764
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,30466,8030
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,61896,17794
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,10426,5478
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,8365,3849
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,18791,9327
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,2065,850
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,2028,698
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,4093,1548
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,18626,7684
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,16310,5843
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,34936,13527
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,15546,5854
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,14111,4823
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,29657,10677
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,4749,1498
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,5597,1785
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,10346,3283
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,8957,4191
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,5581,2147
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,14538,6338
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,16877,6565
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,14460,4673
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,31337,11238
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,11407,5610
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,9012,3592
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,20419,9202
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,13635,5923
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,14102,5174
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,27737,11097
