LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
33RD US CONGRESSIONAL,N,19489,POLLING PLACE,1134,569,297
33RD US CONGRESSIONAL,N,0,VBM PORTION,1408,754,392
33RD US CONGRESSIONAL,N,19489,TOTAL,2542,1323,689
37TH US CONGRESSIONAL,N,249846,POLLING PLACE,25343,17787,4378
37TH US CONGRESSIONAL,N,0,VBM PORTION,22886,15093,4435
37TH US CONGRESSIONAL,N,249846,TOTAL,48215,32880,8813
43RD US CONGRESSIONAL,N,3030,POLLING PLACE,183,122,49
43RD US CONGRESSIONAL,N,0,VBM PORTION,190,119,34
43RD US CONGRESSIONAL,N,3030,TOTAL,372,241,83
