LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,413,2420
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,366,2806
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,779,5226
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,2797,16239
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,2725,19268
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,5522,35507
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,70,458
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,87,429
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,157,887
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,4376,19306
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,3693,20424
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,8069,39730
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,5093,19741
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,4222,19951
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,9315,39692
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,2899,11096
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,2133,10577
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,5032,21673
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,4873,22406
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,4446,22794
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,9319,45200
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,3057,15771
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,2555,14003
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,5612,29774
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,8213,32071
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,6484,31462
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,14697,63533
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,3689,11649
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,2430,9394
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,6119,21043
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,569,2233
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,458,2205
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,1027,4438
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,5781,19220
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,4268,16971
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,10049,36191
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,3715,16988
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,2786,15566
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,6501,32554
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,966,5086
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,1007,6265
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,1973,11351
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,2643,10051
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,1245,6344
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,3888,16395
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,3914,18622
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,2976,15681
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,6890,34303
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,3261,12963
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,2055,10136
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,5316,23099
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,3647,15233
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,2956,15721
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,6603,30954
