LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,13494
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,12147
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,25641
