LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,R JONES-SAWYER
34TH US CONGRESSIONAL,N,6,POLLING PLACE,0,0
34TH US CONGRESSIONAL,N,0,VBM PORTION,0,0
34TH US CONGRESSIONAL,N,6,TOTAL,0,0
37TH US CONGRESSIONAL,N,74543,POLLING PLACE,4899,3996
37TH US CONGRESSIONAL,N,0,VBM PORTION,3052,2485
37TH US CONGRESSIONAL,N,74543,TOTAL,7948,6481
40TH US CONGRESSIONAL,N,58868,POLLING PLACE,2731,2044
40TH US CONGRESSIONAL,N,0,VBM PORTION,1616,1278
40TH US CONGRESSIONAL,N,58868,TOTAL,4345,3322
43RD US CONGRESSIONAL,N,20429,POLLING PLACE,1425,1182
43RD US CONGRESSIONAL,N,0,VBM PORTION,906,743
43RD US CONGRESSIONAL,N,20429,TOTAL,2331,1925
44TH US CONGRESSIONAL,N,12557,POLLING PLACE,696,453
44TH US CONGRESSIONAL,N,0,VBM PORTION,288,223
44TH US CONGRESSIONAL,N,12557,TOTAL,983,676
