LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
28TH US CONGRESSIONAL,N,83758,POLLING PLACE,6719,765,1271,4073
28TH US CONGRESSIONAL,N,0,VBM PORTION,5384,721,1088,2955
28TH US CONGRESSIONAL,N,83758,TOTAL,12102,1486,2359,7028
34TH US CONGRESSIONAL,N,237843,POLLING PLACE,19418,2637,3260,11515
34TH US CONGRESSIONAL,N,0,VBM PORTION,15003,2290,3436,7654
34TH US CONGRESSIONAL,N,237843,TOTAL,34414,4927,6696,19169
37TH US CONGRESSIONAL,N,95,POLLING PLACE,0,0,0,0
37TH US CONGRESSIONAL,N,0,VBM PORTION,10,0,2,8
37TH US CONGRESSIONAL,N,95,TOTAL,10,0,2,8
40TH US CONGRESSIONAL,N,34655,POLLING PLACE,2624,288,251,1863
40TH US CONGRESSIONAL,N,0,VBM PORTION,1199,104,114,907
40TH US CONGRESSIONAL,N,34655,TOTAL,3823,392,365,2770
