LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
28TH US CONGRESSIONAL,N,28587,POLLING PLACE,2487,1926
28TH US CONGRESSIONAL,N,0,VBM PORTION,1732,1239
28TH US CONGRESSIONAL,N,28587,TOTAL,4219,3165
34TH US CONGRESSIONAL,N,133311,POLLING PLACE,11007,8390
34TH US CONGRESSIONAL,N,0,VBM PORTION,8316,5923
34TH US CONGRESSIONAL,N,133311,TOTAL,19321,14313
40TH US CONGRESSIONAL,N,34655,POLLING PLACE,2624,2115
40TH US CONGRESSIONAL,N,0,VBM PORTION,1199,1028
40TH US CONGRESSIONAL,N,34655,TOTAL,3823,3143
