LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
25TH US CONGRESSIONAL,N,2,POLLING PLACE,0,0,0
25TH US CONGRESSIONAL,N,0,VBM PORTION,2,0,0
25TH US CONGRESSIONAL,N,2,TOTAL,2,0,0
30TH US CONGRESSIONAL,N,234785,POLLING PLACE,20662,8815,10252
30TH US CONGRESSIONAL,N,0,VBM PORTION,22800,8972,11424
30TH US CONGRESSIONAL,N,234785,TOTAL,43457,17787,21676
33RD US CONGRESSIONAL,N,14737,POLLING PLACE,1455,514,608
33RD US CONGRESSIONAL,N,0,VBM PORTION,1833,764,835
33RD US CONGRESSIONAL,N,14737,TOTAL,3288,1278,1443
