LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,10848,18558
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,12204,19505
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,23052,38063
