LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,64,288,96,496,39,961,1273,59
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,72,325,169,456,32,1165,1391,52
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,136,613,265,952,71,2126,2664,111
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,330,1886,912,2525,224,7783,8529,391
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,415,1953,1149,2642,230,9610,9980,429
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,745,3839,2061,5167,454,17393,18509,820
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,3,49,11,83,2,294,218,5
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,6,43,15,81,7,274,259,9
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,9,92,26,164,9,568,477,14
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,449,2780,1479,1692,265,15591,6392,621
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,394,3101,1438,1847,232,16038,7244,502
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,843,5881,2917,3539,497,31629,13636,1123
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,403,1405,1744,2051,377,19096,5493,964
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,403,1642,1723,2102,298,18730,6279,728
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,806,3047,3467,4153,675,37826,11772,1692
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,325,800,1612,741,238,9103,2771,672
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,243,723,1080,645,196,8913,2754,451
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,568,1523,2692,1386,434,18016,5525,1123
