LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,139,1942,1144
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,185,2102,1382
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,324,4044,2526
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,1066,12257,9089
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,1348,14071,11045
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,2414,26328,20134
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,12,336,304
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,31,377,273
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,43,713,577
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,1563,9234,17853
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,1423,10351,18914
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,2986,19585,36767
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,2388,8236,20049
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,2141,9376,19668
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,4529,17612,39717
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,1535,3737,10811
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,1208,3812,10019
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,2743,7549,20830
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,1834,10915,20370
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,1754,11393,21028
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,3588,22308,41398
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,1440,7762,12116
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,1095,6958,11525
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,2535,14720,23641
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,3336,16514,31791
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,2535,18396,29452
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,5871,34910,61243
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,1868,2306,13713
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,1141,2475,10814
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,3009,4781,24527
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,277,871,2024
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,199,946,1941
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,476,1817,3965
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,2232,3479,26051
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,1543,3968,22407
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,3775,7447,48458
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,1519,8320,13688
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,1218,7928,12930
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,2737,16248,26618
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,372,2988,3916
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,349,3535,5304
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,721,6523,9220
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,1267,3170,9752
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,595,2129,5943
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,1862,5299,15695
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,1419,6559,19033
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,1151,6036,15682
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,2570,12595,34715
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,1543,2903,14300
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,946,2788,10822
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,2489,5691,25122
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,2001,7251,14259
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,1526,7950,13861
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,3527,15201,28120
