LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANDY WHALLON,ALAN LOWENTHAL
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,8309,15438
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,9250,14916
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,17559,30354
